source_event_id,timestamp,sim_site_id,sim_position,source_sim_sector_id,source_vendor_site_key,source_cell_uid,source_cell_id,source_cell_name,cod_state,cod_reason,target_sim_sector_id,target_vendor_site_key,target_cell_uid,action_type,delta_prs_dB,delta_tilt_deg,delta_cio_dB,is_no_op,source_sector_load,target_sector_load,source_mean_RSRP_dBm,source_mean_SINR_dB,source_qos_satisfaction_ratio,source_handover_risk_score,source_attach_rate_sector,source_active_users,target_active_users,target_traffic_volume_dl_kbyte,estimated_absorbed_load_proxy,estimated_absorbed_users_proxy,estimated_target_load_after_coc,estimated_target_users_after_coc,target_load_headroom_to_hard_limit,target_overload_safety_status,current_target_rs_power_dbm,current_target_electrical_tilt_deg,suggested_target_rs_power_dbm,suggested_target_electrical_tilt_deg,target_cell_availability,target_erab_drop_rate,ml_safety_status,model_name,rsrp_proxy_method,sinr_proxy_method,config_source,parameter_suggestion,prediction_claim,engineering_selection_allowed,engineering_selection_note,predicted_reward,ml_rank,ml_selected
2026-05-19 10:45:00|S7,19-May-2026 10:45:00,3,NORTHEAST,7,denver,501_3,3,UB-DU-11r horoolol Denver_03,degraded_kpi,traffic_collapse|high_erab_drop,NaN,,,no_op,0,0,0,1,0.0829,0.0829,-86.3925,6.92921982998655,0.6467,0,1,3.0653,NaN,NaN,0.59307,10.67694,NaN,NaN,NaN,no_op_baseline,15,4,NaN,NaN,NaN,NaN,no_op_baseline,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"no RF parameter change",simulation-trained action-value estimate; not observed real KPI after-action,1,no-op baseline,-0.000141452288962557,1,1
2026-05-19 10:45:00|S8,19-May-2026 10:45:00,3,NORTHEAST,8,denver,501_1,1,UB-DU-11r horoolol Denver_01,outage_like,tx_power_zero_or_low|very_low_rssi|traffic_collapse|active_user_collapse,17,shutis,515_5,compensate_neighbor,3,-1,0,0,0.0322,0.2704,-125,-5,0.4296,0.5,1,0.456,4.3289,429866.97,0.59307,10.67694,0.86347,15.00584,0.6296,target_load_headroom_ok,15,4,18,3,1,0.006,site_outage_coc_ml_advisory,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"ML-ranked COC target S17: +3 dB RS power, -1 deg electrical tilt",simulation-trained action-value estimate; not observed real KPI after-action,1,within KPI-only COC advisory action range with target load headroom check,0.055671232659106,3,1
2026-05-19 10:45:00|S9,19-May-2026 10:45:00,3,NORTHEAST,9,denver,501_2,2,UB-DU-11r horoolol Denver_02,outage_like,tx_power_zero_or_low|very_low_rssi|traffic_collapse|active_user_collapse|high_rrc_drop,17,shutis,515_5,compensate_neighbor,3,-1,0,0,0.0245,0.2704,-125,-5,0.0657,0,1,0.0365,4.3289,429866.97,0.59307,10.67694,0.86347,15.00584,0.6296,target_load_headroom_ok,15,4,18,3,1,0.006,site_outage_coc_ml_advisory,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"ML-ranked COC target S17: +3 dB RS power, -1 deg electrical tilt",simulation-trained action-value estimate; not observed real KPI after-action,1,within KPI-only COC advisory action range with target load headroom check,0.0556331597458609,1,1
2026-05-19 11:00:00|S1,19-May-2026 11:00:00,1,CENTER,1,gemtel,683_1,1,UB-DU-Shine gemtel 29r bair_01,outage_like,availability_zero_or_low|tx_power_zero_or_low|very_low_rssi|traffic_collapse|active_user_collapse,10,rivercastle,684_1,compensate_neighbor,3,-1,0,0,0,0.2502,-125,-3,0,0,1,0,5.3283,367368.64,0.60519,11.31786,0.85539,16.64616,0.6498,target_load_headroom_ok,15,4,18,3,1,0,site_outage_coc_ml_advisory,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"ML-ranked COC target S10: +3 dB RS power, -1 deg electrical tilt",simulation-trained action-value estimate; not observed real KPI after-action,1,within KPI-only COC advisory action range with target load headroom check,0.0556331597458609,1,1
2026-05-19 11:00:00|S2,19-May-2026 11:00:00,1,CENTER,2,gemtel,683_3,3,UB-DU-Shine gemtel 29r bair_03,outage_like,availability_zero_or_low|tx_power_zero_or_low|very_low_rssi|traffic_collapse|active_user_collapse,10,rivercastle,684_1,compensate_neighbor,3,-1,0,0,0,0.2502,-125,-3,0,0,1,0,5.3283,367368.64,0.60519,11.31786,0.85539,16.64616,0.6498,target_load_headroom_ok,15,4,18,3,1,0,site_outage_coc_ml_advisory,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"ML-ranked COC target S10: +3 dB RS power, -1 deg electrical tilt",simulation-trained action-value estimate; not observed real KPI after-action,1,within KPI-only COC advisory action range with target load headroom check,0.0556331597458609,1,1
2026-05-19 11:00:00|S3,19-May-2026 11:00:00,1,CENTER,3,gemtel,683_2,2,UB-DU-Shine gemtel 29r bair_02,outage_like,availability_zero_or_low|tx_power_zero_or_low|very_low_rssi|traffic_collapse|active_user_collapse,10,rivercastle,684_1,compensate_neighbor,3,-1,0,0,0,0.2502,-125,-3,0,0,1,0,5.3283,367368.64,0.60519,11.31786,0.85539,16.64616,0.6498,target_load_headroom_ok,15,4,18,3,1,0,site_outage_coc_ml_advisory,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"ML-ranked COC target S10: +3 dB RS power, -1 deg electrical tilt",simulation-trained action-value estimate; not observed real KPI after-action,1,within KPI-only COC advisory action range with target load headroom check,0.0556331597458609,1,1
2026-05-19 11:00:00|S7,19-May-2026 11:00:00,3,NORTHEAST,7,denver,501_3,3,UB-DU-11r horoolol Denver_03,outage_like,tx_power_zero_or_low|very_low_rssi|traffic_collapse|active_user_collapse|high_erab_drop,10,rivercastle,684_1,compensate_neighbor,3,-1,0,0,0.0269,0.2502,-125,-5,0.1449,0,1,0.1309,5.3283,367368.64,0.60519,11.31786,0.85539,16.64616,0.6498,target_load_headroom_ok,15,4,18,3,1,0,site_outage_coc_ml_advisory,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"ML-ranked COC target S10: +3 dB RS power, -1 deg electrical tilt",simulation-trained action-value estimate; not observed real KPI after-action,1,within KPI-only COC advisory action range with target load headroom check,0.0556331597458609,1,1
2026-05-19 11:00:00|S8,19-May-2026 11:00:00,3,NORTHEAST,8,denver,501_1,1,UB-DU-11r horoolol Denver_01,outage_like,tx_power_zero_or_low|very_low_rssi|traffic_collapse|active_user_collapse,10,rivercastle,684_1,compensate_neighbor,3,-1,0,0,0.0281,0.2502,-125,-5,0.1203,0,1,0.2223,5.3283,367368.64,0.60519,11.31786,0.85539,16.64616,0.6498,target_load_headroom_ok,15,4,18,3,1,0,site_outage_coc_ml_advisory,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"ML-ranked COC target S10: +3 dB RS power, -1 deg electrical tilt",simulation-trained action-value estimate; not observed real KPI after-action,1,within KPI-only COC advisory action range with target load headroom check,0.0556331597458609,1,1
2026-05-19 11:00:00|S9,19-May-2026 11:00:00,3,NORTHEAST,9,denver,501_2,2,UB-DU-11r horoolol Denver_02,outage_like,tx_power_zero_or_low|very_low_rssi|traffic_collapse|active_user_collapse,10,rivercastle,684_1,compensate_neighbor,3,-1,0,0,0.024,0.2502,-125,-3,0.64,0,1,0,5.3283,367368.64,0.60519,11.31786,0.85539,16.64616,0.6498,target_load_headroom_ok,15,4,18,3,1,0,site_outage_coc_ml_advisory,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"ML-ranked COC target S10: +3 dB RS power, -1 deg electrical tilt",simulation-trained action-value estimate; not observed real KPI after-action,1,within KPI-only COC advisory action range with target load headroom check,0.0557231921265241,1,1
2026-05-19 11:15:00|S1,19-May-2026 11:15:00,1,CENTER,1,gemtel,683_1,1,UB-DU-Shine gemtel 29r bair_01,outage_like,availability_zero_or_low|tx_power_zero_or_low|very_low_rssi|traffic_collapse|active_user_collapse,NaN,,,no_op,0,0,0,1,0,0,-125,-3,0,0,1,0,NaN,NaN,0.62099,11.3885,NaN,NaN,NaN,no_op_baseline,15,4,NaN,NaN,NaN,NaN,no_op_baseline,LSBoost,RSSI_minus_20dB_planning_proxy,KPI_quality_proxy_from_RSSI_setup_drop_BLER,assumed_not_vendor_verified,"no RF parameter change",simulation-trained action-value estimate; not observed real KPI after-action,1,no-op baseline,0.00247739617279322,19,1
