episode_id,timestamp,affected_sector_count,affected_sites,affected_sectors,affected_sector_cells,target_label,target_cell_uid,target_sim_sector_id,safe_candidate_rows,rejected_candidate_rows,selected_rows,mean_target_prb,mean_estimated_absorbed_load,mean_estimated_target_prb_after_coc,mean_target_active_users,mean_estimated_target_users_after_coc,decision,decision_note
4,19-May-2026 16:15:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S6 | cell 608_3,608_3,6,0,36,0,0.5443,0.62099,1,15.5444,26.9329,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 16:15:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S10 | cell 684_1,684_1,10,0,36,0,0.4502,0.62099,1,9.7956,21.1841,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 16:15:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S17 | cell 515_5,515_5,17,0,36,0,0.4621,0.62099,1,5.4572,16.8457,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 16:15:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",no-op,,NaN,0,0,6,NaN,NaN,NaN,NaN,NaN,selected_no_op,ML/safety selected no-op for affected source rows
4,19-May-2026 16:30:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S13 | cell 515_3,515_3,13,0,36,0,0.6344,0.62099,1,38.3889,49.7774,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 16:30:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S16 | cell 515_4,515_4,16,0,36,0,0.6114,0.62099,1,27.9867,39.3752,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 16:30:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S17 | cell 515_5,515_5,17,0,36,0,0.3374,0.62099,0.958390000000001,4.2239,15.6124,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 16:30:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",no-op,,NaN,0,0,6,NaN,NaN,NaN,NaN,NaN,selected_no_op,ML/safety selected no-op for affected source rows
5,23-May-2026 09:15:00,1,Site 5,"S15","S15 | cell 515_2",S2 | cell 683_3,683_3,2,6,0,0,0.1543,0.0372,0.1915,3.3717,3.88526,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
5,23-May-2026 09:15:00,1,Site 5,"S15","S15 | cell 515_2",S16 | cell 515_4,515_4,16,6,0,0,0.1444,0.0372,0.1816,3.1217,3.63526,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
5,23-May-2026 09:15:00,1,Site 5,"S15","S15 | cell 515_2",S17 | cell 515_5,515_5,17,6,0,0,0.1222,0.0372,0.1594,1.5906,2.10416,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
5,23-May-2026 09:15:00,1,Site 5,"S15","S15 | cell 515_2",no-op,,NaN,0,0,1,NaN,NaN,NaN,NaN,NaN,selected_no_op,ML/safety selected no-op for affected source rows
6,23-May-2026 10:00:00,1,Site 1,"S3","S3 | cell 683_2",S12 | cell 684_3,684_3,12,6,0,0,0.105,0.00488,0.10988,2.8789,2.99956,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
6,23-May-2026 10:00:00,1,Site 1,"S3","S3 | cell 683_2",S14 | cell 515_1,515_1,14,6,0,0,0.0847,0.00488,0.08958,2.0606,2.18126,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
6,23-May-2026 10:00:00,1,Site 1,"S3","S3 | cell 683_2",S15 | cell 515_2,515_2,15,6,0,0,0.0764,0.00488,0.08128,2.215,2.33566,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
6,23-May-2026 10:00:00,1,Site 1,"S3","S3 | cell 683_2",no-op,,NaN,0,0,1,NaN,NaN,NaN,NaN,NaN,selected_no_op,ML/safety selected no-op for affected source rows
7,23-May-2026 20:00:00,1,Site 6,"S18","S18 | cell 515_6",S3 | cell 683_2,683_2,3,6,0,0,0.2481,0.04576,0.29386,4.69,5.56646,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
7,23-May-2026 20:00:00,1,Site 6,"S18","S18 | cell 515_6",S12 | cell 684_3,684_3,12,6,0,0,0.205,0.04576,0.25076,3.7267,4.60316,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
7,23-May-2026 20:00:00,1,Site 6,"S18","S18 | cell 515_6",S15 | cell 515_2,515_2,15,6,0,0,0.173,0.04576,0.21876,2.27,3.14646,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
7,23-May-2026 20:00:00,1,Site 6,"S18","S18 | cell 515_6",no-op,,NaN,0,0,1,NaN,NaN,NaN,NaN,NaN,selected_no_op,ML/safety selected no-op for affected source rows
8,24-May-2026 01:00:00,1,Site 6,"S16","S16 | cell 515_4",S10 | cell 684_1,684_1,10,6,0,0,0.0837,0.03654,0.12024,1.3078,2.42134,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
8,24-May-2026 01:00:00,1,Site 6,"S16","S16 | cell 515_4",S12 | cell 684_3,684_3,12,6,0,0,0.0314,0.03654,0.06794,1.1794,2.29294,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
8,24-May-2026 01:00:00,1,Site 6,"S16","S16 | cell 515_4",S14 | cell 515_1,515_1,14,6,0,0,0.0451,0.03654,0.08164,0.8617,1.97524,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
8,24-May-2026 01:00:00,1,Site 6,"S16","S16 | cell 515_4",no-op,,NaN,0,0,1,NaN,NaN,NaN,NaN,NaN,selected_no_op,ML/safety selected no-op for affected source rows
