episode_id,timestamp,affected_sector_count,affected_sites,affected_sectors,affected_sector_cells,target_label,target_cell_uid,target_sim_sector_id,safe_candidate_rows,rejected_candidate_rows,selected_rows,mean_target_prb,mean_estimated_absorbed_load,mean_estimated_target_prb_after_coc,mean_target_active_users,mean_estimated_target_users_after_coc,decision,decision_note
4,19-May-2026 13:30:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",no-op,,NaN,0,0,6,NaN,NaN,NaN,NaN,NaN,selected_no_op,ML/safety selected no-op for affected source rows
4,19-May-2026 13:45:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S10 | cell 684_1,684_1,10,0,36,0,0.334,0.62099,0.95499,8.125,19.5135,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 13:45:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S13 | cell 515_3,515_3,13,0,36,0,0.4252,0.62099,1,52.2817,63.6702,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 13:45:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S17 | cell 515_5,515_5,17,0,36,0,0.4589,0.62099,1,6.5283,17.9168,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 13:45:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",no-op,,NaN,0,0,6,NaN,NaN,NaN,NaN,NaN,selected_no_op,ML/safety selected no-op for affected source rows
4,19-May-2026 14:00:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S10 | cell 684_1,684_1,10,0,36,0,0.3715,0.62099,0.992490000000001,7.9972,19.3857,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 14:00:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S13 | cell 515_3,515_3,13,0,36,0,0.4866,0.62099,1,49.6867,61.0752,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 14:00:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S17 | cell 515_5,515_5,17,0,36,0,0.455,0.62099,1,5.9933,17.3818,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 14:00:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",no-op,,NaN,0,0,6,NaN,NaN,NaN,NaN,NaN,selected_no_op,ML/safety selected no-op for affected source rows
4,19-May-2026 14:15:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S10 | cell 684_1,684_1,10,0,36,0,0.4297,0.62099,1,8.0339,19.4224,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 14:15:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S13 | cell 515_3,515_3,13,0,36,0,0.4711,0.62099,1,48.5872,59.9757,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 14:15:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S17 | cell 515_5,515_5,17,0,36,0,0.3373,0.62099,0.958290000000001,4.3453,15.7338,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 14:15:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",no-op,,NaN,0,0,6,NaN,NaN,NaN,NaN,NaN,selected_no_op,ML/safety selected no-op for affected source rows
4,19-May-2026 14:30:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S13 | cell 515_3,515_3,13,0,36,0,0.4195,0.62099,1,48.6873,60.0758,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 14:30:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S15 | cell 515_2,515_2,15,0,36,0,0.5584,0.62099,1,21.8467,33.2352,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 14:30:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S17 | cell 515_5,515_5,17,36,0,6,0.2198,0.62099,0.840789999999999,4.7344,16.1229,selected_compensation,ML selected this target after target load/headroom safety.
4,19-May-2026 14:45:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S13 | cell 515_3,515_3,13,0,36,0,0.4074,0.62099,1,52.0944,63.4829,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 14:45:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S17 | cell 515_5,515_5,17,36,0,6,0.2617,0.62099,0.88269,4.9617,16.3502,selected_compensation,ML selected this target after target load/headroom safety.
4,19-May-2026 14:45:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S19 | cell 501_6,501_6,19,0,36,0,0.5956,0.62099,1,21.4006,32.7891,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 15:00:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S6 | cell 608_3,608_3,6,0,36,0,0.4464,0.62099,1,14.6483,26.0368,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 15:00:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S10 | cell 684_1,684_1,10,0,36,0,0.46,0.62099,1,8.7233,20.1118,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 15:00:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S17 | cell 515_5,515_5,17,0,36,0,0.3547,0.62099,0.97569,4.7539,16.1424,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 15:00:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",no-op,,NaN,0,0,6,NaN,NaN,NaN,NaN,NaN,selected_no_op,ML/safety selected no-op for affected source rows
4,19-May-2026 15:15:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S10 | cell 684_1,684_1,10,36,0,6,0.257,0.62099,0.87799,7.4006,18.7891,selected_compensation,ML selected this target after target load/headroom safety.
4,19-May-2026 15:15:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S13 | cell 515_3,515_3,13,0,36,0,0.5803,0.62099,1,41.1328,52.5213000000001,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
4,19-May-2026 15:15:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S17 | cell 515_5,515_5,17,36,0,0,0.2752,0.62099,0.89619,5.0839,16.4724,safe_not_selected,Target was safe at this timestamp but ML chose another action/target.
4,19-May-2026 15:30:00,6,Site 1 + Site 3,"S1, S2, S3, S7, S8, S9","S1 | cell 683_1, S2 | cell 683_3, S3 | cell 683_2, S7 | cell 501_3, S8 | cell 501_1, S9 | cell 501_2",S10 | cell 684_1,684_1,10,0,36,0,0.4001,0.62099,1,8.2128,19.6013,rejected_projected_overload,Rejected because estimated post-COC target load exceeded safety headroom.
