timestamp,end_timestamp,granularity,vendor_site_key,vendor_file,sim_site_id,sim_position,site_id,eNodeBId,cell_id,cell_uid,vendor_cell_name,vendor_site_name,rrc_setup_success_rate,rrc_drop_rate,erab_setup_success_rate,erab_drop_rate,cell_availability,traffic_volume_dl_kbyte,traffic_volume_ul_kbyte,active_users,max_active_users,dl_throughput_mbps,ul_throughput_mbps,dl_bler,ul_bler,ul_prb_utilization,dl_prb_utilization,handover_intra_enb_intra_freq_success,handover_intra_enb_inter_freq_success,handover_inter_enb_x2_success,handover_inter_enb_s1_success,rssi_min_dbm,rssi_max_dbm,rssi_avg_dbm,tx_power_w,sim_sector_id,sim_azimuth_deg,selected_for_21cell_topology
18-May-2026 11:45:00,18-May-2026 12:00:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0.0018,1,0.0021,1,828873.4,148495.04,9.2911,20,17.49144,1.82144,0.1159,0.0451,0.4299,0.3994,1,0.988,1,0.9631,-85.61,-71.63,-79.2691,28.9722,1,30,1
18-May-2026 12:00:00,18-May-2026 12:15:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0.001,1,0.0012,1,680419.76,83064.81,7.9822,17,17.52648,1.13256,0.1182,0.0434,0.3707,0.3434,1,0.993,1,0.9039,-85.14,-71.58,-80.6326,27.0824,1,30,1
18-May-2026 12:15:00,18-May-2026 12:30:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0.0022,0.9965,0.0013,1,769808.21,59569.35,7.5578,17,22.25256,0.87328,0.1121,0.0485,0.328,0.3102,1,0.9931,1,0.9345,-85.26,-64.21,-80.1084,26.3922,1,30,1
18-May-2026 12:30:00,18-May-2026 12:45:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0.0017,1,0.002,1,1103155.83,109962.72,11.7044,26,20.73128,1.138,0.1129,0.0492,0.5307,0.4621,0.9615,0.9944,1,0.9279,-86.15,-65.87,-76.5116,32.6958,1,30,1
18-May-2026 12:45:00,18-May-2026 13:00:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0.0026,1,0.0028,1,1424492.22,134738.03,12.4411,22,20.38496,1.30328,0.1117,0.0496,0.6383,0.6211,1,1,1,0.9248,-84.04,-67.26,-76.8005,34.7294,1,30,1
18-May-2026 13:00:00,18-May-2026 13:15:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0.0017,1,0.0019,1,1271333.71,119453.39,13.7006,26,20.23904,1.17984,0.1145,0.0531,0.6035,0.5609,1,1,1,0.9328,-84.02,-62.44,-74.9822,33.8025,1,30,1
18-May-2026 13:15:00,18-May-2026 13:30:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0.0036,1,0.0035,1,733071.92,90100.57,12.0694,22,16.36528,0.9496,0.1148,0.0498,0.5183,0.3656,1,1,1,0.9122,-86.65,-66.01,-77.0816,28.8511,1,30,1
18-May-2026 13:30:00,18-May-2026 13:45:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0.0029,1,0.0032,1,811272.24,78374.64,9.1322,17,17.79632,0.88976,0.1142,0.0501,0.4945,0.3975,0.9615,0.9935,1,0.8852,-83.22,-71.56,-79.1702,28.2547,1,30,1
18-May-2026 13:45:00,18-May-2026 14:00:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0.0028,1,0.0026,1,1385516.94,105506.35,11.1761,23,21.65976,1.1476,0.1155,0.0494,0.4797,0.5891,1,0.9882,1,0.9094,-87.33,-70.81,-78.9144,31.8474,1,30,1
18-May-2026 14:00:00,18-May-2026 14:15:00,15 minutes,gemtel,gemtel.xlsx,1,CENTER,1,683,1,683_1,UB-DU-Shine gemtel 29r bair_01,UB-Shine gemtel 29r bair(683),1,0.002,1,0.0021,1,918101.18,98525.9,9.9706,20,18.93064,1.0388,0.116,0.0545,0.4271,0.3713,1,0.9935,1,0.9297,-85.39,-72.24,-79.6234,28.6733,1,30,1
