ueId,x_m,y_m,servingSector,servingSite,bestRSRP_dBm,bestSINR_dB,isAttached
94,43.4176111705444,886.822278312286,4,2,-59.7492165620694,24.542074092698,1
95,469.095612585119,-12.2553622922035,2,1,-96.299050969523,-2.19805037001495,1
96,-315.097444881443,-49.0202642270042,3,1,-81.694382803694,14.4461776371589,1
97,1090.09969465432,233.336186867224,8,3,-97.686096959541,8.10837341754623,1
98,-573.531834799682,-384.292505607071,16,6,-82.835184510877,0.768813178466284,1
99,-6.35760236856595,449.503365890156,5,2,-89.8396968043913,9.49560870817068,1
100,-460.090583381005,165.977854469557,20,7,-90.2036053891086,5.19956326103138,1
101,-497.147560221827,-588.270082296896,15,5,-92.0135816158921,2.92802822685457,1
102,253.159353419387,751.021724117279,4,2,-91.3194982923305,-1.99004859604647,1
103,6.19015115391971,400.102080550254,1,1,-88.8637358806063,12.5044617036232,1
104,943.339168506014,526.131241541271,7,3,-97.7041263023147,0.255140432757513,1
105,-601.768303329569,850.982471374629,6,2,-93.8284783259314,11.2273832270599,1
106,-820.505919323977,498.629396330432,21,7,-77.7874665731776,12.5823707007825,1
107,-24.3704524227869,454.868179523424,5,2,-82.0549088040506,10.646311334823,1
108,1122.14395400815,299.502112444015,8,3,-103.271259938083,0.568592142867992,1
109,-596.007097474525,638.127374761226,19,7,-87.0062186499712,10.7990080130882,1
110,397.736401060587,-862.046236043458,14,5,-89.8628433018816,9.2442120193756,1
111,-305.500297551868,822.710321152807,6,2,-89.7463628754862,10.6386535261006,1
112,305.705856185199,-937.129812973549,14,5,-88.3653730873307,3.51302322282911,1
113,308.533753736944,-416.336545402815,12,4,-93.3067695468862,2.49428062519655,1
114,82.6609861089507,614.875556243716,5,2,-78.3657371149951,17.1837126950867,1
115,774.749956485412,802.88920712503,7,3,-91.7950475486433,14.6988296860837,1
116,-414.105587315893,838.662271782504,19,7,-98.5680086894448,0.658739999475022,1
117,-724.330339384716,18.8565555024772,16,6,-102.207761722613,-2.07105963579513,1
118,210.017237289485,-537.743764079873,12,4,-92.4412643334139,-1.31703658037301,1
119,410.280219862115,295.248732306026,1,1,-86.8407933581074,3.93879870679939,1
120,27.9422208733606,332.838471184163,9,3,-94.1284040531449,-1.37619295067718,1
121,-631.958870128896,-606.512932867703,17,6,-76.4060046418058,18.5641333561229,1
122,335.43625392628,338.373870718089,9,3,-88.0588775966804,6.70521339841509,1
123,-752.408939024519,100.965909611543,20,7,-88.4360991908063,9.37640604423577,1
124,441.180743454796,706.629399866193,9,3,-86.5169200588373,9.36804144915853,1
125,-261.709312275725,-992.40166225178,17,6,-91.9798572520991,0.881753367275308,1
126,1009.10832523049,659.113901065688,0,0,-109.135004339483,-1.95080501871917,0
127,-837.544117458035,104.20102753051,20,7,-86.3455155977423,16.8216585247997,1
128,-893.108093553136,-399.283955892414,18,6,-81.4267240435095,19.4719747414956,1
129,981.297087284516,334.879652758786,8,3,-89.4824691673178,10.3147995571865,1
130,732.973625413085,474.424726985926,7,3,-75.1766564357264,13.2271951681991,1
131,127.546996957143,-1091.24196738698,14,5,-102.083434993082,3.92352263698065,1
132,68.5106272493267,-502.581059673743,13,5,-86.0256357448781,5.04646803392244,1
133,-596.476104480575,525.649235674787,19,7,-79.0040058602033,14.1615636291159,1
134,917.806742383033,207.48621905938,8,3,-80.3780332481779,23.4110515437611,1
135,925.205975034862,-389.156172877978,10,4,-91.1639537850671,6.98652309237025,1
136,307.544231215436,305.320227650682,1,1,-99.3492497604124,-0.107892087550656,1
137,-348.416361476695,938.156692619006,6,2,-89.6629765500561,18.2408561269628,1
138,894.401903655616,630.388518434329,7,3,-92.9138717842669,7.12440012894924,1
139,328.178325914964,652.132821582734,5,2,-96.0522210137197,-1.24200394015356,1
140,920.899320107369,-445.396662387709,11,4,-85.6062754288114,8.7228742045675,1
141,245.914988479725,-28.6767468316259,2,1,-99.8363443108787,-2.41740496592712,1
142,-920.839865149665,462.833779700925,21,7,-82.5826342248897,20.9987385877768,1
143,377.78719266359,-136.599489538634,12,4,-98.0163858525879,0.366297420938493,1
144,112.604295189575,-186.397428736412,2,1,-80.6517648707107,13.5191887759401,1
145,443.393049613036,-122.751199122209,12,4,-91.0446833336308,6.84853041558687,1
146,351.121690818954,-849.373623719042,2,1,-100.965676094698,0.307002338024608,1
147,-637.103341929258,744.414945243149,19,7,-97.3884248448259,8.98221109028067,1
148,490.261315285564,489.061307922552,9,3,-78.6088259253431,14.520526820955,1
149,-607.112266404766,-705.076461354367,17,6,-90.2840883510439,3.98445931834247,1
150,569.543048147079,455.773493905211,9,3,-72.1927732671479,15.9140795171684,1
151,345.74178108007,390.151735607822,9,3,-88.1243920568516,4.72299998700929,1
152,806.915622887286,-572.53571843159,11,4,-91.8064922456599,6.67277480011749,1
153,157.833860940206,-881.10348353502,14,5,-83.4293873162727,10.0585040620406,1
154,-938.855093788972,-170.859409372337,18,6,-85.5985310642967,18.1609489381775,1
155,-305.655869465891,1120.1615494506,6,2,-101.792204573857,0.524178522143465,1
156,-542.523416361055,-202.69419775697,16,6,-92.8638513040638,1.1053079927352,1
157,-591.537537778576,349.787807696104,20,7,-77.5896619069223,15.8008077533116,1
158,1092.93820216756,-258.581382307199,10,4,-99.1187718753518,-1.79435548069002,1
159,-247.008400629623,-570.122570632612,15,5,-91.0943611125753,2.38336532231649,1
160,303.008913209524,-228.93804156138,2,1,-89.9694187359406,1.09152499314595,1
161,6.09326740889651,-681.883704653239,13,5,-76.736201438536,12.6257143546969,1
162,177.69411815181,-724.430897673682,13,5,-82.3409560197935,7.32527659328865,1
163,-17.2886168892319,-1183.9195762006,14,5,-81.2996856500194,24.8613807124427,1
164,-704.171561643657,382.969452604675,20,7,-68.6087804340625,5.51958619106235,1
165,513.99786427498,-331.980273545384,12,4,-77.8085008393576,19.4455966668257,1
166,-746.068073962233,-794.070297250793,17,6,-101.160314490761,0.339919537465103,1
