oracle_group_id,scenario_name,realization_id,source_sector_id,target_sector_id,module_name,selected_action_id_raw,selected_action_id_safe,raw_action_type,safe_action_type,raw_predicted_reward,safe_predicted_reward,raw_true_reward,safe_true_reward,raw_selected_safety_valid,safe_selected_safety_valid,safety_filter_changed_action,fallback_used,noop_selected,selection_reason,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action,oracle_action_id,oracle_reward,raw_regret,safety_enforced_regret,raw_top1_oracle_match,safe_top1_oracle_match,safe_top2_oracle_match
99,mixed_conflict,2,1,0,LB/MLB,9402,9402,no_op,no_op,-0.0900057319360035,-0.0900057319360035,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,0,0,0,,9402,0,0,0,1,1,1
100,mixed_conflict,2,3,2,LB/MLB,9415,9425,no_op,cio_bias_to_neighbor,-0.0745822714707552,-0.127660944711165,0,-0.1275,0,1,1,0,0,safe_best_predicted,0,0,-3,0,0,,9425,-0.1275,-0.1275,0,0,1,1
101,mixed_conflict,2,4,19,LB/MLB,9428,9438,no_op,cio_bias_to_neighbor,-0.0785931692877713,-0.12748666789774,0,-0.1275,0,1,1,0,0,safe_best_predicted,0,0,-3,0,0,,9438,-0.1275,-0.1275,0,0,1,1
102,mixed_conflict,2,5,0,LB/MLB,9443,9441,cio_bias_to_neighbor,no_op,-0.128734622696948,-0.236711859668221,-0.1338,0,0,0,1,1,1,no_safe_action_fallback_noop,0,0,0,0,0,,9441,0,0.1338,0,0,1,1
103,mixed_conflict,2,6,19,LB/MLB,9454,9456,no_op,cio_bias_to_neighbor,-0.0875542999337249,-0.127514451695031,0,-0.1275,0,1,1,0,0,safe_best_predicted,0,0,-3,0,0,,9456,-0.1275,-0.1275,0,0,1,1
104,mixed_conflict,2,7,0,LB/MLB,9469,9467,cio_bias_to_neighbor,no_op,-0.133824615005311,-0.139263480492008,-0.1338,0,0,0,1,1,1,no_safe_action_fallback_noop,0,0,0,0,0,,9467,0,0.1338,0,0,1,1
105,mixed_conflict,2,8,0,LB/MLB,9480,9480,no_op,no_op,-0.0877738358492946,-0.0877738358492946,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,0,0,0,,9480,0,0,0,1,1,1
106,mixed_conflict,2,9,0,LB/MLB,9493,9493,no_op,no_op,-0.0831754340818798,-0.0831754340818798,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,0,0,0,,9493,0,0,0,1,1,1
107,mixed_conflict,2,10,0,LB/MLB,9506,9506,no_op,no_op,-0.0872465833634093,-0.0872465833634093,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,0,0,0,,9506,0,0,0,1,1,1
108,mixed_conflict,2,11,2,LB/MLB,9530,9529,cio_bias_to_neighbor,cio_bias_to_neighbor,-0.0760511306848844,-0.127523543170048,-0.475332966049175,-0.1275,0,1,1,0,0,safe_best_predicted,0,0,-3,0,0,,9529,-0.1275,0.347832966049175,0,0,1,1
109,mixed_conflict,2,12,2,LB/MLB,9538,9534,cio_bias_to_neighbor,cio_bias_to_neighbor,-0.133795332778057,-0.133890524556515,-0.1338,-0.1338,0,1,1,0,0,safe_best_predicted,0,0,-3,0,0,,9534,-0.1338,0,0,0,1,1
110,mixed_conflict,2,13,2,LB/MLB,9545,9547,no_op,cio_bias_to_neighbor,-0.08235893219021,-0.127633022004223,0,-0.1275,0,1,1,0,0,safe_best_predicted,0,0,-3,0,0,,9547,-0.1275,-0.1275,0,0,1,1
111,mixed_conflict,2,15,14,LB/MLB,9560,9568,cio_bias_to_neighbor,cio_bias_to_neighbor,-0.133768626310556,-0.13379173981548,-0.1338,-0.1338,0,1,1,0,0,safe_best_predicted,0,0,-3,0,0,,9568,-0.1338,0,0,0,1,1
112,mixed_conflict,2,16,18,LB/MLB,9582,9582,cio_bias_to_neighbor,cio_bias_to_neighbor,0.259682175745716,0.259682175745716,0.26125,0.26125,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,9582,0.26125,0,0,1,1,1
113,mixed_conflict,2,17,0,LB/MLB,9584,9584,no_op,no_op,-0.0861540053658843,-0.0861540053658843,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,0,0,0,,9584,0,0,0,1,1,1
114,mixed_conflict,2,19,0,LB/MLB,9597,9597,no_op,no_op,-0.000943824741368859,-0.000943824741368859,0,0,1,1,0,0,1,safe_best_predicted,0,0,0,0,0,,9597,0,0,0,1,1,1
115,mixed_conflict,2,20,0,LB/MLB,9610,9610,no_op,no_op,-0.0735336001714354,-0.0735336001714354,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,0,0,0,,9610,0,0,0,1,1,1
116,mixed_conflict,2,21,19,LB/MLB,9623,9625,no_op,cio_bias_to_neighbor,-0.083795316811599,-0.127519582582775,0,-0.1275,0,1,1,0,0,safe_best_predicted,0,0,-3,0,0,,9625,-0.1275,-0.1275,0,0,1,1
118,outage_sector,2,17,0,LB/MLB,9649,9649,no_op,no_op,0.00065109626196729,0.00065109626196729,0,0,1,1,0,0,1,safe_best_predicted,0,0,0,0,0,,9649,0,0,0,1,1,1
119,outage_sector,2,20,0,LB/MLB,9662,9662,no_op,no_op,-0.000560897175992863,-0.000560897175992863,0,0,1,1,0,0,1,safe_best_predicted,0,0,0,0,0,,9662,0,0,0,1,1,1
138,degraded_sector,3,1,5,LB/MLB,9913,9913,cio_bias_to_neighbor,cio_bias_to_neighbor,0.0637207532805646,0.0637207532805646,0.06625,0.06625,1,1,0,0,0,safe_best_predicted,0,0,6,0,0,,9913,0.06625,0,0,1,1,1
142,mixed_conflict,3,4,0,LB/MLB,9961,9961,no_op,no_op,0.000442056350905537,0.000442056350905537,0,0,1,1,0,0,1,safe_best_predicted,0,0,0,0,0,,9961,0,0,0,1,1,1
143,mixed_conflict,3,5,1,LB/MLB,9977,9976,cio_bias_to_neighbor,cio_bias_to_neighbor,-0.0835282646743587,-0.127538258020841,-0.421319950151505,-0.1275,0,1,1,0,0,safe_best_predicted,0,0,-3,0,0,,9976,-0.1275,0.293819950151505,0,0,1,1
144,mixed_conflict,3,6,0,LB/MLB,9987,9987,no_op,no_op,-0.0792161022490405,-0.0792161022490405,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,0,0,0,,9987,0,0,0,1,1,1
145,mixed_conflict,3,7,0,LB/MLB,10000,10000,no_op,no_op,0.000287382305440368,0.000287382305440368,0,0,1,1,0,0,1,safe_best_predicted,0,0,0,0,0,,10000,0,0,0,1,1,1
146,mixed_conflict,3,8,0,LB/MLB,10013,10013,no_op,no_op,-0.00207909924192248,-0.00207909924192248,0,0,1,1,0,0,1,safe_best_predicted,0,0,0,0,0,,10013,0,0,0,1,1,1
147,mixed_conflict,3,9,1,LB/MLB,10026,10028,no_op,cio_bias_to_neighbor,-0.0856390772363612,-0.12747584151144,0,-0.1275,0,1,1,0,0,safe_best_predicted,0,0,-3,0,0,,10028,-0.1275,-0.1275,0,0,1,1
148,mixed_conflict,3,10,11,LB/MLB,10039,10045,no_op,cio_bias_to_neighbor,-0.0863166111500742,-0.127546003692943,0,-0.1275,0,1,1,0,0,safe_best_predicted,0,0,-3,0,0,,10041,-0.1275,-0.1275,0,0,0,1
149,mixed_conflict,3,11,0,LB/MLB,10052,10052,no_op,no_op,-0.000272303328086349,-0.000272303328086349,0,0,1,1,0,0,1,safe_best_predicted,0,0,0,0,0,,10052,0,0,0,1,1,1
150,mixed_conflict,3,12,2,LB/MLB,10068,10068,cio_bias_to_neighbor,cio_bias_to_neighbor,0.100880155115219,0.100880155115219,0.0928114796445559,0.0928114796445559,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,10068,0.0928114796445559,0,0,1,1,1
151,mixed_conflict,3,13,15,LB/MLB,10089,10089,cio_bias_to_neighbor,cio_bias_to_neighbor,0.245236430681993,0.245236430681993,0.24652193582895,0.24652193582895,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,10089,0.24652193582895,0,0,1,1,1
152,mixed_conflict,3,14,2,LB/MLB,10102,10102,cio_bias_to_neighbor,cio_bias_to_neighbor,0.0219405848238794,0.0219405848238794,0.0278065049344035,0.0278065049344035,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,10102,0.0278065049344035,0,0,1,1,1
153,mixed_conflict,3,16,3,LB/MLB,10111,10111,cio_bias_to_neighbor,cio_bias_to_neighbor,0.261235842424934,0.261235842424934,0.26125,0.26125,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,10111,0.26125,0,0,1,1,1
154,mixed_conflict,3,19,0,LB/MLB,10117,10117,no_op,no_op,-0.0760510587951398,-0.0760510587951398,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,0,0,0,,10117,0,0,0,1,1,1
155,mixed_conflict,3,20,3,LB/MLB,10133,10133,cio_bias_to_neighbor,cio_bias_to_neighbor,0.260003955461902,0.260003955461902,0.26125,0.26125,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,10133,0.26125,0,0,1,1,1
156,mixed_conflict,3,21,0,LB/MLB,10143,10143,no_op,no_op,-0.0806027829413368,-0.0806027829413368,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,0,0,0,,10143,0,0,0,1,1,1
157,normal,3,3,16,LB/MLB,10160,10160,cio_bias_to_neighbor,cio_bias_to_neighbor,0.0440438251545348,0.0440438251545348,0.06625,0.06625,1,1,0,0,0,safe_best_predicted,0,0,6,0,0,,10160,0.06625,0,0,1,1,1
176,degraded_sector,4,6,0,LB/MLB,10403,10403,no_op,no_op,0.000131484535718029,0.000131484535718029,0,0,1,1,0,0,1,safe_best_predicted,0,0,0,0,0,,10403,0,0,0,1,1,1
177,degraded_sector,4,12,2,LB/MLB,10419,10419,cio_bias_to_neighbor,cio_bias_to_neighbor,-0.0322816355258132,-0.0322816355258132,-0.0238668566292451,-0.0238668566292451,1,1,0,0,0,safe_best_predicted,0,0,3,0,0,,10419,-0.0238668566292451,0,0,1,1,1
178,degraded_sector,4,13,2,LB/MLB,10433,10433,cio_bias_to_neighbor,cio_bias_to_neighbor,0.0446840734726397,0.0446840734726397,0.05540156711438,0.05540156711438,1,1,0,0,0,safe_best_predicted,0,0,6,0,0,,10433,0.05540156711438,0,0,1,1,1
179,degraded_sector,4,17,0,LB/MLB,10442,10442,no_op,no_op,0.00100718547640093,0.00100718547640093,0,0,1,1,0,0,1,safe_best_predicted,0,0,0,0,0,,10442,0,0,0,1,1,1
