split,scenario_name,metric_name,metric_value,module_name,model_type
train,low_load,RMSE,0.000307008896749843,HO/MRO,LSBoost
train,low_load,R2,0.999869975717411,HO/MRO,LSBoost
train,low_load,mean_error,-7.56207756912032e-06,HO/MRO,LSBoost
train,low_load,median_absolute_error,0.000124633836646808,HO/MRO,LSBoost
train,low_load,spearman_rho,0.998532886126012,HO/MRO,LSBoost
train,low_load_energy_saving_candidate,MAE,0.000169962213498417,HO/MRO,LSBoost
train,low_load_energy_saving_candidate,RMSE,0.000266633545584028,HO/MRO,LSBoost
train,low_load_energy_saving_candidate,R2,0.999893880810643,HO/MRO,LSBoost
train,low_load_energy_saving_candidate,mean_error,-3.90522776411264e-06,HO/MRO,LSBoost
train,low_load_energy_saving_candidate,median_absolute_error,0.000110471271577595,HO/MRO,LSBoost
train,low_load_energy_saving_candidate,spearman_rho,0.997716073794233,HO/MRO,LSBoost
train,mixed_conflict,MAE,0.000269585753207304,HO/MRO,LSBoost
train,mixed_conflict,RMSE,0.000390459404311191,HO/MRO,LSBoost
train,mixed_conflict,R2,0.999814127637815,HO/MRO,LSBoost
train,mixed_conflict,mean_error,-1.64761200747011e-05,HO/MRO,LSBoost
train,mixed_conflict,median_absolute_error,0.000181580285821464,HO/MRO,LSBoost
train,mixed_conflict,spearman_rho,0.998848256449681,HO/MRO,LSBoost
train,normal,MAE,0.000154839064974133,HO/MRO,LSBoost
train,normal,RMSE,0.000242388592474045,HO/MRO,LSBoost
train,normal,R2,0.999907743946536,HO/MRO,LSBoost
train,normal,mean_error,-1.93105335674423e-06,HO/MRO,LSBoost
train,normal,median_absolute_error,9.88359000675954e-05,HO/MRO,LSBoost
train,normal,spearman_rho,0.99675498089183,HO/MRO,LSBoost
train,outage_sector,MAE,0.000151398550321508,HO/MRO,LSBoost
train,outage_sector,RMSE,0.000236525230525136,HO/MRO,LSBoost
train,outage_sector,R2,0.999911056090484,HO/MRO,LSBoost
train,outage_sector,mean_error,-1.48167050045584e-06,HO/MRO,LSBoost
train,outage_sector,median_absolute_error,9.88359000675954e-05,HO/MRO,LSBoost
train,outage_sector,spearman_rho,0.996643619936045,HO/MRO,LSBoost
train,overload,MAE,0.000269248153442089,HO/MRO,LSBoost
train,overload,RMSE,0.000390141485046796,HO/MRO,LSBoost
train,overload,R2,0.999812273463976,HO/MRO,LSBoost
train,overload,mean_error,-1.62039406191116e-05,HO/MRO,LSBoost
train,overload,median_absolute_error,0.000181580285821464,HO/MRO,LSBoost
train,overload,spearman_rho,0.998645019364922,HO/MRO,LSBoost
test,ALL,MAE,0.000164390267592997,HO/MRO,LSBoost
test,ALL,RMSE,0.000257983951740511,HO/MRO,LSBoost
test,ALL,R2,0.999898898275776,HO/MRO,LSBoost
test,ALL,mean_error,-3.10216953534783e-06,HO/MRO,LSBoost
test,ALL,median_absolute_error,0.000103375477919623,HO/MRO,LSBoost
test,ALL,spearman_rho,0.996854417000868,HO/MRO,LSBoost
test,degraded_sector,MAE,0.000164023504240487,HO/MRO,LSBoost
test,degraded_sector,RMSE,0.000257382581612128,HO/MRO,LSBoost
test,degraded_sector,R2,0.999899244307495,HO/MRO,LSBoost
test,degraded_sector,mean_error,-3.13984059562691e-06,HO/MRO,LSBoost
test,degraded_sector,median_absolute_error,0.000103375477919623,HO/MRO,LSBoost
test,degraded_sector,spearman_rho,0.997056981899771,HO/MRO,LSBoost
test,handover_stress,MAE,0.000143776007537681,HO/MRO,LSBoost
