coordinator_group_id,oracle_group_id,scenario_name,realization_id,module_name,module_priority,decision_source_sector_id,decision_target_sector_id,source_sector_id,target_sector_id,selected_action_id_safe,safe_action_type,safe_selected_safety_valid,fallback_used,noop_selected,safety_enforced_regret,predicted_reward,true_reward,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action,coordinator_affected_sector_id,application_affected_sector_id,application_state_variable,affected_parameter,action_scope,affected_sector_id
18,101,mixed_conflict,2,LB/MLB,3,4,19,4,19,9438,cio_bias_to_neighbor,1,0,0,0,-0.12748666789774,-0.1275,0,0,-3,0,0,,4,19,sectors.cio_dB,CIO_bias,source_neighbor,4
18,102,mixed_conflict,2,LB/MLB,3,5,0,5,0,9441,no_op,0,1,1,0,-0.236711859668221,0,0,0,0,0,0,,0,0,none,none,no_op,0
18,103,mixed_conflict,2,LB/MLB,3,6,19,6,19,9456,cio_bias_to_neighbor,1,0,0,0,-0.127514451695031,-0.1275,0,0,-3,0,0,,6,19,sectors.cio_dB,CIO_bias,source_neighbor,6
18,104,mixed_conflict,2,LB/MLB,3,7,0,7,0,9467,no_op,0,1,1,0,-0.139263480492008,0,0,0,0,0,0,,0,0,none,none,no_op,0
18,105,mixed_conflict,2,LB/MLB,3,8,0,8,0,9480,no_op,0,1,1,0,-0.0877738358492946,0,0,0,0,0,0,,0,0,none,none,no_op,0
18,106,mixed_conflict,2,LB/MLB,3,9,0,9,0,9493,no_op,0,1,1,0,-0.0831754340818798,0,0,0,0,0,0,,0,0,none,none,no_op,0
18,107,mixed_conflict,2,LB/MLB,3,10,0,10,0,9506,no_op,0,1,1,0,-0.0872465833634093,0,0,0,0,0,0,,0,0,none,none,no_op,0
18,108,mixed_conflict,2,LB/MLB,3,11,2,11,2,9529,cio_bias_to_neighbor,1,0,0,0,-0.127523543170048,-0.1275,0,0,-3,0,0,,11,2,sectors.cio_dB,CIO_bias,source_neighbor,11
18,109,mixed_conflict,2,LB/MLB,3,12,2,12,2,9534,cio_bias_to_neighbor,1,0,0,0,-0.133890524556515,-0.1338,0,0,-3,0,0,,12,2,sectors.cio_dB,CIO_bias,source_neighbor,12
18,110,mixed_conflict,2,LB/MLB,3,13,2,13,2,9547,cio_bias_to_neighbor,1,0,0,0,-0.127633022004223,-0.1275,0,0,-3,0,0,,13,2,sectors.cio_dB,CIO_bias,source_neighbor,13
18,111,mixed_conflict,2,LB/MLB,3,15,14,15,14,9568,cio_bias_to_neighbor,1,0,0,0,-0.13379173981548,-0.1338,0,0,-3,0,0,,15,14,sectors.cio_dB,CIO_bias,source_neighbor,15
18,112,mixed_conflict,2,LB/MLB,3,16,18,16,18,9582,cio_bias_to_neighbor,1,0,0,0,0.259682175745716,0.26125,0,0,3,0,0,,16,18,sectors.cio_dB,CIO_bias,source_neighbor,16
18,113,mixed_conflict,2,LB/MLB,3,17,0,17,0,9584,no_op,0,1,1,0,-0.0861540053658843,0,0,0,0,0,0,,0,0,none,none,no_op,0
18,114,mixed_conflict,2,LB/MLB,3,19,0,19,0,9597,no_op,1,0,1,0,-0.000943824741368859,0,0,0,0,0,0,,0,0,none,none,no_op,0
18,115,mixed_conflict,2,LB/MLB,3,20,0,20,0,9610,no_op,0,1,1,0,-0.0735336001714354,0,0,0,0,0,0,,0,0,none,none,no_op,0
18,116,mixed_conflict,2,LB/MLB,3,21,19,21,19,9625,cio_bias_to_neighbor,1,0,0,0,-0.127519582582775,-0.1275,0,0,-3,0,0,,21,19,sectors.cio_dB,CIO_bias,source_neighbor,21
1,118,outage_sector,2,LB/MLB,3,17,0,17,0,9649,no_op,1,0,1,0,0.00065109626196729,0,0,0,0,0,0,,0,0,none,none,no_op,0
1,119,outage_sector,2,LB/MLB,3,20,0,20,0,9662,no_op,1,0,1,0,-0.000560897175992863,0,0,0,0,0,0,,0,0,none,none,no_op,0
2,138,degraded_sector,3,LB/MLB,3,1,5,1,5,9913,cio_bias_to_neighbor,1,0,0,0,0.0637207532805646,0.06625,0,0,6,0,0,,1,5,sectors.cio_dB,CIO_bias,source_neighbor,1
19,142,mixed_conflict,3,LB/MLB,3,4,0,4,0,9961,no_op,1,0,1,0,0.000442056350905537,0,0,0,0,0,0,,0,0,none,none,no_op,0
19,143,mixed_conflict,3,LB/MLB,3,5,1,5,1,9976,cio_bias_to_neighbor,1,0,0,0,-0.127538258020841,-0.1275,0,0,-3,0,0,,5,1,sectors.cio_dB,CIO_bias,source_neighbor,5
19,144,mixed_conflict,3,LB/MLB,3,6,0,6,0,9987,no_op,0,1,1,0,-0.0792161022490405,0,0,0,0,0,0,,0,0,none,none,no_op,0
19,145,mixed_conflict,3,LB/MLB,3,7,0,7,0,10000,no_op,1,0,1,0,0.000287382305440368,0,0,0,0,0,0,,0,0,none,none,no_op,0
19,146,mixed_conflict,3,LB/MLB,3,8,0,8,0,10013,no_op,1,0,1,0,-0.00207909924192248,0,0,0,0,0,0,,0,0,none,none,no_op,0
19,147,mixed_conflict,3,LB/MLB,3,9,1,9,1,10028,cio_bias_to_neighbor,1,0,0,0,-0.12747584151144,-0.1275,0,0,-3,0,0,,9,1,sectors.cio_dB,CIO_bias,source_neighbor,9
19,148,mixed_conflict,3,LB/MLB,3,10,11,10,11,10045,cio_bias_to_neighbor,1,0,0,0,-0.127546003692943,-0.1275,0,0,-3,0,0,,10,11,sectors.cio_dB,CIO_bias,source_neighbor,10
19,149,mixed_conflict,3,LB/MLB,3,11,0,11,0,10052,no_op,1,0,1,0,-0.000272303328086349,0,0,0,0,0,0,,0,0,none,none,no_op,0
19,150,mixed_conflict,3,LB/MLB,3,12,2,12,2,10068,cio_bias_to_neighbor,1,0,0,0,0.100880155115219,0.0928114796445559,0,0,3,0,0,,12,2,sectors.cio_dB,CIO_bias,source_neighbor,12
19,151,mixed_conflict,3,LB/MLB,3,13,15,13,15,10089,cio_bias_to_neighbor,1,0,0,0,0.245236430681993,0.24652193582895,0,0,3,0,0,,13,15,sectors.cio_dB,CIO_bias,source_neighbor,13
19,152,mixed_conflict,3,LB/MLB,3,14,2,14,2,10102,cio_bias_to_neighbor,1,0,0,0,0.0219405848238794,0.0278065049344035,0,0,3,0,0,,14,2,sectors.cio_dB,CIO_bias,source_neighbor,14
19,153,mixed_conflict,3,LB/MLB,3,16,3,16,3,10111,cio_bias_to_neighbor,1,0,0,0,0.261235842424934,0.26125,0,0,3,0,0,,16,3,sectors.cio_dB,CIO_bias,source_neighbor,16
19,154,mixed_conflict,3,LB/MLB,3,19,0,19,0,10117,no_op,0,1,1,0,-0.0760510587951398,0,0,0,0,0,0,,0,0,none,none,no_op,0
19,155,mixed_conflict,3,LB/MLB,3,20,3,20,3,10133,cio_bias_to_neighbor,1,0,0,0,0.260003955461902,0.26125,0,0,3,0,0,,20,3,sectors.cio_dB,CIO_bias,source_neighbor,20
19,156,mixed_conflict,3,LB/MLB,3,21,0,21,0,10143,no_op,0,1,1,0,-0.0806027829413368,0,0,0,0,0,0,,0,0,none,none,no_op,0
20,157,normal,3,LB/MLB,3,3,16,3,16,10160,cio_bias_to_neighbor,1,0,0,0,0.0440438251545348,0.06625,0,0,6,0,0,,3,16,sectors.cio_dB,CIO_bias,source_neighbor,3
21,176,degraded_sector,4,LB/MLB,3,6,0,6,0,10403,no_op,1,0,1,0,0.000131484535718029,0,0,0,0,0,0,,0,0,none,none,no_op,0
21,177,degraded_sector,4,LB/MLB,3,12,2,12,2,10419,cio_bias_to_neighbor,1,0,0,0,-0.0322816355258132,-0.0238668566292451,0,0,3,0,0,,12,2,sectors.cio_dB,CIO_bias,source_neighbor,12
21,178,degraded_sector,4,LB/MLB,3,13,2,13,2,10433,cio_bias_to_neighbor,1,0,0,0,0.0446840734726397,0.05540156711438,0,0,6,0,0,,13,2,sectors.cio_dB,CIO_bias,source_neighbor,13
21,179,degraded_sector,4,LB/MLB,3,17,0,17,0,10442,no_op,1,0,1,0,0.00100718547640093,0,0,0,0,0,0,,0,0,none,none,no_op,0
22,180,handover_stress,4,LB/MLB,3,2,0,2,0,10455,no_op,1,0,1,0,7.60948191742348e-05,0,0,0,0,0,0,,0,0,none,none,no_op,0
22,181,handover_stress,4,LB/MLB,3,16,20,16,20,10471,cio_bias_to_neighbor,1,0,0,0,0.0665464855093544,0.0697161126571549,0,0,3,0,0,,16,20,sectors.cio_dB,CIO_bias,source_neighbor,16
23,217,handover_stress,5,LB/MLB,3,3,16,3,16,10939,cio_bias_to_neighbor,1,0,0,0,0.108468570694168,0.111482705411398,0,0,3,0,0,,3,16,sectors.cio_dB,CIO_bias,source_neighbor,3
23,218,handover_stress,5,LB/MLB,3,4,5,4,5,10952,cio_bias_to_neighbor,1,0,0,0,-0.0348517342895966,-0.0310552605818644,0,0,3,0,0,,4,5,sectors.cio_dB,CIO_bias,source_neighbor,4
23,219,handover_stress,5,LB/MLB,3,20,0,20,0,10962,no_op,1,0,1,0,0.000934238454332408,0,0,0,0,0,0,,0,0,none,none,no_op,0
24,237,outage_sector,5,LB/MLB,3,1,5,1,5,11199,cio_bias_to_neighbor,1,0,0,0,0.260529141023396,0.26125,0,0,3,0,0,,1,5,sectors.cio_dB,CIO_bias,source_neighbor,1
25,256,degraded_sector,6,LB/MLB,3,2,12,2,12,11446,cio_bias_to_neighbor,1,0,0,0,-0.0329060295520869,-0.0300447383259831,0,0,3,0,0,,2,12,sectors.cio_dB,CIO_bias,source_neighbor,2
25,257,degraded_sector,6,LB/MLB,3,16,0,16,0,11456,no_op,1,0,1,0,-0.00226968569545328,0,0,0,0,0,0,,0,0,none,none,no_op,0
25,258,degraded_sector,6,LB/MLB,3,20,0,20,0,11469,no_op,1,0,1,0,-0.00100350013783699,0,0,0,0,0,0,,0,0,none,none,no_op,0
26,278,outage_sector,6,LB/MLB,3,9,5,9,5,11740,cio_bias_to_neighbor,1,0,0,0,-0.0238976073517868,-0.0229697407911832,0,0,3,0,0,,9,5,sectors.cio_dB,CIO_bias,source_neighbor,9
26,279,outage_sector,6,LB/MLB,3,18,0,18,0,11742,no_op,1,0,1,0,0.000800607972688259,0,0,0,0,0,0,,0,0,none,none,no_op,0
27,338,mixed_conflict,8,LB/MLB,3,1,0,1,0,12509,no_op,0,1,1,0,-0.190747564872329,0,0,0,0,0,0,,0,0,none,none,no_op,0
27,339,mixed_conflict,8,LB/MLB,3,2,0,2,0,12522,no_op,0,1,1,0,-0.0829446688053345,0,0,0,0,0,0,,0,0,none,none,no_op,0
27,340,mixed_conflict,8,LB/MLB,3,3,16,3,16,12537,cio_bias_to_neighbor,1,0,0,0,-0.12707163149806,-0.1275,0,0,-3,0,0,,3,16,sectors.cio_dB,CIO_bias,source_neighbor,3
27,341,mixed_conflict,8,LB/MLB,3,4,0,4,0,12548,no_op,1,0,1,0,0.000916540394273868,0,0,0,0,0,0,,0,0,none,none,no_op,0
27,342,mixed_conflict,8,LB/MLB,3,5,4,5,4,12571,cio_bias_to_neighbor,1,0,0,0,-0.127333731128709,-0.127500000000001,0,0,-3,0,0,,5,4,sectors.cio_dB,CIO_bias,source_neighbor,5
27,343,mixed_conflict,8,LB/MLB,3,6,16,6,16,12580,cio_bias_to_neighbor,1,0,0,0,-0.127744189123056,-0.1275,0,0,-3,0,0,,6,16,sectors.cio_dB,CIO_bias,source_neighbor,6
27,344,mixed_conflict,8,LB/MLB,3,7,8,7,8,12590,cio_bias_to_neighbor,1,0,0,0,0.081441006424472,0.0549706298324548,0,0,3,0,0,,7,8,sectors.cio_dB,CIO_bias,source_neighbor,7
27,345,mixed_conflict,8,LB/MLB,3,9,0,9,0,12600,no_op,0,1,1,0,-0.0869497109117206,0,0,0,0,0,0,,0,0,none,none,no_op,0
27,346,mixed_conflict,8,LB/MLB,3,10,8,10,8,12616,cio_bias_to_neighbor,1,0,0,0,-0.0245874445372288,-0.0226783824449851,0,0,3,0,0,,10,8,sectors.cio_dB,CIO_bias,source_neighbor,10
27,347,mixed_conflict,8,LB/MLB,3,11,8,11,8,12633,cio_bias_to_neighbor,1,0,0,0,0.0847608633362545,0.0549706298324548,0,0,3,0,0,,11,8,sectors.cio_dB,CIO_bias,source_neighbor,11
27,348,mixed_conflict,8,LB/MLB,3,12,0,12,0,12639,no_op,0,1,1,0,-0.0825298667944155,0,0,0,0,0,0,,0,0,none,none,no_op,0
27,349,mixed_conflict,8,LB/MLB,3,13,15,13,15,12663,cio_bias_to_neighbor,1,0,0,0,-0.0431503823998806,-0.0391649553756275,0,0,3,0,0,,13,15,sectors.cio_dB,CIO_bias,source_neighbor,13
27,350,mixed_conflict,8,LB/MLB,3,16,0,16,0,12665,no_op,1,0,1,0,0.000472826695807716,0,0,0,0,0,0,,0,0,none,none,no_op,0
27,351,mixed_conflict,8,LB/MLB,3,19,0,19,0,12678,no_op,0,1,1,0,-0.263983167167778,0,0,0,0,0,0,,0,0,none,none,no_op,0
27,352,mixed_conflict,8,LB/MLB,3,20,16,20,16,12697,cio_bias_to_neighbor,1,0,0,0,-0.133730184838854,-0.1338,0,0,-3,0,0,,20,16,sectors.cio_dB,CIO_bias,source_neighbor,20
27,353,mixed_conflict,8,LB/MLB,3,21,0,21,0,12704,no_op,0,1,1,0,-0.188197093242108,0,0,0,0,0,0,,0,0,none,none,no_op,0
28,445,degraded_sector,11,LB/MLB,3,8,0,8,0,13900,no_op,1,0,1,0,0.000292647064661065,0,0,0,0,0,0,,0,0,none,none,no_op,0
29,503,overload,12,LB/MLB,3,3,2,3,2,14664,cio_bias_to_neighbor,1,0,0,0,-0.127556293125659,-0.1275,0,0,-3,0,0,,3,2,sectors.cio_dB,CIO_bias,source_neighbor,3
29,504,overload,12,LB/MLB,3,5,1,5,1,14670,cio_bias_to_neighbor,1,0,0,0,0.261110659806264,0.26125,0,0,3,0,0,,5,1,sectors.cio_dB,CIO_bias,source_neighbor,5
29,505,overload,12,LB/MLB,3,6,0,6,0,14680,no_op,0,1,1,0,-0.0913246105001162,0,0,0,0,0,0,,0,0,none,none,no_op,0
29,506,overload,12,LB/MLB,3,7,1,7,1,14705,cio_bias_to_neighbor,1,0,0,0,0.0652227274256475,0.06625,0,0,6,0,0,,7,1,sectors.cio_dB,CIO_bias,source_neighbor,7
29,507,overload,12,LB/MLB,3,8,0,8,0,14706,no_op,0,1,1,0,-0.227134815685069,0,0,0,0,0,0,,0,0,none,none,no_op,0
29,508,overload,12,LB/MLB,3,9,0,9,0,14719,no_op,1,0,1,0,-0.00510093498157162,0,0,0,0,0,0,,0,0,none,none,no_op,0
29,509,overload,12,LB/MLB,3,10,11,10,11,14739,cio_bias_to_neighbor,1,0,0,0,0.000435946635675155,0.00152607602945076,0,0,3,0,0,,10,11,sectors.cio_dB,CIO_bias,source_neighbor,10
29,510,overload,12,LB/MLB,3,12,2,12,2,14747,cio_bias_to_neighbor,1,0,0,0,-0.127368182551012,-0.1275,0,0,-3,0,0,,12,2,sectors.cio_dB,CIO_bias,source_neighbor,12
29,511,overload,12,LB/MLB,3,13,2,13,2,14760,cio_bias_to_neighbor,1,0,0,0,-0.133762438214124,-0.1338,0,0,-3,0,0,,13,2,sectors.cio_dB,CIO_bias,source_neighbor,13
29,512,overload,12,LB/MLB,3,14,2,14,2,14781,cio_bias_to_neighbor,1,0,0,0,-0.127572572231512,-0.1275,0,0,-3,0,0,,14,2,sectors.cio_dB,CIO_bias,source_neighbor,14
29,513,overload,12,LB/MLB,3,15,0,15,0,14784,no_op,1,0,1,0,0.000196322919066982,0,0,0,0,0,0,,0,0,none,none,no_op,0
29,514,overload,12,LB/MLB,3,16,0,16,0,14797,no_op,0,1,1,0,-0.0910970828485203,0,0,0,0,0,0,,0,0,none,none,no_op,0
29,515,overload,12,LB/MLB,3,17,15,17,15,14812,cio_bias_to_neighbor,1,0,0,0,-0.133771349686703,-0.1338,0,0,-3,0,0,,17,15,sectors.cio_dB,CIO_bias,source_neighbor,17
29,516,overload,12,LB/MLB,3,18,15,18,15,14833,cio_bias_to_neighbor,1,0,0,0,-0.127577940876937,-0.1275,0,0,-3,0,0,,18,15,sectors.cio_dB,CIO_bias,source_neighbor,18
29,517,overload,12,LB/MLB,3,19,21,19,21,14842,cio_bias_to_neighbor,1,0,0,0,-0.133665998052732,-0.1338,0,0,-3,0,0,,19,21,sectors.cio_dB,CIO_bias,source_neighbor,19
29,518,overload,12,LB/MLB,3,20,21,20,21,14859,cio_bias_to_neighbor,1,0,0,0,-0.127495479021599,-0.1275,0,0,-3,0,0,,20,21,sectors.cio_dB,CIO_bias,source_neighbor,20
30,541,overload,13,LB/MLB,3,1,5,1,5,15150,cio_bias_to_neighbor,1,0,0,0,-0.127397193269275,-0.1275,0,0,-3,0,0,,1,5,sectors.cio_dB,CIO_bias,source_neighbor,1
30,542,overload,13,LB/MLB,3,2,0,2,0,15161,no_op,0,1,1,0,-0.0806549643632576,0,0,0,0,0,0,,0,0,none,none,no_op,0
30,543,overload,13,LB/MLB,3,3,0,3,0,15174,no_op,0,1,1,0,-0.0833804908944839,0,0,0,0,0,0,,0,0,none,none,no_op,0
30,544,overload,13,LB/MLB,3,6,0,6,0,15187,no_op,0,1,1,0,-0.0841296911849262,0,0,0,0,0,0,,0,0,none,none,no_op,0
30,545,overload,13,LB/MLB,3,7,0,7,0,15200,no_op,0,1,1,0,-0.185539353689419,0,0,0,0,0,0,,0,0,none,none,no_op,0
