row_id,realization_id,scenario_name,site_id,sector_id,impaired_sector_id,attached_ue_count,active_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,boundary_ue_ratio,handover_risk_score,attach_rate_sector,cod_label
124,1,normal,1,1,0,25,3,11.7181191998241,11.7181191998241,0,0.308957885363262,-87.0151648632805,-89.6915708035781,6.70813602517033,4.10282830741739,3.90603973327469,2.73735668125022,1,0.24,0.24,0.925925925925926,normal
125,15,normal,2,6,0,37,6,16.0425296257255,16.0425296257255,0,0.379955824395234,-88.0952080087423,-89.4287826725097,8.30020694987941,7.55763092804486,2.67375493762092,2.52999921711786,1,0.189189189189189,0.189189189189189,0.973684210526316,normal
126,14,normal,4,11,0,24,4,17.1267608734562,17.1267608734562,0,0.256388307498793,-85.0134018143149,-84.8461116299696,14.7239613976671,15.79947632418,4.28169021836406,4.39686550313955,1,0.0833333333333333,0.0833333333333333,1,normal
127,11,normal,3,9,0,25,4,16.0566974246422,16.0566974246422,0,0.403282823635496,-85.1746635025561,-87.1687886619962,8.0055019299969,6.74764627970384,4.01417435616056,3.27032574747725,1,0.04,0.04,1,normal
128,13,normal,7,20,0,31,7,24.0113544018547,24.0113544018547,0,0.614825935959907,-87.1510150421853,-89.122721901402,7.19572882287258,5.34273613120857,3.43019348597925,2.84271057079697,1,0.225806451612903,0.225806451612903,1,normal
129,13,normal,7,21,0,29,5,24.5819925794763,24.5819925794763,0,0.463399945110304,-89.059741483519,-89.9560412718049,11.416867830168,10.6136163070561,4.91639851589526,4.76829680275762,1,0.0344827586206897,0.0344827586206897,1,normal
130,3,normal,5,13,0,19,3,9.65170232075489,9.65170232075489,0,0.308034046373059,-89.1472988076306,-89.7410176216517,5.12260998123509,3.30580921748994,3.2172341069183,3.40510516334301,1,0.263157894736842,0.263157894736842,0.904761904761905,normal
131,6,normal,6,16,0,24,3,18.2686498904218,18.2686498904218,0,0.539047499669371,-86.8969536205752,-88.5750299309911,5.67114649729171,3.59412778604104,6.08954996347393,6.66345026680248,1,0.166666666666667,0.166666666666667,1,normal
132,5,normal,2,4,0,24,3,5.73631546559008,5.73631546559008,0,0.107427898396837,-88.6366668926796,-88.9795045542158,10.8158661236816,12.5142435030698,1.91210515519669,1.62865286123364,1,0.125,0.125,1,normal
133,16,normal,3,8,0,30,2,10.7280098754686,10.7280098754686,0,0.230622859599845,-87.263833559538,-86.2114354115246,9.33619811675571,7.60615525308764,5.36400493773428,5.36400493773428,1,0.166666666666667,0.166666666666667,0.9375,normal
134,15,normal,4,10,0,25,4,20.635188115308,20.635188115308,0,0.517723493707726,-89.5054743702724,-90.3908769703183,7.95258401531937,5.28505979172592,5.15879702882701,5.03706514488036,1,0.24,0.24,1,normal
135,4,normal,4,11,0,20,2,7.68406714501859,7.68406714501859,0,0.13684375375989,-89.532225391254,-88.9535784493036,11.6607228424745,12.2241465339343,3.84203357250929,3.84203357250929,1,0.1,0.1,1,normal
136,17,normal,6,17,0,23,6,27.559758730774,27.559758730774,0,0.613205031743476,-86.7129512836966,-87.8122431621958,9.06856561162305,8.76543223433589,4.59329312179566,4.97758602577875,1,0.0869565217391304,0.0869565217391304,1,normal
137,20,normal,4,11,0,23,4,19.2548208736237,19.2548208736237,0,0.353536508395284,-87.8667168942609,-90.0592578063835,12.1133719967011,10.6872067136199,4.81370521840592,5.24402387620068,1,0.0869565217391304,0.0869565217391304,1,normal
138,2,normal,6,18,0,23,5,25.6664297558417,25.6664297558417,0,0.52351337776462,-89.4149004448635,-89.277621382803,10.6883763845737,8.17975831626062,5.13328595116834,6.18566766865569,1,0.0434782608695652,0.0434782608695652,1,normal
139,12,normal,5,13,0,17,3,14.8534401793569,14.8534401793569,0,0.410766166199024,-88.598118685631,-86.3967216525083,6.37796219353204,7.42464760539573,4.95114672645232,4.51433317725569,1,0.176470588235294,0.176470588235294,1,normal
140,21,normal,2,5,0,22,3,15.4263560427129,15.4263560427129,0,0.46538523161758,-88.912631468065,-88.7384233698236,5.61548586828537,5.27347720819521,5.14211868090431,5.84441467742581,1,0.181818181818182,0.181818181818182,0.956521739130435,normal
141,13,normal,3,8,0,22,3,7.25517116136996,7.25517116136996,0,0.181882567905151,-89.3092834365209,-89.2838262420631,7.47017979811443,7.10474786778603,2.41839038712332,1.67501009379582,1,0.318181818181818,0.318181818181818,1,normal
142,15,normal,2,4,0,29,5,28.643144821135,28.643144821135,0,0.578052862085189,-90.633062822328,-90.4572331407516,10.1545083913421,9.7938264257458,5.72862896422701,5.5373008360022,1,0.0689655172413793,0.0689655172413793,1,normal
143,15,normal,4,11,0,27,1,2.65744501835096,2.65744501835096,0,0.0572347089204659,-91.0668255902257,-92.1103305484718,9.12400299795176,8.99759064729846,2.65744501835096,2.65744501835096,1,0.222222222222222,0.222222222222222,1,normal
144,12,normal,1,2,0,21,4,15.2377038523114,15.2377038523114,0,0.402989571502332,-87.2331820058458,-85.5708018145722,6.67675489434332,7.19954271621177,3.80942596307785,4.26435083552223,1,0.19047619047619,0.19047619047619,0.954545454545455,normal
145,8,normal,6,16,0,17,3,15.0677032535444,15.0677032535444,0,0.343342292796679,-84.9325773458888,-87.7283297335106,9.41858762893338,5.86194114334286,5.02256775118145,5.83086131747117,1,0.0588235294117647,0.0588235294117647,0.944444444444444,normal
146,14,normal,1,2,0,18,4,19.4762309774612,19.4762309774612,0,0.511722105152218,-86.8954496658619,-88.617241469682,6.92259461423577,5.00876221514073,4.86905774436531,4.4585220420919,1,0.277777777777778,0.277777777777778,1,normal
147,17,normal,5,15,0,30,5,26.4312169454507,26.4312169454507,0,0.576739897710022,-88.262482913296,-87.7380896028663,9.07115552873114,8.07400163244594,5.28624338909013,5.90456065417299,1,0.2,0.2,1,normal
148,11,normal,7,19,0,28,4,17.9789674060654,17.9789674060654,0,0.384713853955433,-86.9015510642584,-88.0860447697328,9.09104195238952,7.9693972146801,4.49474185151634,4.41427696124135,1,0.214285714285714,0.214285714285714,0.933333333333333,normal
149,5,normal,4,10,0,25,3,14.5859304022124,14.5859304022124,0,0.343605843924105,-88.3685854278475,-88.1964979468875,8.3849426567901,7.70272323412786,4.86197680073747,4.24552814192422,1,0.2,0.2,1,normal
150,2,normal,6,17,0,22,5,24.9012736671055,24.9012736671055,0,0.65919472624278,-88.5081546644114,-90.0897297892781,7.27858818286004,5.34700939619783,4.98025473342111,5.08083047318899,1,0.181818181818182,0.181818181818182,1,normal
151,16001,degraded_sector,1,1,1,4,1,4.17850331139944,4.17850331139944,0,0.193275156673822,-93.3938983810238,-93.7672342562063,2.68192736616416,2.56605930483979,4.17850331139944,4.17850331139944,1,0,0,1,degraded
152,16002,degraded_sector,1,2,2,7,2,6.59644130220349,6.59644130220349,0,0.324279471754009,-94.1198877641777,-93.9960217166612,2.3085915954754,2.67396207066428,3.29822065110174,3.29822065110174,1,0.142857142857143,0.142857142857143,1,degraded
153,16003,degraded_sector,1,3,3,9,1,4.46741215796912,4.46741215796912,0,0.12420630810444,-88.1900951556631,-90.5363982264467,6.47990549019975,5.75932885811221,4.46741215796912,4.46741215796912,1,0.111111111111111,0.111111111111111,1,degraded
