scenario_name,realization_id,coordinator_group_id,module_name,ai_action_id,oracle_action_id,oracle_kpi_comparison_status,oracle_implementable_flag,baseline_qos,ai_qos,oracle_qos,ai_delta_qos,oracle_delta_qos,qos_gap_to_oracle,baseline_attach,ai_attach,oracle_attach,attach_gap_to_oracle,baseline_sinr,ai_sinr,oracle_sinr,sinr_gap_to_oracle,baseline_load,ai_load,oracle_load,load_gap_to_oracle,reward_regret_if_available,physical_kpi_gap_note,ai_delta_attach,ai_delta_sinr,ai_delta_load
overload,12,29,LB/MLB,14670,14670,comparable_oracle_action,1,0.446666666666667,0.506666666666667,0.506666666666667,0.0600000000000001,0.0599999999999997,-3.33066907387547e-16,0.98,0.97,0.972,0.002,8.08425678716069,8.15373514234457,8.14514872159804,-0.00858642074652671,1.23276928081428,1.2115843225847,1.21230027065505,0.000715948070350247,NaN,,-0.01,0.0694783551838825,-0.0211849582295764
overload,12,29,LB/MLB,14739,14739,comparable_oracle_action,1,0.446666666666667,0.506666666666667,0.446666666666667,0.0600000000000001,-3.33066907387547e-16,-0.0600000000000004,0.98,0.97,0.98,0.01,8.08425678716069,8.15373514234457,8.07966076544181,-0.0740743769027592,1.23276928081428,1.2115843225847,1.23177752051214,0.0201931979274417,NaN,AI exceeds oracle KPI; possible reward-vs-KPI disagreement,-0.01,0.0694783551838825,-0.0211849582295764
overload,12,29,LB/MLB,14747,14747,comparable_oracle_action,1,0.446666666666667,0.506666666666667,0.446666666666667,0.0600000000000001,-3.33066907387547e-16,-0.0600000000000004,0.98,0.97,0.978,0.00800000000000001,8.08425678716069,8.15373514234457,8.10219593601911,-0.0515392063254634,1.23276928081428,1.2115843225847,1.2317710975207,0.0201867749360045,NaN,AI exceeds oracle KPI; possible reward-vs-KPI disagreement,-0.01,0.0694783551838825,-0.0211849582295764
overload,12,29,LB/MLB,14833,14833,comparable_oracle_action,1,0.446666666666667,0.506666666666667,0.446666666666667,0.0600000000000001,-3.33066907387547e-16,-0.0600000000000004,0.98,0.97,0.98,0.01,8.08425678716069,8.15373514234457,8.07690631265249,-0.0768288296920776,1.23276928081428,1.2115843225847,1.23363011736703,0.022045794782334,NaN,AI exceeds oracle KPI; possible reward-vs-KPI disagreement,-0.01,0.0694783551838825,-0.0211849582295764
overload,12,29,LB/MLB,14859,14859,comparable_oracle_action,1,0.446666666666667,0.506666666666667,0.446666666666667,0.0600000000000001,-3.33066907387547e-16,-0.0600000000000004,0.98,0.97,0.98,0.01,8.08425678716069,8.15373514234457,8.08425678716069,-0.0694783551838825,1.23276928081428,1.2115843225847,1.23276928081428,0.0211849582295776,NaN,AI exceeds oracle KPI; possible reward-vs-KPI disagreement,-0.01,0.0694783551838825,-0.0211849582295764
overload,13,30,LB/MLB,15237,15236,comparable_oracle_action,1,0.386666666666667,0.386666666666667,0.38,0,-0.00666666666666699,-0.00666666666666699,0.98,0.972,0.98,0.00800000000000001,8.05768463008206,8.12313326247306,8.05468583716112,-0.0684474253119358,1.33468412657673,1.32817222441246,1.33613567542033,0.00796345100787277,NaN,,-0.00800000000000001,0.0654486323910053,-0.00651190216426722
normal,14,31,LB/MLB,15675,15671,comparable_oracle_action,1,0.906666666666667,0.986666666666667,1,0.0800000000000001,0.093333333333333,0.013333333333333,0.982,0.976,0.976,0,8.81327870098177,8.86203195961246,8.87620956509175,0.0141776054792917,0.406203495624655,0.398670883629433,0.40347620878331,0.00480532515387705,NaN,,-0.00600000000000001,0.0487532586306951,-0.00753261199522232
overload,14,32,LB/MLB,15718,15717,comparable_oracle_action,1,0.46,0.58,0.46,0.12,0,-0.12,0.962,0.948,0.956,0.00800000000000001,8.7708889489943,8.83026899296139,8.82258928030563,-0.00767971265575973,1.27651064598913,1.20960248271096,1.27299911132415,0.0633966286131851,NaN,AI exceeds oracle KPI; possible reward-vs-KPI disagreement,-0.014,0.0593800439670975,-0.0669081632781694
overload,14,32,LB/MLB,15818,15818,comparable_oracle_action,1,0.46,0.58,0.5,0.12,0.04,-0.08,0.962,0.948,0.956,0.00800000000000001,8.7708889489943,8.83026899296139,8.81200754982675,-0.0182614431346355,1.27651064598913,1.20960248271096,1.23202290009291,0.0224204173819522,NaN,AI exceeds oracle KPI; possible reward-vs-KPI disagreement,-0.014,0.0593800439670975,-0.0669081632781694
overload,14,32,LB/MLB,15873,15873,comparable_oracle_action,1,0.46,0.58,0.46,0.12,0,-0.12,0.962,0.948,0.96,0.012,8.7708889489943,8.83026899296139,8.78057157468924,-0.0496974182721477,1.27651064598913,1.20960248271096,1.27552794004622,0.065925457335259,NaN,AI exceeds oracle KPI; possible reward-vs-KPI disagreement,-0.014,0.0593800439670975,-0.0669081632781694
overload,14,32,LB/MLB,15879,15879,comparable_oracle_action,1,0.46,0.58,0.54,0.12,0.08,-0.0399999999999999,0.962,0.948,0.958,0.01,8.7708889489943,8.83026899296139,8.77684489721266,-0.0534240957487295,1.27651064598913,1.20960248271096,1.27028603340385,0.060683550692892,NaN,,-0.014,0.0593800439670975,-0.0669081632781694
overload,15,33,LB/MLB,16247,16247,comparable_oracle_action,1,0.433333333333333,0.433333333333333,0.433333333333333,0,3.33066907387547e-16,3.33066907387547e-16,0.962,0.952,0.958,0.00600000000000001,8.99012215322429,9.05651932828279,9.02292962126081,-0.0335897070219762,1.24056611885566,1.24180417789826,1.23629571295693,-0.0055084649413335,NaN,,-0.01,0.0663971750584977,0.00123805904259378
overload,15,33,LB/MLB,16285,16285,comparable_oracle_action,1,0.433333333333333,0.433333333333333,0.426666666666667,0,-0.00666666666666632,-0.00666666666666632,0.962,0.952,0.96,0.00800000000000001,8.99012215322429,9.05651932828279,8.9923237166016,-0.0641956116811926,1.24056611885566,1.24180417789826,1.24780137955918,0.00599720166092177,NaN,,-0.01,0.0663971750584977,0.00123805904259378
overload,15,33,LB/MLB,16295,16295,comparable_oracle_action,1,0.433333333333333,0.433333333333333,0.44,0,0.00666666666666699,0.00666666666666699,0.962,0.952,0.958,0.00600000000000001,8.99012215322429,9.05651932828279,9.02108985200769,-0.0354294762751,1.24056611885566,1.24180417789826,1.23883932309348,-0.00296485480478248,NaN,,-0.01,0.0663971750584977,0.00123805904259378
overload,15,33,LB/MLB,16312,16308,comparable_oracle_action,1,0.433333333333333,0.433333333333333,0.426666666666667,0,-0.00666666666666632,-0.00666666666666632,0.962,0.952,0.954,0.002,8.99012215322429,9.05651932828279,9.07730596218655,0.0207866339037643,1.24056611885566,1.24180417789826,1.20892507336955,-0.0328791045287142,NaN,,-0.01,0.0663971750584977,0.00123805904259378
handover_stress,16,34,LB/MLB,16451,16451,comparable_oracle_action,1,0.933333333333333,0.92,0.92,-0.0133333333333333,-0.013333333333333,0,0.95,0.944,0.944,0,6.49231098458532,6.53919078914294,6.53919078914294,-8.88178419700125e-16,0.416373747769228,0.41173963142456,0.41173963142456,2.77555756156289e-16,NaN,,-0.00600000000000001,0.0468798045576193,-0.00463411634466787
handover_stress,17,35,LB/MLB,16888,16884,comparable_oracle_action,1,0.933333333333333,0.933333333333333,0.92,0,-0.013333333333333,-0.013333333333333,0.938,0.938,0.93,-0.0079999999999999,6.82497542334796,6.81101783935962,6.88372215677886,0.0727043174192437,0.429611077913115,0.429888699408966,0.410275550624466,-0.0196131487844997,NaN,,0,-0.0139575839883426,0.000277621495851199
mixed_conflict,19,36,LB/MLB,17790,17790,comparable_oracle_action,1,0.38,0.453333333333333,0.42,0.0733333333333333,0.04,-0.033333333333333,0.976,0.952,0.97,0.018,8.87953392386844,9.08475123373862,8.94427118004177,-0.140480053696848,1.23741145345519,1.1612784867595,1.20283254883703,0.0415540620775345,NaN,,-0.024,0.20521730987018,-0.0761329666956982
mixed_conflict,19,36,LB/MLB,17816,17816,comparable_oracle_action,1,0.38,0.453333333333333,0.36,0.0733333333333333,-0.02,-0.093333333333333,0.976,0.952,0.968,0.016,8.87953392386844,9.08475123373862,8.95926587219016,-0.125485361548465,1.23741145345519,1.1612784867595,1.20198134941996,0.0407028626604624,NaN,AI exceeds oracle KPI; possible reward-vs-KPI disagreement,-0.024,0.20521730987018,-0.0761329666956982
mixed_conflict,19,36,LB/MLB,17889,17889,comparable_oracle_action,1,0.38,0.453333333333333,0.44,0.0733333333333333,0.06,-0.013333333333333,0.976,0.952,0.972,0.02,8.87953392386844,9.08475123373862,8.89885979780099,-0.185891435937627,1.23741145345519,1.1612784867595,1.22742384745966,0.0661453607001605,NaN,,-0.024,0.20521730987018,-0.0761329666956982
