oracle_group_id,module_name,scenario_name,realization_id,source_sector_id,oracle_reward,raw_true_reward,safe_true_reward,raw_regret,safety_enforced_regret,raw_top1_oracle_match,safe_top1_oracle_match,safe_top2_oracle_match
279,LB/MLB,outage_sector,6,18,0,0,0,0,0,1,1,1
338,LB/MLB,mixed_conflict,8,1,0,-0.1338,0,0.1338,0,0,1,1
339,LB/MLB,mixed_conflict,8,2,0,0,0,0,0,1,1,1
340,LB/MLB,mixed_conflict,8,3,-0.1275,0,-0.1275,-0.1275,0,0,1,1
341,LB/MLB,mixed_conflict,8,4,0,0,0,0,0,1,1,1
342,LB/MLB,mixed_conflict,8,5,-0.127500000000001,0,-0.127500000000001,-0.127500000000001,0,0,1,1
343,LB/MLB,mixed_conflict,8,6,-0.1275,0,-0.1275,-0.1275,0,0,1,1
344,LB/MLB,mixed_conflict,8,7,0.0549706298324548,0.0549706298324548,0.0549706298324548,0,0,1,1,1
345,LB/MLB,mixed_conflict,8,9,0,0,0,0,0,1,1,1
346,LB/MLB,mixed_conflict,8,10,-0.0226783824449851,-0.0226783824449851,-0.0226783824449851,0,0,1,1,1
347,LB/MLB,mixed_conflict,8,11,0.0549706298324548,0.0549706298324548,0.0549706298324548,0,0,1,1,1
348,LB/MLB,mixed_conflict,8,12,0,0,0,0,0,1,1,1
349,LB/MLB,mixed_conflict,8,13,-0.0391649553756275,0,-0.0391649553756275,-0.0391649553756275,0,0,1,1
350,LB/MLB,mixed_conflict,8,16,0,0,0,0,0,1,1,1
351,LB/MLB,mixed_conflict,8,19,0,-0.1338,0,0.1338,0,0,1,1
352,LB/MLB,mixed_conflict,8,20,-0.1338,-0.1338,-0.1338,0,0,0,1,1
353,LB/MLB,mixed_conflict,8,21,0,-0.1338,0,0.1338,0,0,1,1
445,LB/MLB,degraded_sector,11,8,0,0,0,0,0,1,1,1
503,LB/MLB,overload,12,3,-0.1275,0,-0.1275,-0.1275,0,0,1,1
504,LB/MLB,overload,12,5,0.26125,0.26125,0.26125,0,0,1,1,1
505,LB/MLB,overload,12,6,0,0,0,0,0,1,1,1
506,LB/MLB,overload,12,7,0.06625,0.06625,0.06625,0,0,1,1,1
507,LB/MLB,overload,12,8,0,-0.1338,0,0.1338,0,0,1,1
508,LB/MLB,overload,12,9,0,0,0,0,0,1,1,1
509,LB/MLB,overload,12,10,0.00152607602945076,0.00152607602945076,0.00152607602945076,0,0,1,1,1
510,LB/MLB,overload,12,12,-0.1275,0,-0.1275,-0.1275,0,0,1,1
511,LB/MLB,overload,12,13,-0.1338,-0.1338,-0.1338,0,0,1,1,1
512,LB/MLB,overload,12,14,-0.1275,0,-0.1275,-0.1275,0,0,1,1
513,LB/MLB,overload,12,15,0,0,0,0,0,1,1,1
514,LB/MLB,overload,12,16,0,0,0,0,0,1,1,1
515,LB/MLB,overload,12,17,-0.1338,-0.1338,-0.1338,0,0,0,1,1
516,LB/MLB,overload,12,18,-0.1275,0,-0.1275,-0.1275,0,0,1,1
517,LB/MLB,overload,12,19,-0.1338,-0.1338,-0.1338,0,0,1,1,1
518,LB/MLB,overload,12,20,-0.1275,-0.288002582994867,-0.1275,0.160502582994867,0,0,1,1
541,LB/MLB,overload,13,1,-0.1275,-0.129005393957205,-0.1275,0.001505393957205,0,0,1,1
542,LB/MLB,overload,13,2,0,0,0,0,0,1,1,1
543,LB/MLB,overload,13,3,0,0,0,0,0,1,1,1
544,LB/MLB,overload,13,6,0,0,0,0,0,1,1,1
545,LB/MLB,overload,13,7,0,-0.1338,0,0.1338,0,0,1,1
546,LB/MLB,overload,13,8,0,0,0,0,0,1,1,1
547,LB/MLB,overload,13,9,-0.1338,-0.152114420971201,-0.152114420971201,0.018314420971201,0.018314420971201,0,0,1
548,LB/MLB,overload,13,10,-0.1275,-0.129005393957205,-0.1275,0.001505393957205,0,0,1,1
549,LB/MLB,overload,13,11,0,-0.1338,0,0.1338,0,0,1,1
550,LB/MLB,overload,13,12,0,-0.1338,0,0.1338,0,0,1,1
551,LB/MLB,overload,13,13,0,0,0,0,0,1,1,1
552,LB/MLB,overload,13,14,0,-0.1338,0,0.1338,0,0,1,1
553,LB/MLB,overload,13,15,0,0,0,0,0,1,1,1
554,LB/MLB,overload,13,16,0,-0.1338,0,0.1338,0,0,1,1
555,LB/MLB,overload,13,17,0,-0.1338,0,0.1338,0,0,1,1
556,LB/MLB,overload,13,18,0,0,0,0,0,1,1,1
557,LB/MLB,overload,13,19,0,0,0,0,0,1,1,1
558,LB/MLB,overload,13,20,0,0,0,0,0,1,1,1
559,LB/MLB,overload,13,21,0,-0.1338,0,0.1338,0,0,1,1
581,LB/MLB,normal,14,12,0.253336968086199,0.253336968086199,0.253336968086199,0,0,0,0,0
582,LB/MLB,normal,14,15,0.0496621311874375,0.0496621311874375,0.0496621311874375,0,0,1,1,1
584,LB/MLB,overload,14,1,-0.1338,-0.138640725292252,-0.138640725292252,0.00484072529225199,0.00484072529225199,0,0,1
585,LB/MLB,overload,14,2,0,-0.1338,0,0.1338,0,0,1,1
586,LB/MLB,overload,14,4,0,-0.1338,0,0.1338,0,0,1,1
587,LB/MLB,overload,14,5,0,0,0,0,0,1,1,1
588,LB/MLB,overload,14,6,-0.00140430236559004,-0.00280860473118,-0.00280860473118,0.00140430236558996,0.00140430236558996,0,0,1
589,LB/MLB,overload,14,7,-0.1275,-0.145278750027144,-0.1275,0.017778750027144,0,0,1,1
590,LB/MLB,overload,14,9,0,-0.1338,0,0.1338,0,0,1,1
591,LB/MLB,overload,14,10,-0.1275,-0.145278750027144,-0.1275,0.017778750027144,0,0,1,1
592,LB/MLB,overload,14,11,0.0319825215707537,0.0319825215707537,0.0319825215707537,0,0,1,1,1
593,LB/MLB,overload,14,12,0,-0.1338,0,0.1338,0,0,1,1
594,LB/MLB,overload,14,13,0,0,0,0,0,1,1,1
595,LB/MLB,overload,14,14,0,0,0,0,0,1,1,1
596,LB/MLB,overload,14,15,-0.1275,0,-0.1275,-0.1275,0,0,1,1
597,LB/MLB,overload,14,16,0.255353264755623,0.255353264755623,0.255353264755623,0,0,1,1,1
598,LB/MLB,overload,14,17,0,0,0,0,0,1,1,1
599,LB/MLB,overload,14,18,-0.1275,-0.141863030004856,-0.1275,0.014363030004856,0,0,1,1
600,LB/MLB,overload,14,19,0.0710095313072528,0.0710095313072528,0.0710095313072528,0,0,1,1,1
601,LB/MLB,overload,14,21,0.242606461354412,0.242606461354412,0.242606461354412,0,0,1,1,1
624,LB/MLB,overload,15,1,-0.1338,-0.1338,-0.1338,0,0,1,1,1
625,LB/MLB,overload,15,2,-0.076381129789331,-0.076381129789331,-0.076381129789331,0,0,1,1,1
626,LB/MLB,overload,15,3,0,0,0,0,0,1,1,1
627,LB/MLB,overload,15,4,0.0315120684507848,0.0241143715659886,0.0241143715659886,0.0073976968847962,0.0073976968847962,0,0,1
628,LB/MLB,overload,15,5,-0.1275,-0.436694502130781,-0.1275,0.309194502130781,0,0,1,1
629,LB/MLB,overload,15,6,0.180498402437508,0.180498402437508,0.180498402437508,0,0,1,1,1
630,LB/MLB,overload,15,7,0.26125,0.26125,0.26125,0,0,0,0,1
631,LB/MLB,overload,15,11,-0.0109514471547328,-0.0219028943094653,-0.0219028943094653,0.0109514471547325,0.0109514471547325,0,0,0
632,LB/MLB,overload,15,12,0.06625,0.06625,0.06625,0,0,1,1,1
633,LB/MLB,overload,15,15,-0.0763811297893309,-0.0763811297893309,-0.0763811297893309,0,0,1,1,1
634,LB/MLB,overload,15,16,0,0,0,0,0,1,1,1
635,LB/MLB,overload,15,17,0,-0.1338,0,0.1338,0,0,1,1
636,LB/MLB,overload,15,18,0,-0.1338,0,0.1338,0,0,1,1
637,LB/MLB,overload,15,20,0,0,0,0,0,1,1,1
638,LB/MLB,overload,15,21,0.180498402437508,0.180498402437508,0.180498402437508,0,0,1,1,1
640,LB/MLB,handover_stress,16,12,0,0,0,0,0,1,1,1
641,LB/MLB,handover_stress,16,16,-0.0376068534224859,-0.0376068534224859,-0.0376068534224859,0,0,1,1,1
674,LB/MLB,handover_stress,17,12,0.119854897805275,0.119854897805275,0.119854897805275,0,0,0,0,1
724,LB/MLB,outage_sector,18,14,-0.0265677932647433,-0.0265677932647433,-0.0265677932647433,0,0,0,0,1
744,LB/MLB,mixed_conflict,19,3,-0.0253822742620194,-0.0253822742620194,-0.0253822742620194,0,0,1,1,1
745,LB/MLB,mixed_conflict,19,4,0.0828676368966002,0.0828676368966002,0.0828676368966002,0,0,1,1,1
746,LB/MLB,mixed_conflict,19,5,0.26125,0.26125,0.26125,0,0,1,1,1
747,LB/MLB,mixed_conflict,19,6,-0.1275,-0.260824974586504,-0.1275,0.133324974586504,0,0,1,1
748,LB/MLB,mixed_conflict,19,7,0.084969746098823,0.084969746098823,0.084969746098823,0,0,0,0,1
749,LB/MLB,mixed_conflict,19,8,0.26125,0.26125,0.26125,0,0,1,1,1
750,LB/MLB,mixed_conflict,19,11,-0.0386537230535165,0,-0.0386537230535165,-0.0386537230535165,0,0,1,1
751,LB/MLB,mixed_conflict,19,12,0.26125,0.26125,0.26125,0,0,1,1,1
752,LB/MLB,mixed_conflict,19,13,-0.1275,0,-0.1275,-0.1275,0,0,1,1
753,LB/MLB,mixed_conflict,19,14,-0.1275,0,-0.1275,-0.1275,0,0,1,1
754,LB/MLB,mixed_conflict,19,15,0,0,0,0,0,1,1,1
755,LB/MLB,mixed_conflict,19,17,-0.1275,-0.241198701578211,-0.1275,0.113698701578211,0,0,1,1
756,LB/MLB,mixed_conflict,19,19,-0.1275,0,-0.1275,-0.1275,0,0,1,1
757,LB/MLB,mixed_conflict,19,20,-0.127499999999999,-0.260824974586504,-0.127499999999999,0.133324974586505,0,0,1,1
839,LB/MLB,normal,21,13,0,0,0,0,0,1,1,1
840,LB/MLB,normal,21,18,0,0,0,0,0,1,1,1
860,ES,handover_stress,1,3,0,-0.0262096920558899,0,0.0262096920558899,0,0,1,1
861,ES,low_load,1,2,0.25,0.25,0.25,0,0,1,1,1
862,ES,low_load,1,3,0,0,0,0,0,1,1,1
863,ES,low_load,1,4,0,-0.0588774350486629,0,0.0588774350486629,0,0,1,1
864,ES,low_load,1,5,0,-0.0769567119327216,0,0.0769567119327216,0,0,1,1
865,ES,low_load,1,7,0,0.00907889032969367,0,-0.00907889032969367,0,0,1,1
866,ES,low_load,1,8,0.25,0.25,0.25,0,0,1,1,1
867,ES,low_load,1,9,0.25,0.25,0.25,0,0,1,1,1
868,ES,low_load,1,10,0,-0.0808307865689945,0,0.0808307865689945,0,0,1,1
869,ES,low_load,1,11,0,-0.0955416977560341,0,0.0955416977560341,0,0,1,1
870,ES,low_load,1,14,0,-0.000601592040371801,0,0.000601592040371801,0,0,1,1
871,ES,low_load,1,15,0,0,0,0,0,1,1,1
872,ES,low_load,1,16,0.25,0.25,0.25,0,0,1,1,1
873,ES,low_load,1,17,0,-0.0314669725371616,0,0.0314669725371616,0,0,1,1
874,ES,low_load,1,18,0.25,0.25,0.25,0,0,1,1,1
875,ES,low_load,1,19,0.25,0.25,0.25,0,0,1,1,1
876,ES,low_load,1,20,0,-0.0141667662915572,0,0.0141667662915572,0,0,1,1
900,ES,handover_stress,2,6,0,-0.17327682028623,0,0.17327682028623,0,0,1,1
901,ES,handover_stress,2,7,0,-0.0300694652541914,0,0.0300694652541914,0,0,1,1
902,ES,low_load,2,1,0.25,0.25,0.25,0,0,1,1,1
903,ES,low_load,2,2,0.25,0.25,0.25,0,0,1,1,1
904,ES,low_load,2,4,0,-0.0452379210940299,0,0.0452379210940299,0,0,1,1
905,ES,low_load,2,5,0,-0.16252364066685,0,0.16252364066685,0,0,1,1
906,ES,low_load,2,6,0,-0.0766730742886838,0,0.0766730742886838,0,0,1,1
907,ES,low_load,2,7,0,0.00596265663078305,0,-0.00596265663078305,0,0,1,1
908,ES,low_load,2,8,0,-0.0857584773101933,0,0.0857584773101933,0,0,1,1
909,ES,low_load,2,10,0,-0.0449008715096541,0,0.0449008715096541,0,0,1,1
910,ES,low_load,2,11,0,-0.0844550822062276,0,0.0844550822062276,0,0,1,1
911,ES,low_load,2,12,0,-0.065240954576316,0,0.065240954576316,0,0,1,1
912,ES,low_load,2,13,0.25,0.25,0.25,0,0,1,1,1
913,ES,low_load,2,14,0.25,0.25,0.25,0,0,1,1,1
914,ES,low_load,2,15,0,-0.0935026502541457,0,0.0935026502541457,0,0,1,1
915,ES,low_load,2,16,0.25,0.25,0.25,0,0,1,1,1
916,ES,low_load,2,17,0.25,0.25,0.25,0,0,1,1,1
917,ES,low_load,2,18,0,-0.152070183779282,0,0.152070183779282,0,0,1,1
918,ES,low_load,2,19,0,-0.107591944769029,0,0.107591944769029,0,0,1,1
919,ES,low_load,2,20,0,-0.125586016917318,0,0.125586016917318,0,0,1,1
920,ES,low_load,2,21,0.25,0.25,0.25,0,0,1,1,1
940,ES,normal,2,2,0.25,0.25,0.25,0,0,1,1,1
941,ES,normal,2,7,0,-0.0850965625122857,0,0.0850965625122857,0,0,1,1
942,ES,normal,2,21,0.25,0.25,0.25,0,0,1,1,1
947,ES,degraded_sector,3,10,0.25,0.25,0.25,0,0,1,1,1
949,ES,low_load,3,1,0,0,0,0,0,1,1,1
950,ES,low_load,3,2,0.25,0.25,0.25,0,0,1,1,1
951,ES,low_load,3,3,0,-0.094800801266851,0,0.094800801266851,0,0,1,1
952,ES,low_load,3,4,0,-0.0142318432876484,0,0.0142318432876484,0,0,1,1
953,ES,low_load,3,5,0,-0.0312942160800185,0,0.0312942160800185,0,0,1,1
954,ES,low_load,3,6,0,-0.0702978958375201,0,0.0702978958375201,0,0,1,1
955,ES,low_load,3,7,0,-0.0478906560625791,0,0.0478906560625791,0,0,1,1
956,ES,low_load,3,8,0,-0.128836201351317,0,0.128836201351317,0,0,1,1
957,ES,low_load,3,9,0.25,0.25,0.25,0,0,1,1,1
958,ES,low_load,3,10,0,-0.123027649486507,0,0.123027649486507,0,0,1,1
959,ES,low_load,3,11,0,-0.0170761529261658,0,0.0170761529261658,0,0,1,1
960,ES,low_load,3,12,0.25,0.25,0.25,0,0,1,1,1
961,ES,low_load,3,14,0,-0.0165608701966439,0,0.0165608701966439,0,0,1,1
962,ES,low_load,3,15,0,0.000276866006738929,0,-0.000276866006738929,0,0,1,1
963,ES,low_load,3,17,0.25,0.25,0.25,0,0,1,1,1
964,ES,low_load,3,18,0.25,0.25,0.25,0,0,1,1,1
965,ES,low_load,3,20,0,-0.162147811915926,0,0.162147811915926,0,0,1,1
966,ES,low_load,3,21,0.25,0.25,0.25,0,0,1,1,1
987,ES,outage_sector,3,3,0,0,0,0,0,1,1,1
988,ES,outage_sector,3,13,0,-0.0280383565140799,0,0.0280383565140799,0,0,1,1
989,ES,overload,3,7,0,0,0,0,0,1,1,1
990,ES,degraded_sector,4,3,0,-0.103942361920929,0,0.103942361920929,0,0,1,1
991,ES,degraded_sector,4,9,0,-0.183605652301054,0,0.183605652301054,0,0,1,1
1034,ES,normal,4,12,0.25,0.25,0.25,0,0,1,1,1
1082,ES,outage_sector,5,5,0,0,0,0,0,1,1,1
1083,ES,outage_sector,5,11,0,-0.112106931957408,0,0.112106931957408,0,0,1,1
1084,ES,outage_sector,5,13,0.25,0.25,0.25,0,0,1,1,1
1172,ES,low_load,8,1,0,0,0,0,0,1,1,1
1173,ES,low_load,8,3,0,-0.169472799451129,0,0.169472799451129,0,0,1,1
1174,ES,low_load,8,4,0,-0.00340777685450144,0,0.00340777685450144,0,0,1,1
1175,ES,low_load,8,5,0.25,0.25,0.25,0,0,1,1,1
1176,ES,low_load,8,6,0,-0.116955379421269,0,0.116955379421269,0,0,1,1
1177,ES,low_load,8,7,0,-0.0469251680021001,0,0.0469251680021001,0,0,1,1
1178,ES,low_load,8,8,0.25,0.25,0.25,0,0,1,1,1
1179,ES,low_load,8,10,0.25,0.25,0.25,0,0,1,1,1
1180,ES,low_load,8,11,0,0,0,0,0,1,1,1
1181,ES,low_load,8,13,0,0,0,0,0,1,1,1
1182,ES,low_load,8,14,0,-0.125586802338815,0,0.125586802338815,0,0,1,1
