dataset_id,scenario_id,realization_id,scenario_name,traffic_mode,impaired_sector_id,impaired_sector_status,ue_seed,shadowing_seed,traffic_seed,num_sites,num_sectors,num_ues,attached_ues,unattached_ues,attach_rate,active_ues,active_attached_ues,active_attach_rate,coverage_ratio,sinr_threshold_ratio,total_offered_traffic_Mbps,total_served_traffic_Mbps,total_unserved_traffic_Mbps,mean_ue_throughput_Mbps,median_ue_throughput_Mbps,qos_satisfied_ues,qos_satisfaction_ratio,overloaded_sector_count,mean_sector_load,max_sector_load,jain_fairness_index,mean_best_RSRP_dBm,mean_best_SINR_dB,boundary_ue_count,boundary_ue_ratio,handover_risk_score,es_candidate_sector_count,outage_scenario_label,degraded_scenario_label,overload_scenario_label,handover_stress_label,energy_saving_candidate_label
46,3,4,overload,overload,0,normal,31104,31204,31304,7,21,500,481,19,0.962,150,145,0.966666666666667,0.962,0.978,1122.22971605845,727.186221745069,395.043494313383,1.45437244349014,0,52,0.346666666666667,15,1.21992977498296,3.21706871185744,0.238378007998624,-88.5434122479004,8.62962634302571,78,0.162162162162162,0.162162162162162,0,0,0,1,0,0
47,3,5,overload,overload,0,normal,31105,31205,31305,7,21,500,477,23,0.954,150,144,0.96,0.954,0.962,1203.13003951689,807.860611717932,395.269427798959,1.61572122343586,0,40,0.266666666666667,18,1.33710652496353,2.1667489855939,0.248023740174746,-88.9559487623557,8.10837305021107,89,0.186582809224319,0.186582809224319,0,0,0,1,0,0
48,3,6,overload,overload,0,normal,31106,31206,31306,7,21,500,492,8,0.984,150,149,0.993333333333333,0.984,0.988,1147.60118794425,791.583977535322,356.017210408929,1.58316795507064,0,45,0.3,15,1.3206582060318,2.87729347707859,0.251762461443006,-89.104962044194,8.05675428631151,93,0.189024390243902,0.189024390243902,0,0,0,1,0,0
49,3,7,overload,overload,0,normal,31107,31207,31307,7,21,500,492,8,0.984,150,148,0.986666666666667,0.984,0.988,1155.46302506546,805.20581412647,350.257210938987,1.61041162825294,0,50,0.333333333333333,17,1.34289348931012,3.0814203413003,0.254393892956468,-88.2377146877726,8.54685979524745,92,0.186991869918699,0.186991869918699,0,0,0,1,0,0
50,3,8,overload,overload,0,normal,31108,31208,31308,7,21,500,483,17,0.966,150,145,0.966666666666667,0.966,0.976,1186.2638496951,799.385887009099,386.877962686001,1.5987717740182,0,65,0.433333333333333,16,1.30647046173799,2.48024160058393,0.237187527887144,-88.3601399385752,8.62914938779923,81,0.167701863354037,0.167701863354037,0,0,0,1,0,0
51,3,9,overload,overload,0,normal,31109,31209,31309,7,21,500,489,11,0.978,150,148,0.986666666666667,0.978,0.982,1126.34207976198,831.332839683992,295.009240077989,1.66266567936798,0,52,0.346666666666667,16,1.19085032994555,1.74256864205172,0.255271232852419,-88.1799889016524,8.77297332427086,84,0.171779141104294,0.171779141104294,0,0,0,1,0,0
52,3,10,overload,overload,0,normal,31110,31210,31310,7,21,500,488,12,0.976,150,145,0.966666666666667,0.976,0.984,1093.03601267902,797.964713373785,295.071299305239,1.59592942674757,0,49,0.326666666666667,17,1.22738366961354,2.31060958153613,0.246528855882626,-88.8073262594242,8.1199786099634,73,0.149590163934426,0.149590163934426,0,0,0,1,0,0
53,3,11,overload,overload,0,normal,31111,31211,31311,7,21,500,484,16,0.968,150,143,0.953333333333333,0.968,0.976,1126.39896733359,804.506061531215,321.892905802372,1.60901212306243,0,58,0.386666666666667,18,1.25357416937817,2.21670269446395,0.244292435097752,-88.526263634915,8.51042716006919,85,0.175619834710744,0.175619834710744,0,0,0,1,0,0
54,3,12,overload,overload,0,normal,31112,31212,31312,7,21,500,490,10,0.98,150,147,0.98,0.98,0.984,1084.1724374724,800.713998269043,283.45843920336,1.60142799653809,0,67,0.446666666666667,16,1.23276928081428,2.27878357732757,0.244665276906151,-88.1534997704212,8.08425678716069,90,0.183673469387755,0.183673469387755,0,0,0,1,0,0
55,3,13,overload,overload,0,normal,31113,31213,31313,7,21,500,490,10,0.98,150,147,0.98,0.98,0.992,1157.27985614701,829.637448512486,327.642407634527,1.65927489702497,0,58,0.386666666666667,19,1.33468412657673,2.3188667532309,0.252467447584047,-88.5268677838944,8.05768463008206,86,0.175510204081633,0.175510204081633,0,0,0,1,0,0
