scenario_name,realization_id,coordinator_group_id,module_name,action_id,action_type,source_sector_id,target_sector_id,delta_prs_dB,delta_tilt_deg,delta_cio_dB,pre_attach_rate,post_attach_rate,delta_attach_rate,pre_mean_rsrp_dBm,post_mean_rsrp_dBm,delta_mean_rsrp_dB,pre_mean_sinr_dB,post_mean_sinr_dB,delta_mean_sinr_dB,pre_mean_sector_load,post_mean_sector_load,delta_mean_sector_load,pre_qos_satisfaction_ratio,post_qos_satisfaction_ratio,delta_qos_satisfaction_ratio,action_applied_to_clone,kpi_t_plus_1_generated,pre_total_served_traffic_Mbps,post_total_served_traffic_Mbps,delta_served_traffic_Mbps,decision_source_sector_id,decision_target_sector_id,application_affected_sector_id,application_state_variable,original_state_unchanged
mixed_conflict,1,16,LB/MLB,8997,cio_bias_to_neighbor,2,1,0,0,3,0.97,0.962,-0.00800000000000001,-88.0978544700089,-88.0427621157203,0.0550923542886181,8.41685268626481,8.47205458626706,0.0552019000022561,1.25043717430527,1.23171274433354,-0.0187244299717233,0.453333333333333,0.46,0.00666666666666671,1,1,759.785259836507,768.106700745717,8.32144090921008,2,1,1,sectors.cio_dB,1
mixed_conflict,1,16,LB/MLB,9005,cio_bias_to_neighbor,3,20,0,0,-3,0.97,0.962,-0.00800000000000001,-88.0978544700089,-88.0427621157203,0.0550923542886181,8.41685268626481,8.47205458626706,0.0552019000022561,1.25043717430527,1.23171274433354,-0.0187244299717233,0.453333333333333,0.46,0.00666666666666671,1,1,759.785259836507,768.106700745717,8.32144090921008,3,20,20,sectors.cio_dB,1
mixed_conflict,1,16,LB/MLB,9031,cio_bias_to_neighbor,8,7,0,0,-3,0.97,0.962,-0.00800000000000001,-88.0978544700089,-88.0427621157203,0.0550923542886181,8.41685268626481,8.47205458626706,0.0552019000022561,1.25043717430527,1.23171274433354,-0.0187244299717233,0.453333333333333,0.46,0.00666666666666671,1,1,759.785259836507,768.106700745717,8.32144090921008,8,7,7,sectors.cio_dB,1
mixed_conflict,1,16,LB/MLB,9048,cio_bias_to_neighbor,10,5,0,0,-3,0.97,0.962,-0.00800000000000001,-88.0978544700089,-88.0427621157203,0.0550923542886181,8.41685268626481,8.47205458626706,0.0552019000022561,1.25043717430527,1.23171274433354,-0.0187244299717233,0.453333333333333,0.46,0.00666666666666671,1,1,759.785259836507,768.106700745717,8.32144090921008,10,5,5,sectors.cio_dB,1
mixed_conflict,1,16,LB/MLB,9088,cio_bias_to_neighbor,13,15,0,0,3,0.97,0.962,-0.00800000000000001,-88.0978544700089,-88.0427621157203,0.0550923542886181,8.41685268626481,8.47205458626706,0.0552019000022561,1.25043717430527,1.23171274433354,-0.0187244299717233,0.453333333333333,0.46,0.00666666666666671,1,1,759.785259836507,768.106700745717,8.32144090921008,13,15,15,sectors.cio_dB,1
mixed_conflict,1,16,LB/MLB,9097,cio_bias_to_neighbor,14,17,0,0,3,0.97,0.962,-0.00800000000000001,-88.0978544700089,-88.0427621157203,0.0550923542886181,8.41685268626481,8.47205458626706,0.0552019000022561,1.25043717430527,1.23171274433354,-0.0187244299717233,0.453333333333333,0.46,0.00666666666666671,1,1,759.785259836507,768.106700745717,8.32144090921008,14,17,17,sectors.cio_dB,1
overload,1,17,LB/MLB,9227,cio_bias_to_neighbor,8,7,0,0,3,0.974,0.964,-0.01,-88.1465804498253,-88.0852459512855,0.0613344985398641,8.29285972359662,8.33446315875276,0.0416034351561407,1.25567136463091,1.22319458849971,-0.0324767761311968,0.346666666666667,0.333333333333333,-0.0133333333333334,1,1,793.54622421941,784.22726321051,-9.31896100890003,8,7,7,sectors.cio_dB,1
overload,1,17,LB/MLB,9236,cio_bias_to_neighbor,9,1,0,0,3,0.974,0.964,-0.01,-88.1465804498253,-88.0852459512855,0.0613344985398641,8.29285972359662,8.33446315875276,0.0416034351561407,1.25567136463091,1.22319458849971,-0.0324767761311968,0.346666666666667,0.333333333333333,-0.0133333333333334,1,1,793.54622421941,784.22726321051,-9.31896100890003,9,1,1,sectors.cio_dB,1
overload,1,17,LB/MLB,9314,cio_bias_to_neighbor,15,17,0,0,3,0.974,0.964,-0.01,-88.1465804498253,-88.0852459512855,0.0613344985398641,8.29285972359662,8.33446315875276,0.0416034351561407,1.25567136463091,1.22319458849971,-0.0324767761311968,0.346666666666667,0.333333333333333,-0.0133333333333334,1,1,793.54622421941,784.22726321051,-9.31896100890003,15,17,17,sectors.cio_dB,1
overload,1,17,LB/MLB,9366,cio_bias_to_neighbor,20,3,0,0,3,0.974,0.964,-0.01,-88.1465804498253,-88.0852459512855,0.0613344985398641,8.29285972359662,8.33446315875276,0.0416034351561407,1.25567136463091,1.22319458849971,-0.0324767761311968,0.346666666666667,0.333333333333333,-0.0133333333333334,1,1,793.54622421941,784.22726321051,-9.31896100890003,20,3,3,sectors.cio_dB,1
mixed_conflict,2,18,LB/MLB,9438,cio_bias_to_neighbor,4,19,0,0,-3,0.984,0.972,-0.012,-89.1735172929891,-89.0883755929226,0.0851417000665435,8.09582066192095,8.18998317279019,0.094162510869241,1.28239274389068,1.25114546230004,-0.0312472815906355,0.326666666666667,0.313333333333333,-0.0133333333333333,1,1,803.916679406105,797.35681493995,-6.55986446615532,4,19,19,sectors.cio_dB,1
mixed_conflict,2,18,LB/MLB,9529,cio_bias_to_neighbor,11,2,0,0,-3,0.984,0.972,-0.012,-89.1735172929891,-89.0883755929226,0.0851417000665435,8.09582066192095,8.18998317279019,0.094162510869241,1.28239274389068,1.25114546230004,-0.0312472815906355,0.326666666666667,0.313333333333333,-0.0133333333333333,1,1,803.916679406105,797.35681493995,-6.55986446615532,11,2,2,sectors.cio_dB,1
mixed_conflict,2,18,LB/MLB,9568,cio_bias_to_neighbor,15,14,0,0,-3,0.984,0.972,-0.012,-89.1735172929891,-89.0883755929226,0.0851417000665435,8.09582066192095,8.18998317279019,0.094162510869241,1.28239274389068,1.25114546230004,-0.0312472815906355,0.326666666666667,0.313333333333333,-0.0133333333333333,1,1,803.916679406105,797.35681493995,-6.55986446615532,15,14,14,sectors.cio_dB,1
mixed_conflict,2,18,LB/MLB,9582,cio_bias_to_neighbor,16,18,0,0,3,0.984,0.972,-0.012,-89.1735172929891,-89.0883755929226,0.0851417000665435,8.09582066192095,8.18998317279019,0.094162510869241,1.28239274389068,1.25114546230004,-0.0312472815906355,0.326666666666667,0.313333333333333,-0.0133333333333333,1,1,803.916679406105,797.35681493995,-6.55986446615532,16,18,18,sectors.cio_dB,1
degraded_sector,3,2,LB/MLB,9913,cio_bias_to_neighbor,1,5,0,0,6,0.976,0.946,-0.03,-88.201020363015,-87.9797217335533,0.221298629461685,9.00624397138462,9.2918356357073,0.285591664322684,0.379172430971411,0.340153490459581,-0.0390189405118301,1,0.946666666666667,-0.0533333333333333,1,1,333.251276843591,312.910473657786,-20.3408031858053,1,5,5,sectors.cio_dB,1
mixed_conflict,3,19,LB/MLB,10028,cio_bias_to_neighbor,9,1,0,0,-3,0.964,0.954,-0.01,-88.2838757213929,-88.2065743155716,0.0773014058213732,8.88090503922193,8.96163280230473,0.0807277630827947,1.21597362278,1.2086355108092,-0.00733811197080603,0.366666666666667,0.393333333333333,0.0266666666666667,1,1,783.435521739152,771.777603827037,-11.6579179121152,9,1,1,sectors.cio_dB,1
mixed_conflict,3,19,LB/MLB,10045,cio_bias_to_neighbor,10,11,0,0,-3,0.964,0.954,-0.01,-88.2838757213929,-88.2065743155716,0.0773014058213732,8.88090503922193,8.96163280230473,0.0807277630827947,1.21597362278,1.2086355108092,-0.00733811197080603,0.366666666666667,0.393333333333333,0.0266666666666667,1,1,783.435521739152,771.777603827037,-11.6579179121152,10,11,11,sectors.cio_dB,1
mixed_conflict,3,19,LB/MLB,10068,cio_bias_to_neighbor,12,2,0,0,3,0.964,0.954,-0.01,-88.2838757213929,-88.2065743155716,0.0773014058213732,8.88090503922193,8.96163280230473,0.0807277630827947,1.21597362278,1.2086355108092,-0.00733811197080603,0.366666666666667,0.393333333333333,0.0266666666666667,1,1,783.435521739152,771.777603827037,-11.6579179121152,12,2,2,sectors.cio_dB,1
mixed_conflict,3,19,LB/MLB,10089,cio_bias_to_neighbor,13,15,0,0,3,0.964,0.954,-0.01,-88.2838757213929,-88.2065743155716,0.0773014058213732,8.88090503922193,8.96163280230473,0.0807277630827947,1.21597362278,1.2086355108092,-0.00733811197080603,0.366666666666667,0.393333333333333,0.0266666666666667,1,1,783.435521739152,771.777603827037,-11.6579179121152,13,15,15,sectors.cio_dB,1
mixed_conflict,3,19,LB/MLB,10111,cio_bias_to_neighbor,16,3,0,0,3,0.964,0.954,-0.01,-88.2838757213929,-88.2065743155716,0.0773014058213732,8.88090503922193,8.96163280230473,0.0807277630827947,1.21597362278,1.2086355108092,-0.00733811197080603,0.366666666666667,0.393333333333333,0.0266666666666667,1,1,783.435521739152,771.777603827037,-11.6579179121152,16,3,3,sectors.cio_dB,1
normal,3,20,LB/MLB,10160,cio_bias_to_neighbor,3,16,0,0,6,0.98,0.95,-0.03,-87.3644434595328,-87.2067912317694,0.15765222776345,8.98963147881637,9.22445260741275,0.234821128596378,0.369882254128349,0.352938626314315,-0.0169436278140346,0.986666666666667,0.96,-0.0266666666666667,1,1,335.399463270526,330.200674057893,-5.19878921263302,3,16,16,sectors.cio_dB,1
degraded_sector,4,21,LB/MLB,10433,cio_bias_to_neighbor,13,2,0,0,6,0.972,0.952,-0.02,-88.7437626226107,-88.611844220978,0.131918401632689,8.11263878149011,8.28500241978732,0.172363638297208,0.415070566172145,0.403364226358575,-0.0117063398135701,0.986666666666667,0.986666666666667,0,1,1,349.523195907246,350.926794337399,1.40359843015318,13,2,2,sectors.cio_dB,1
handover_stress,4,22,LB/MLB,10471,cio_bias_to_neighbor,16,20,0,0,3,0.944,0.93,-0.0139999999999999,-89.7774082568519,-89.6736373895362,0.10377086731576,6.80927662933461,6.92066382385406,0.111387194519447,0.438217581026812,0.427624750553428,-0.0105928304733842,0.933333333333333,0.906666666666667,-0.0266666666666667,1,1,320.078226071185,319.69854820832,-0.379677862864924,16,20,20,sectors.cio_dB,1
handover_stress,5,23,LB/MLB,10939,cio_bias_to_neighbor,3,16,0,0,3,0.938,0.92,-0.0179999999999999,-89.4456261583097,-89.3280169453471,0.11760921296262,7.41585452962507,7.57443813544341,0.158583605818345,0.398469833936459,0.392438101708596,-0.0060317322278633,0.906666666666667,0.906666666666667,0,1,1,307.428732020732,307.428732020732,0,3,16,16,sectors.cio_dB,1
handover_stress,5,23,LB/MLB,10952,cio_bias_to_neighbor,4,5,0,0,3,0.938,0.92,-0.0179999999999999,-89.4456261583097,-89.3280169453471,0.11760921296262,7.41585452962507,7.57443813544341,0.158583605818345,0.398469833936459,0.392438101708596,-0.0060317322278633,0.906666666666667,0.906666666666667,0,1,1,307.428732020732,307.428732020732,0,4,5,5,sectors.cio_dB,1
outage_sector,5,24,LB/MLB,11199,cio_bias_to_neighbor,1,5,0,0,3,0.972,0.972,0,-88.3654522937179,-88.3654522937179,0,8.86131036223823,8.86131036223823,0,0.406674271275824,0.406674271275824,0,0.88,0.88,0,1,1,338.604016847306,338.604016847306,0,1,5,5,sectors.cio_dB,1
degraded_sector,6,25,LB/MLB,11446,cio_bias_to_neighbor,2,12,0,0,3,0.978,0.972,-0.00600000000000001,-88.7948260108392,-88.7602926125082,0.0345333983309786,8.22548631058465,8.2639917590398,0.038505448455151,0.424129954390029,0.418893029556261,-0.0052369248337677,1,0.986666666666667,-0.0133333333333333,1,1,362.05850891662,360.715995857186,-1.34251305943462,2,12,12,sectors.cio_dB,1
outage_sector,6,26,LB/MLB,11740,cio_bias_to_neighbor,9,5,0,0,3,0.976,0.968,-0.00800000000000001,-88.880098595198,-88.8214101759191,0.058688419278937,8.6957002628078,8.7601840902542,0.0644838274464004,0.358178326910566,0.349273709112971,-0.00890461779759555,0.96,0.946666666666667,-0.0133333333333333,1,1,324.685086305735,320.117773222904,-4.56731308283076,9,5,5,sectors.cio_dB,1
mixed_conflict,8,27,LB/MLB,12537,cio_bias_to_neighbor,3,16,0,0,-3,0.968,0.948,-0.02,-88.2219771961282,-88.1074991486754,0.114478047452849,8.19000296356192,8.34769911094176,0.157696147379838,1.20001074818317,1.18186746287511,-0.0181432853080659,0.493333333333333,0.433333333333333,-0.06,1,1,788.371821929062,758.488404446003,-29.8834174830588,3,16,16,sectors.cio_dB,1
mixed_conflict,8,27,LB/MLB,12571,cio_bias_to_neighbor,5,4,0,0,-3,0.968,0.948,-0.02,-88.2219771961282,-88.1074991486754,0.114478047452849,8.19000296356192,8.34769911094176,0.157696147379838,1.20001074818317,1.18186746287511,-0.0181432853080659,0.493333333333333,0.433333333333333,-0.06,1,1,788.371821929062,758.488404446003,-29.8834174830588,5,4,4,sectors.cio_dB,1
mixed_conflict,8,27,LB/MLB,12633,cio_bias_to_neighbor,11,8,0,0,3,0.968,0.948,-0.02,-88.2219771961282,-88.1074991486754,0.114478047452849,8.19000296356192,8.34769911094176,0.157696147379838,1.20001074818317,1.18186746287511,-0.0181432853080659,0.493333333333333,0.433333333333333,-0.06,1,1,788.371821929062,758.488404446003,-29.8834174830588,11,8,8,sectors.cio_dB,1
mixed_conflict,8,27,LB/MLB,12663,cio_bias_to_neighbor,13,15,0,0,3,0.968,0.948,-0.02,-88.2219771961282,-88.1074991486754,0.114478047452849,8.19000296356192,8.34769911094176,0.157696147379838,1.20001074818317,1.18186746287511,-0.0181432853080659,0.493333333333333,0.433333333333333,-0.06,1,1,788.371821929062,758.488404446003,-29.8834174830588,13,15,15,sectors.cio_dB,1
overload,12,29,LB/MLB,14670,cio_bias_to_neighbor,5,1,0,0,3,0.98,0.97,-0.01,-87.875577816617,-87.8305780164434,0.0449998001735992,8.08425678716069,8.15373514234457,0.0694783551838825,1.23276928081428,1.2115843225847,-0.0211849582295764,0.446666666666667,0.506666666666667,0.0600000000000001,1,1,800.713998269043,813.324966529097,12.6109682600543,5,1,1,sectors.cio_dB,1
overload,12,29,LB/MLB,14739,cio_bias_to_neighbor,10,11,0,0,3,0.98,0.97,-0.01,-87.875577816617,-87.8305780164434,0.0449998001735992,8.08425678716069,8.15373514234457,0.0694783551838825,1.23276928081428,1.2115843225847,-0.0211849582295764,0.446666666666667,0.506666666666667,0.0600000000000001,1,1,800.713998269043,813.324966529097,12.6109682600543,10,11,11,sectors.cio_dB,1
overload,12,29,LB/MLB,14747,cio_bias_to_neighbor,12,2,0,0,-3,0.98,0.97,-0.01,-87.875577816617,-87.8305780164434,0.0449998001735992,8.08425678716069,8.15373514234457,0.0694783551838825,1.23276928081428,1.2115843225847,-0.0211849582295764,0.446666666666667,0.506666666666667,0.0600000000000001,1,1,800.713998269043,813.324966529097,12.6109682600543,12,2,2,sectors.cio_dB,1
overload,12,29,LB/MLB,14833,cio_bias_to_neighbor,18,15,0,0,-3,0.98,0.97,-0.01,-87.875577816617,-87.8305780164434,0.0449998001735992,8.08425678716069,8.15373514234457,0.0694783551838825,1.23276928081428,1.2115843225847,-0.0211849582295764,0.446666666666667,0.506666666666667,0.0600000000000001,1,1,800.713998269043,813.324966529097,12.6109682600543,18,15,15,sectors.cio_dB,1
overload,12,29,LB/MLB,14859,cio_bias_to_neighbor,20,21,0,0,-3,0.98,0.97,-0.01,-87.875577816617,-87.8305780164434,0.0449998001735992,8.08425678716069,8.15373514234457,0.0694783551838825,1.23276928081428,1.2115843225847,-0.0211849582295764,0.446666666666667,0.506666666666667,0.0600000000000001,1,1,800.713998269043,813.324966529097,12.6109682600543,20,21,21,sectors.cio_dB,1
overload,13,30,LB/MLB,15237,cio_bias_to_neighbor,9,5,0,0,3,0.98,0.972,-0.00800000000000001,-88.2254149612008,-88.1519268814452,0.0734880797555633,8.05768463008206,8.12313326247306,0.0654486323910053,1.33468412657673,1.32817222441246,-0.00651190216426722,0.386666666666667,0.386666666666667,0,1,1,829.637448512486,833.637272059824,3.99982354733766,9,5,5,sectors.cio_dB,1
normal,14,31,LB/MLB,15675,cio_bias_to_neighbor,12,13,0,0,3,0.982,0.976,-0.00600000000000001,-87.8736100504198,-87.840531828491,0.0330782219288039,8.81327870098177,8.86203195961246,0.0487532586306951,0.406203495624655,0.398670883629433,-0.00753261199522232,0.906666666666667,0.986666666666667,0.0800000000000001,1,1,339.027403054978,344.014829371534,4.98742631655608,12,13,13,sectors.cio_dB,1
overload,14,32,LB/MLB,15718,cio_bias_to_neighbor,1,3,0,0,3,0.962,0.948,-0.014,-87.9507067468559,-87.8350643463647,0.115642400491282,8.7708889489943,8.83026899296139,0.0593800439670975,1.27651064598913,1.20960248271096,-0.0669081632781694,0.46,0.58,0.12,1,1,834.146234666188,871.208377173218,37.0621425070302,1,3,3,sectors.cio_dB,1
overload,14,32,LB/MLB,15818,cio_bias_to_neighbor,11,8,0,0,3,0.962,0.948,-0.014,-87.9507067468559,-87.8350643463647,0.115642400491282,8.7708889489943,8.83026899296139,0.0593800439670975,1.27651064598913,1.20960248271096,-0.0669081632781694,0.46,0.58,0.12,1,1,834.146234666188,871.208377173218,37.0621425070302,11,8,8,sectors.cio_dB,1
overload,14,32,LB/MLB,15873,cio_bias_to_neighbor,15,14,0,0,-3,0.962,0.948,-0.014,-87.9507067468559,-87.8350643463647,0.115642400491282,8.7708889489943,8.83026899296139,0.0593800439670975,1.27651064598913,1.20960248271096,-0.0669081632781694,0.46,0.58,0.12,1,1,834.146234666188,871.208377173218,37.0621425070302,15,14,14,sectors.cio_dB,1
overload,14,32,LB/MLB,15879,cio_bias_to_neighbor,16,20,0,0,3,0.962,0.948,-0.014,-87.9507067468559,-87.8350643463647,0.115642400491282,8.7708889489943,8.83026899296139,0.0593800439670975,1.27651064598913,1.20960248271096,-0.0669081632781694,0.46,0.58,0.12,1,1,834.146234666188,871.208377173218,37.0621425070302,16,20,20,sectors.cio_dB,1
overload,15,33,LB/MLB,16247,cio_bias_to_neighbor,2,13,0,0,3,0.962,0.952,-0.01,-87.5549159326448,-87.4893152733635,0.0656006592812304,8.99012215322429,9.05651932828279,0.0663971750584977,1.24056611885566,1.24180417789826,0.00123805904259378,0.433333333333333,0.433333333333333,0,1,1,805.930809993019,817.179505154893,11.2486951618743,2,13,13,sectors.cio_dB,1
overload,15,33,LB/MLB,16285,cio_bias_to_neighbor,5,9,0,0,-3,0.962,0.952,-0.01,-87.5549159326448,-87.4893152733635,0.0656006592812304,8.99012215322429,9.05651932828279,0.0663971750584977,1.24056611885566,1.24180417789826,0.00123805904259378,0.433333333333333,0.433333333333333,0,1,1,805.930809993019,817.179505154893,11.2486951618743,5,9,9,sectors.cio_dB,1
overload,15,33,LB/MLB,16295,cio_bias_to_neighbor,6,19,0,0,3,0.962,0.952,-0.01,-87.5549159326448,-87.4893152733635,0.0656006592812304,8.99012215322429,9.05651932828279,0.0663971750584977,1.24056611885566,1.24180417789826,0.00123805904259378,0.433333333333333,0.433333333333333,0,1,1,805.930809993019,817.179505154893,11.2486951618743,6,19,19,sectors.cio_dB,1
overload,15,33,LB/MLB,16312,cio_bias_to_neighbor,7,10,0,0,3,0.962,0.952,-0.01,-87.5549159326448,-87.4893152733635,0.0656006592812304,8.99012215322429,9.05651932828279,0.0663971750584977,1.24056611885566,1.24180417789826,0.00123805904259378,0.433333333333333,0.433333333333333,0,1,1,805.930809993019,817.179505154893,11.2486951618743,7,10,10,sectors.cio_dB,1
handover_stress,16,34,LB/MLB,16451,cio_bias_to_neighbor,16,20,0,0,3,0.95,0.944,-0.00600000000000001,-90.1680291643765,-90.1417416869405,0.0262874774360426,6.49231098458532,6.53919078914294,0.0468798045576193,0.416373747769228,0.41173963142456,-0.00463411634466787,0.933333333333333,0.92,-0.0133333333333333,1,1,317.29313269786,314.677535907359,-2.61559679050032,16,20,20,sectors.cio_dB,1
handover_stress,17,35,LB/MLB,16888,cio_bias_to_neighbor,12,10,0,0,3,0.938,0.938,0,-89.5752660925412,-89.5829995444696,-0.00773345192843067,6.82497542334796,6.81101783935962,-0.0139575839883426,0.429611077913115,0.429888699408966,0.000277621495851199,0.933333333333333,0.933333333333333,0,1,1,318.237122926308,318.237122926308,0,12,10,10,sectors.cio_dB,1
mixed_conflict,19,36,LB/MLB,17790,cio_bias_to_neighbor,3,16,0,0,3,0.976,0.952,-0.024,-88.5073510638953,-88.3872593295127,0.120091734382569,8.87953392386844,9.08475123373862,0.20521730987018,1.23741145345519,1.1612784867595,-0.0761329666956982,0.38,0.453333333333333,0.0733333333333333,1,1,799.673329255867,786.126532828543,-13.5467964273241,3,16,16,sectors.cio_dB,1
mixed_conflict,19,36,LB/MLB,17816,cio_bias_to_neighbor,5,1,0,0,3,0.976,0.952,-0.024,-88.5073510638953,-88.3872593295127,0.120091734382569,8.87953392386844,9.08475123373862,0.20521730987018,1.23741145345519,1.1612784867595,-0.0761329666956982,0.38,0.453333333333333,0.0733333333333333,1,1,799.673329255867,786.126532828543,-13.5467964273241,5,1,1,sectors.cio_dB,1
mixed_conflict,19,36,LB/MLB,17889,cio_bias_to_neighbor,12,10,0,0,3,0.976,0.952,-0.024,-88.5073510638953,-88.3872593295127,0.120091734382569,8.87953392386844,9.08475123373862,0.20521730987018,1.23741145345519,1.1612784867595,-0.0761329666956982,0.38,0.453333333333333,0.0733333333333333,1,1,799.673329255867,786.126532828543,-13.5467964273241,12,10,10,sectors.cio_dB,1
mixed_conflict,19,36,LB/MLB,17893,cio_bias_to_neighbor,13,2,0,0,-3,0.976,0.952,-0.024,-88.5073510638953,-88.3872593295127,0.120091734382569,8.87953392386844,9.08475123373862,0.20521730987018,1.23741145345519,1.1612784867595,-0.0761329666956982,0.38,0.453333333333333,0.0733333333333333,1,1,799.673329255867,786.126532828543,-13.5467964273241,13,2,2,sectors.cio_dB,1
mixed_conflict,19,36,LB/MLB,17949,cio_bias_to_neighbor,19,21,0,0,-3,0.976,0.952,-0.024,-88.5073510638953,-88.3872593295127,0.120091734382569,8.87953392386844,9.08475123373862,0.20521730987018,1.23741145345519,1.1612784867595,-0.0761329666956982,0.38,0.453333333333333,0.0733333333333333,1,1,799.673329255867,786.126532828543,-13.5467964273241,19,21,21,sectors.cio_dB,1
