sector_id,site_id,azimuth_deg,attached_ue_count,active_ue_count,active_attached_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_capacity_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,overload_flag,scenario_name,realization_id,phase_tag
19,7,30,25,2,2,7.31844030959079,7.31844030959079,0,41.7760029042008,0.175182875354858,-89.0681154452072,-89.1447410760334,8.35452131625162,5.4601303776393,3.65922015479539,3.65922015479539,1,0,outage_sector,2,pre
20,7,150,26,7,7,38.4257647264312,38.4257647264312,0,47.8258271449271,0.803452172609357,-85.0944080937292,-85.602674767786,9.62416074237242,8.31568218721956,5.48939496091875,6.58843913008771,1,1,outage_sector,2,pre
21,7,270,23,6,6,29.033452676243,29.033452676243,0,48.0216574805652,0.604590807553718,-90.4337588795631,-90.0013607702063,9.71263295088068,9.1026840582412,4.83890877937383,5.54714200153826,1,0,outage_sector,2,pre
1,1,30,31,1,1,4.36802888699255,4.36802888699255,0,44.0458206234742,0.099170110243436,-85.4519821492148,-86.6825413616682,8.65250955736745,8.37752381643874,4.36802888699255,4.36802888699255,1,0,outage_sector,2,post
2,1,150,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,outage_sector,2,post
3,1,270,20,1,1,6.50798147418231,6.50798147418231,0,34.6809642186921,0.187652841286191,-87.674800879927,-87.5239220676818,6.06980422706856,5.46586534244509,6.50798147418231,6.50798147418231,1,0,outage_sector,2,post
4,2,30,35,4,4,17.0880219297267,17.0880219297267,0,58.268008373367,0.293265934545606,-86.6975493742883,-86.5462361349094,12.5132780645212,12.7297164891181,4.27200548243166,4.43001326427781,1,0,outage_sector,2,post
5,2,150,23,1,1,4.37392715866295,4.37392715866295,0,37.9659867568346,0.115206465900048,-86.8399438911685,-88.2242505852628,6.93312301999082,7.7678705397524,4.37392715866295,4.37392715866295,1,0,outage_sector,2,post
6,2,270,15,3,3,10.1920731946625,10.1920731946625,0,35.8386924474912,0.284387417582137,-89.8419836496397,-88.7071387860457,6.88062015394169,6.8738158507565,3.39735773155415,3.59315282019775,1,0,outage_sector,2,post
7,3,30,25,4,4,17.7088855481848,17.7088855481848,0,56.3498501042882,0.314266772944568,-88.5178133508884,-89.9675605146985,12.3019036184693,12.1954689251951,4.4272213870462,4.07643202942456,1,0,outage_sector,2,post
8,3,150,21,6,6,30.5427005151998,30.5427005151998,0,52.0537117014221,0.586753557371498,-85.2167353145569,-86.383761787289,10.7093229213211,11.2085995227992,5.09045008586663,4.59037756155517,1,0,outage_sector,2,post
9,3,270,22,3,3,9.50766537870981,9.50766537870981,0,38.193353044302,0.24893507955904,-87.9090095632448,-89.3728985475605,6.7681116142212,3.11939527955158,3.16922179290327,3.01927853888335,1,0,outage_sector,2,post
10,4,30,24,1,1,1.85482063634306,1.85482063634306,0,54.8415453515891,0.0338214509538673,-85.3031744356216,-85.1232302255456,11.4002541357623,10.0003410128125,1.85482063634306,1.85482063634306,1,0,outage_sector,2,post
11,4,150,21,0,0,0,0,0,64.7623202696519,0,-86.0013422632773,-84.5918024556584,15.0867059748302,13.7466945558058,NaN,NaN,NaN,0,outage_sector,2,post
12,4,270,31,4,4,19.6812908078936,19.6812908078936,0,33.7649743689203,0.58289073739116,-88.7363311396724,-88.685149207982,5.85826151290235,2.51071405487072,4.9203227019734,4.89351599612804,1,0,outage_sector,2,post
13,5,30,22,5,5,25.2922785670718,25.2922785670718,0,46.8920111878905,0.53937286813587,-87.737846661699,-90.6501144486195,9.3790851948603,8.28297034316488,5.05845571341436,4.73520841886738,1,0,outage_sector,2,post
14,5,150,23,3,3,10.7377394965502,10.7377394965502,0,54.3097084661963,0.197713075613979,-88.4846861633927,-88.894696669075,11.3803015522572,11.6936628082405,3.57924649885008,3.8276346661497,1,0,outage_sector,2,post
15,5,270,29,5,5,14.4865345062331,14.4865345062331,0,46.339012885181,0.312620696995162,-86.9245564607874,-86.8613906401032,9.54798931541261,8.06525034492936,2.89730690124662,2.86938685785181,1,0,outage_sector,2,post
16,6,30,20,4,4,18.8268936280923,18.8268936280923,0,44.088820592419,0.42702193833077,-84.9974204337228,-85.8173173214392,8.4058510217896,8.76431053159515,4.70672340702308,4.53013140581587,1,0,outage_sector,2,post
17,6,150,20,5,5,24.785330695571,24.785330695571,0,29.7210778457384,0.83393108501026,-90.0447216376618,-93.7798349271644,4.5443988743606,2.39832572603811,4.95706613911421,5.5782750837791,1,1,outage_sector,2,post
