dataset_id,scenario_id,realization_id,scenario_name,traffic_mode,active_ues,total_served_traffic_Mbps,total_unserved_traffic_Mbps,overloaded_sector_count,mean_sector_load,max_sector_load,mean_best_RSRP_dBm,mean_best_SINR_dB,coverage_ratio,boundary_ue_ratio,handover_risk_score,es_candidate_sector_count,qos_satisfaction_ratio_active
15,1,15,normal,normal,75,323.881616728585,8.46054135928201,0,0.374598605243351,0.644653854723594,-88.8018402415648,8.22793600949977,0.974,0.197125256673511,0.197125256673511,0,0.973333333333333
16,1,16,normal,normal,75,348.471257462928,1.52989817194736,0,0.367787483198607,0.612906353468048,-88.1664678646094,8.566179280488,0.978,0.184049079754601,0.184049079754601,0,0.986666666666667
17,1,17,normal,normal,75,345.786841640177,0,1,0.397256920083272,0.824957687367241,-88.5880474643097,8.49605818860972,0.978,0.179959100204499,0.179959100204499,0,1
18,1,18,normal,normal,75,320.405756286905,10.2601326226853,1,0.353632662110331,1.07089447790507,-88.0139443939863,9.00075550491372,0.968,0.144628099173554,0.144628099173554,0,0.986666666666667
19,1,19,normal,normal,75,325.853960707818,15.4462931692429,1,0.376446625956756,1.01886046217648,-88.4068105852119,8.47545148715948,0.98,0.179591836734694,0.179591836734694,0,0.973333333333333
20,1,20,normal,normal,75,353.898164722386,32.5959784252523,3,0.408991518590987,1.10735496265184,-88.5222641764283,8.58530542002288,0.97,0.160824742268041,0.160824742268041,0,0.946666666666667
21,1,21,normal,normal,75,355.841674818487,3.19933181318454,2,0.401489323689626,0.85254155911399,-88.2926040770829,8.8127872702488,0.974,0.166324435318275,0.166324435318275,0,0.986666666666667
22,2,1,low_load,low_load,25,47.045945245183,0,0,0.0570983168180249,0.284090882301542,-88.7857114339903,8.24853097956535,0.976,0.176229508196721,0.176229508196721,0,1
23,2,2,low_load,low_load,25,41.3286514390462,1.09188906878325,0,0.0476184309030519,0.174108374527285,-88.3091732749875,8.67162642084672,0.978,0.149284253578732,0.149284253578732,0,0.96
24,2,3,low_load,low_load,25,36.1157244084976,3.79802641422926,0,0.0424502499505871,0.137313392667702,-88.5139645725632,8.28419341617043,0.986,0.158215010141988,0.158215010141988,0,0.92
25,2,4,low_load,low_load,25,37.4128803175658,1.37806713698365,0,0.0439286915633409,0.147899891657119,-88.6914444992498,8.89738474765948,0.982,0.154786150712831,0.154786150712831,0,0.96
26,2,5,low_load,low_load,25,43.2481717151083,0,0,0.0464224591467946,0.140882595639537,-88.7205076294617,8.34333142754651,0.97,0.154639175257732,0.154639175257732,0,1
27,2,6,low_load,low_load,25,42.1461657234076,0,0,0.0558869034822005,0.213177942118441,-88.3947138808442,8.54580216754831,0.974,0.164271047227926,0.164271047227926,0,1
28,2,7,low_load,low_load,25,48.9403356079973,0,0,0.0536663637612603,0.146955322016627,-88.9112868701257,8.2625037659447,0.98,0.16734693877551,0.16734693877551,0,1
29,2,8,low_load,low_load,25,43.5700898433722,5.15558507519143,0,0.0498734585796176,0.156913277606961,-88.3232602089586,8.92543671655402,0.968,0.144628099173554,0.144628099173554,0,0.92
30,2,9,low_load,low_load,25,41.3896504008323,0,0,0.0420244804490263,0.180762144255998,-87.9762242256744,9.20529640917758,0.976,0.180327868852459,0.180327868852459,0,1
