traffic_mode,sector_id,site_id,azimuth_deg,attached_ue_count,active_ue_count,active_attached_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_capacity_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,overload_flag
low_load,12,4,270,27,1,1,2.63778218360743,2.63778218360743,0,33.1915624640902,0.0794714676798126,-88.9105232334278,-91.0446833336308,5.63254208854971,2.03501338086627,2.63778218360743,2.63778218360743,1,0
low_load,13,5,30,17,1,1,1.24624941620209,1.24624941620209,0,50.9575098279004,0.0244566388822975,-82.2239187929964,-82.9346959290611,11.4607284596707,9.30581376209746,1.24624941620209,1.24624941620209,1,0
low_load,14,5,150,28,2,2,2.43520101126557,2.43520101126557,0,52.3259837953897,0.0465390392044598,-89.668359627558,-89.995681549539,10.9252884395577,11.2449498031689,1.21760050563278,1.21760050563278,1,0
low_load,15,5,270,25,2,2,4.02541185661129,4.02541185661129,0,48.8312701208346,0.0824351250059699,-86.2939086688513,-86.1232964824157,10.3516935934875,8.35122831185965,2.01270592830564,2.01270592830564,1,0
low_load,16,6,30,19,2,2,3.54911424644849,3.54911424644849,0,26.7196584067836,0.132827830072388,-90.6416251152966,-92.0187218137426,3.59541315837508,1.68414079544156,1.77455712322424,1.77455712322424,1,0
low_load,17,6,150,24,1,1,2.86496405414477,2.86496405414477,0,40.4117778594379,0.0708942839414247,-89.3716870940475,-90.6158881566903,7.50806156900237,6.7240765653492,2.86496405414477,2.86496405414477,1,0
low_load,18,6,270,27,0,0,0,0,0,60.0464163979457,0,-87.4698532558352,-86.7181291074655,13.4892969919554,11.2409240971693,NaN,NaN,NaN,0
low_load,19,7,30,24,2,2,2.59820756024256,2.59820756024256,0,35.6798636653743,0.0728199968646182,-89.3121102819908,-87.8884156575396,6.48026681675229,6.78056694485559,1.29910378012128,1.29910378012128,1,0
low_load,20,7,150,16,1,1,2.07650558053875,2.07650558053875,0,37.6870053531332,0.0550987153551087,-87.0084066875333,-88.1668778429572,6.87556186827091,5.27003632932649,2.07650558053875,2.07650558053875,1,0
low_load,21,7,270,25,1,1,1.88880508341008,1.88880508341008,0,60.9825753012369,0.0309728651845205,-84.8394275727211,-82.8226228241485,13.2121705598789,15.7596122601533,1.88880508341008,1.88880508341008,1,0
normal,1,1,30,13,4,4,16.2486912521057,16.2486912521057,0,49.7912963312864,0.32633597534788,-85.5503972206374,-86.8407933581074,10.3344591492966,10.4201949625117,4.06217281302642,3.90483226994719,1,0
normal,2,1,150,22,2,2,10.1218844424674,10.1218844424674,0,41.3654733949222,0.244694031320089,-86.1333431386925,-86.3005274050616,8.208967967445,5.12238657082889,5.06094222123369,5.06094222123369,1,0
