scenario_id,scenario_name,sector_id,site_id,azimuth_deg,attached_ue_count,active_ue_count,active_attached_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_capacity_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,overload_flag,es_candidate
1,normal,11,4,150,23,1,1,6.27975584159195,6.27975584159195,0,40.5270420628209,0.154952237369254,-91.39371467247,-91.9199032346085,8.07682458907712,6.75800054857293,6.27975584159195,6.27975584159195,1,0,0
1,normal,12,4,270,23,2,2,3.98239031653803,3.98239031653803,0,34.605698242209,0.115079033766776,-84.6586434269016,-85.2219652366034,6.13699451488604,6.1913906437512,1.99119515826901,1.99119515826901,1,0,0
1,normal,13,5,30,22,3,3,12.4648679037144,12.4648679037144,0,35.7961025430183,0.348218577392179,-85.9188835537153,-86.5851448014667,6.61994408143862,5.19907853587805,4.15495596790479,2.78911009638307,1,0,0
1,normal,14,5,150,31,2,2,11.9922867365422,11.9922867365422,0,51.4340910060279,0.233158329465504,-89.3995734179541,-89.9180850618075,10.4333501947439,9.80002530457659,5.99614336827109,5.99614336827109,1,0,0
1,normal,15,5,270,26,4,4,15.908262504747,15.908262504747,0,29.3164401952096,0.542639638333253,-91.3082619192001,-90.7327315910204,4.56772955182082,2.73005595704479,3.97706562618674,3.51370264155729,1,0,0
1,normal,16,6,30,17,2,2,15.6506270395722,15.6506270395722,0,29.8260789485327,0.524729618887507,-87.8839199033095,-88.6826212446397,4.93299281200439,6.43242608138281,7.82531351978612,7.82531351978612,1,0,0
1,normal,17,6,150,21,4,4,20.5049076791725,20.5049076791725,0,49.658459839672,0.412918720100762,-86.3798958115902,-86.9738202361338,10.5406914379277,9.64061086786303,5.12622691979312,5.02091438168785,1,0,0
1,normal,18,6,270,24,5,5,22.8062739107071,22.8062739107071,0,59.0619867087499,0.38614132679232,-87.8714008863819,-88.7930458026372,14.0769925429078,12.4755813808277,4.56125478214142,4.90965476439274,1,0,0
1,normal,19,7,30,21,5,5,27.7900432440155,27.7900432440155,0,42.5115784180422,0.653705279318003,-88.1184684725153,-92.2503356850127,8.14979552691559,6.55867341866668,5.55800864880309,6.47329819796132,1,0,0
1,normal,20,7,150,14,4,4,12.5037910276863,12.5037910276863,0,29.9667886765666,0.417254953897145,-89.5635499724177,-91.818936242039,4.58133545309504,2.49138969135319,3.12594775692157,2.91229233102514,1,0,0
1,normal,21,7,270,28,6,6,36.8113009147025,36.8113009147025,0,50.6723890588778,0.726456786395651,-87.6055765234618,-86.0202276771641,10.322705147193,11.4089788690347,6.13521681911709,7.07546689374365,1,0,0
2,low_load,1,1,30,21,0,0,0,0,0,30.6914485004302,0,-88.2497921678464,-88.4461990504893,4.99114545242917,2.50833267041591,NaN,NaN,NaN,0,0
2,low_load,2,1,150,17,0,0,0,0,0,43.8794057991377,0,-85.7738826235953,-85.4713986764819,8.40526609031103,7.5410429707005,NaN,NaN,NaN,0,0
2,low_load,3,1,270,20,2,2,4.89221798346548,4.89221798346548,0,30.0537449455309,0.16278230857193,-90.0265626219289,-91.4235192852555,4.72742942619943,3.35937240233636,2.44610899173274,2.44610899173274,1,0,0
2,low_load,4,2,30,23,1,1,2.25059309140238,2.25059309140238,0,55.0643779293484,0.0408720333550313,-88.491645087168,-86.6260977325075,11.5907647881925,10.5947228618514,2.25059309140238,2.25059309140238,1,0,0
2,low_load,5,2,150,23,1,1,1.47981703174046,1.47981703174046,0,38.4543662450083,0.0384824189355234,-87.2730569036018,-87.0215314744135,6.79970717894558,4.49732554190668,1.47981703174046,1.47981703174046,1,0,0
2,low_load,6,2,270,27,3,3,4.18334106878886,4.18334106878886,0,40.2110765845342,0.104034545307296,-89.7325094452535,-89.9596281990182,7.46090728026113,5.16271476429945,1.39444702292962,1.1238083215841,1,0,0
