ue_id,x_m,y_m,serving_sector,isAttached,isTrafficActive,demand_Mbps,service_class,spectralEfficiency_bpsHz,peakThroughput_Mbps,servedThroughput_Mbps,unservedDemand_Mbps,meetsMinThroughput,qosSatisfied,bestRSRP_dBm,bestSINR_dB
31,-435.06039330265,-674.296198416548,15,1,1,5.9569997846607,normal_rate,1.91946462772763,38.3892925545526,5.9569997846607,0,1,1,-84.537245259685,7.55142745163944
32,46.3691703425434,-1200.92163790661,14,1,0,0,no_traffic,2.7031196388362,54.062392776724,0,0,0,0,-98.1518893737366,11.3150362056287
33,107.928772868307,934.525812063195,4,1,0,0,no_traffic,2.82653938545328,56.5307877090656,0,0,0,0,-90.746914212165,11.8825464437261
34,635.721910008873,73.0683084510024,8,1,0,0,no_traffic,0.965839398381037,19.3167879676207,0,0,0,0,-94.533901369687,2.0473565808582
35,912.28808788171,754.448785804728,0,0,0,0,no_traffic,0.335366072752019,6.70732145504038,0,0,0,0,-106.493406527531,-4.04648827183365
36,974.782620248911,-376.963216412748,10,1,0,0,no_traffic,1.00993124736423,20.1986249472845,0,0,0,0,-93.34586305769,2.35124819838419
37,-950.829237248686,674.669312163258,21,1,0,0,no_traffic,1.0560195313808,21.120390627616,0,0,0,0,-95.0583998919616,2.66075594962007
38,-702.462007321686,-247.631373831609,16,1,0,0,no_traffic,3.8903577714,77.807155428,0,0,0,0,-79.1370661054235,16.6370055767635
39,-403.59174303988,321.960305635887,20,1,0,0,no_traffic,0.999054610758787,19.9810922151757,0,0,0,0,-91.3277904362388,2.27702071760361
40,-257.222257822289,943.561121663661,6,1,0,0,no_traffic,1.24518635299047,24.9037270598093,0,0,0,0,-96.4733084829698,3.85873548477371
41,759.58089862411,677.409329307539,7,1,0,0,no_traffic,3.40926935515727,68.1853871031453,0,0,0,0,-89.769770542732,14.5102470878083
42,-330.985767689538,-207.644686576953,16,1,0,0,no_traffic,0.775402716993796,15.5080543398759,0,0,0,0,-88.7395197580618,0.625990012082271
43,-506.172728565294,-198.579127073427,16,1,0,0,no_traffic,1.74072418202526,34.8144836405051,0,0,0,0,-91.4718352575285,6.63242260078748
44,98.6535710413373,599.912101822917,5,1,1,5.27904297693707,normal_rate,3.63797306967633,72.7594613935265,5.27904297693707,0,1,1,-80.0977780985683,15.5248137018251
45,-829.680496671786,-659.606167960646,17,1,0,0,no_traffic,1.55888067914674,31.1776135829349,0,0,0,0,-92.4845375920061,5.66025394629314
46,-983.043295626529,-367.089326035388,18,1,0,0,no_traffic,3.6460324664931,72.920649329862,0,0,0,0,-88.6908274178878,15.5604398428634
47,1125.00097048688,-537.236582224991,11,1,0,0,no_traffic,1.46021921565212,29.2043843130425,0,0,0,0,-98.8467521934713,5.11318226426491
48,629.048772199882,-514.336391070727,12,1,0,0,no_traffic,2.50062712663707,50.0125425327414,0,0,0,0,-71.1528270640016,10.3724074248621
49,-696.147555391559,-672.659254953756,17,1,0,0,no_traffic,3.58059625076897,71.6119250153794,0,0,0,0,-83.5745083829288,15.2709481632353
50,529.143969426206,-182.377941701982,12,1,0,0,no_traffic,0.540594540324734,10.8118908064947,0,0,0,0,-93.8129728617996,-1.49988572764063
51,626.797271285996,-292.083390737654,10,1,0,0,no_traffic,0.561620560133387,11.2324112026677,0,0,0,0,-86.6299300513286,-1.28487013932777
52,-984.212440631575,453.622084753027,21,1,1,7.56068557271098,high_rate,4.5,90,7.56068557271098,0,1,1,-77.6020997955605,21.9749501004787
53,-327.029091921375,-711.428844576896,15,1,0,0,no_traffic,3.63886602769585,72.777320553917,0,0,0,0,-81.9360783111249,15.5287613672295
54,838.986786848864,723.041397847032,7,1,1,3.44943996238201,low_rate,3.66458299373575,73.2916598747149,3.44943996238201,0,1,1,-88.2169673341703,15.6424115606682
55,284.892655590033,-1036.76623612495,17,1,0,0,no_traffic,0.791394666575,15.8278933315,0,0,0,0,-99.1409787280542,0.753435894981093
56,-390.72702890796,-208.114365837888,16,1,0,0,no_traffic,1.62682803941078,32.5365607882155,0,0,0,0,-92.0187218137426,6.02854550682327
57,-403.931421430939,-82.313487880007,20,1,0,0,no_traffic,1.5008771411273,30.0175428225459,0,0,0,0,-87.8976564951082,5.3405093976216
58,530.528042636812,286.371772716397,9,1,0,0,no_traffic,0.733702885853207,14.6740577170641,0,0,0,0,-93.0939742359548,0.285192536887423
59,317.840297488425,-840.762817346684,12,1,0,0,no_traffic,0.65597378491306,13.1194756982612,0,0,0,0,-96.1109816888817,-0.387294860595987
60,-64.2001947641174,-677.547917185227,13,1,0,0,no_traffic,2.89570413294456,57.9140826588912,0,0,0,0,-72.285283130741,12.1985807173153
61,492.723411829742,377.868364467287,9,1,0,0,no_traffic,4.5,90,0,0,0,0,-69.2785935884956,20.7766733855616
62,602.569941249409,272.043020996068,8,1,0,0,no_traffic,1.16289595008139,23.2579190016278,0,0,0,0,-80.5450770846356,3.35050520713573
