scenario_name,realization_id,coordinator_group_id,module_name,action_type,action_id,pre_attach_rate,ai_post_attach_rate,delta_attach_rate,pre_mean_rsrp_dBm,ai_post_mean_rsrp_dBm,delta_mean_rsrp_dB,pre_mean_sinr_dB,ai_post_mean_sinr_dB,delta_mean_sinr_dB,pre_mean_sector_load,ai_post_mean_sector_load,delta_mean_sector_load,pre_qos_satisfaction_ratio,ai_post_qos_satisfaction_ratio,delta_qos_satisfaction_ratio,pre_served_traffic_Mbps,ai_post_served_traffic_Mbps,delta_served_traffic_Mbps,outcome_class,tradeoff_flag
mixed_conflict,3,19,LB/MLB,cio_bias_to_neighbor,10089,0.964,0.954,-0.01,-88.2838757213929,-88.2065743155716,0.0773014058213732,8.88090503922193,8.96163280230473,0.0807277630827947,1.21597362278,1.2086355108092,-0.00733811197080603,0.366666666666667,0.393333333333333,0.0266666666666667,783.435521739152,771.777603827037,-11.6579179121152,improved_with_tradeoff,1
mixed_conflict,3,19,LB/MLB,cio_bias_to_neighbor,10111,0.964,0.954,-0.01,-88.2838757213929,-88.2065743155716,0.0773014058213732,8.88090503922193,8.96163280230473,0.0807277630827947,1.21597362278,1.2086355108092,-0.00733811197080603,0.366666666666667,0.393333333333333,0.0266666666666667,783.435521739152,771.777603827037,-11.6579179121152,improved_with_tradeoff,1
normal,3,20,LB/MLB,cio_bias_to_neighbor,10160,0.98,0.95,-0.03,-87.3644434595328,-87.2067912317694,0.15765222776345,8.98963147881637,9.22445260741275,0.234821128596378,0.369882254128349,0.352938626314315,-0.0169436278140346,0.986666666666667,0.96,-0.0266666666666667,335.399463270526,330.200674057893,-5.19878921263302,mixed,1
degraded_sector,4,21,LB/MLB,cio_bias_to_neighbor,10433,0.972,0.952,-0.02,-88.7437626226107,-88.611844220978,0.131918401632689,8.11263878149011,8.28500241978732,0.172363638297208,0.415070566172145,0.403364226358575,-0.0117063398135701,0.986666666666667,0.986666666666667,0,349.523195907246,350.926794337399,1.40359843015318,mixed,1
handover_stress,4,22,LB/MLB,cio_bias_to_neighbor,10471,0.944,0.93,-0.0139999999999999,-89.7774082568519,-89.6736373895362,0.10377086731576,6.80927662933461,6.92066382385406,0.111387194519447,0.438217581026812,0.427624750553428,-0.0105928304733842,0.933333333333333,0.906666666666667,-0.0266666666666667,320.078226071185,319.69854820832,-0.379677862864924,mixed,1
handover_stress,5,23,LB/MLB,cio_bias_to_neighbor,10939,0.938,0.92,-0.0179999999999999,-89.4456261583097,-89.3280169453471,0.11760921296262,7.41585452962507,7.57443813544341,0.158583605818345,0.398469833936459,0.392438101708596,-0.0060317322278633,0.906666666666667,0.906666666666667,0,307.428732020732,307.428732020732,0,mixed,1
handover_stress,5,23,LB/MLB,cio_bias_to_neighbor,10952,0.938,0.92,-0.0179999999999999,-89.4456261583097,-89.3280169453471,0.11760921296262,7.41585452962507,7.57443813544341,0.158583605818345,0.398469833936459,0.392438101708596,-0.0060317322278633,0.906666666666667,0.906666666666667,0,307.428732020732,307.428732020732,0,mixed,1
outage_sector,5,24,LB/MLB,cio_bias_to_neighbor,11199,0.972,0.972,0,-88.3654522937179,-88.3654522937179,0,8.86131036223823,8.86131036223823,0,0.406674271275824,0.406674271275824,0,0.88,0.88,0,338.604016847306,338.604016847306,0,unchanged,0
degraded_sector,6,25,LB/MLB,cio_bias_to_neighbor,11446,0.978,0.972,-0.00600000000000001,-88.7948260108392,-88.7602926125082,0.0345333983309786,8.22548631058465,8.2639917590398,0.038505448455151,0.424129954390029,0.418893029556261,-0.0052369248337677,1,0.986666666666667,-0.0133333333333333,362.05850891662,360.715995857186,-1.34251305943462,mixed,1
outage_sector,6,26,LB/MLB,cio_bias_to_neighbor,11740,0.976,0.968,-0.00800000000000001,-88.880098595198,-88.8214101759191,0.058688419278937,8.6957002628078,8.7601840902542,0.0644838274464004,0.358178326910566,0.349273709112971,-0.00890461779759555,0.96,0.946666666666667,-0.0133333333333333,324.685086305735,320.117773222904,-4.56731308283076,mixed,1
mixed_conflict,8,27,LB/MLB,cio_bias_to_neighbor,12537,0.968,0.948,-0.02,-88.2219771961282,-88.1074991486754,0.114478047452849,8.19000296356192,8.34769911094176,0.157696147379838,1.20001074818317,1.18186746287511,-0.0181432853080659,0.493333333333333,0.433333333333333,-0.06,788.371821929062,758.488404446003,-29.8834174830588,mixed,1
mixed_conflict,8,27,LB/MLB,cio_bias_to_neighbor,12571,0.968,0.948,-0.02,-88.2219771961282,-88.1074991486754,0.114478047452849,8.19000296356192,8.34769911094176,0.157696147379838,1.20001074818317,1.18186746287511,-0.0181432853080659,0.493333333333333,0.433333333333333,-0.06,788.371821929062,758.488404446003,-29.8834174830588,mixed,1
mixed_conflict,8,27,LB/MLB,cio_bias_to_neighbor,12633,0.968,0.948,-0.02,-88.2219771961282,-88.1074991486754,0.114478047452849,8.19000296356192,8.34769911094176,0.157696147379838,1.20001074818317,1.18186746287511,-0.0181432853080659,0.493333333333333,0.433333333333333,-0.06,788.371821929062,758.488404446003,-29.8834174830588,mixed,1
mixed_conflict,8,27,LB/MLB,cio_bias_to_neighbor,12663,0.968,0.948,-0.02,-88.2219771961282,-88.1074991486754,0.114478047452849,8.19000296356192,8.34769911094176,0.157696147379838,1.20001074818317,1.18186746287511,-0.0181432853080659,0.493333333333333,0.433333333333333,-0.06,788.371821929062,758.488404446003,-29.8834174830588,mixed,1
