final_decision_id,scenario_name,realization_id,selected_action_id_safe,module_name,final_decision_status,reason_not_applied
170,overload,15,16233,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
172,overload,15,16253,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
173,overload,15,16277,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
177,overload,15,16322,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
178,overload,15,16343,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
179,overload,15,16351,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
180,overload,15,16357,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
181,overload,15,16370,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
182,overload,15,16383,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
183,overload,15,16396,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
184,overload,15,16412,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
185,handover_stress,16,16435,LB/MLB,final_noop,no-op decision; no parameter change to apply
190,mixed_conflict,19,17807,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
192,mixed_conflict,19,17832,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
193,mixed_conflict,19,17850,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
194,mixed_conflict,19,17855,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
195,mixed_conflict,19,17868,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
198,mixed_conflict,19,17914,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
199,mixed_conflict,19,17917,LB/MLB,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
200,mixed_conflict,19,17936,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
202,mixed_conflict,19,17962,LB/MLB,rejected_priority_conflict,rejected by Phase 11A priority arbitration
203,normal,21,19022,LB/MLB,final_noop,no-op decision; no parameter change to apply
204,normal,21,19035,LB/MLB,final_noop,no-op decision; no parameter change to apply
205,handover_stress,1,19295,ES,final_noop,no-op decision; no parameter change to apply
207,low_load,1,19301,ES,final_noop,no-op decision; no parameter change to apply
208,low_load,1,19303,ES,final_noop,no-op decision; no parameter change to apply
209,low_load,1,19306,ES,final_noop,no-op decision; no parameter change to apply
210,low_load,1,19309,ES,final_noop,no-op decision; no parameter change to apply
213,low_load,1,19318,ES,final_noop,no-op decision; no parameter change to apply
214,low_load,1,19321,ES,final_noop,no-op decision; no parameter change to apply
215,low_load,1,19324,ES,final_noop,no-op decision; no parameter change to apply
216,low_load,1,19327,ES,final_noop,no-op decision; no parameter change to apply
218,low_load,1,19332,ES,final_noop,no-op decision; no parameter change to apply
221,low_load,1,19341,ES,final_noop,no-op decision; no parameter change to apply
222,handover_stress,2,19410,ES,final_noop,no-op decision; no parameter change to apply
223,handover_stress,2,19413,ES,final_noop,no-op decision; no parameter change to apply
226,low_load,2,19422,ES,final_noop,no-op decision; no parameter change to apply
227,low_load,2,19425,ES,final_noop,no-op decision; no parameter change to apply
228,low_load,2,19428,ES,final_noop,no-op decision; no parameter change to apply
229,low_load,2,19431,ES,final_noop,no-op decision; no parameter change to apply
230,low_load,2,19434,ES,final_noop,no-op decision; no parameter change to apply
