oracle_group_id,module_name,scenario_name,realization_id,source_sector_id,selected_action_id_raw,selected_action_id_safe,oracle_action_id,raw_predicted_reward,safe_predicted_reward,raw_true_reward,safe_true_reward,oracle_reward,raw_selected_safety_valid,safe_selected_safety_valid,safety_filter_changed_action,fallback_used,noop_selected,selection_reason,raw_regret,safety_enforced_regret,raw_top1_oracle_match,safe_top1_oracle_match,safe_top2_oracle_match
109,LB/MLB,mixed_conflict,2,12,9538,9534,9534,-0.133795332778057,-0.133890524556515,-0.1338,-0.1338,-0.1338,0,1,1,0,0,safe_best_predicted,0,0,0,1,1
110,LB/MLB,mixed_conflict,2,13,9545,9547,9547,-0.08235893219021,-0.127633022004223,0,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,-0.1275,0,0,1,1
111,LB/MLB,mixed_conflict,2,15,9560,9568,9568,-0.133768626310556,-0.13379173981548,-0.1338,-0.1338,-0.1338,0,1,1,0,0,safe_best_predicted,0,0,0,1,1
112,LB/MLB,mixed_conflict,2,16,9582,9582,9582,0.259682175745716,0.259682175745716,0.26125,0.26125,0.26125,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
113,LB/MLB,mixed_conflict,2,17,9584,9584,9584,-0.0861540053658843,-0.0861540053658843,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
114,LB/MLB,mixed_conflict,2,19,9597,9597,9597,-0.000943824741368859,-0.000943824741368859,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
115,LB/MLB,mixed_conflict,2,20,9610,9610,9610,-0.0735336001714354,-0.0735336001714354,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
116,LB/MLB,mixed_conflict,2,21,9623,9625,9625,-0.083795316811599,-0.127519582582775,0,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,-0.1275,0,0,1,1
118,LB/MLB,outage_sector,2,17,9649,9649,9649,0.00065109626196729,0.00065109626196729,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
119,LB/MLB,outage_sector,2,20,9662,9662,9662,-0.000560897175992863,-0.000560897175992863,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
138,LB/MLB,degraded_sector,3,1,9913,9913,9913,0.0637207532805646,0.0637207532805646,0.06625,0.06625,0.06625,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
142,LB/MLB,mixed_conflict,3,4,9961,9961,9961,0.000442056350905537,0.000442056350905537,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
143,LB/MLB,mixed_conflict,3,5,9977,9976,9976,-0.0835282646743587,-0.127538258020841,-0.421319950151505,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,0.293819950151505,0,0,1,1
144,LB/MLB,mixed_conflict,3,6,9987,9987,9987,-0.0792161022490405,-0.0792161022490405,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
145,LB/MLB,mixed_conflict,3,7,10000,10000,10000,0.000287382305440368,0.000287382305440368,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
146,LB/MLB,mixed_conflict,3,8,10013,10013,10013,-0.00207909924192248,-0.00207909924192248,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
147,LB/MLB,mixed_conflict,3,9,10026,10028,10028,-0.0856390772363612,-0.12747584151144,0,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,-0.1275,0,0,1,1
148,LB/MLB,mixed_conflict,3,10,10039,10045,10041,-0.0863166111500742,-0.127546003692943,0,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,-0.1275,0,0,0,1
