final_decision_id,coordinator_group_id,scenario_name,realization_id,module_name,module_priority,decision_source_sector_id,decision_target_sector_id,source_sector_id,target_sector_id,coordinator_affected_sector_id,application_affected_sector_id,application_state_variable,affected_sector_id,affected_parameter,selected_action_id_safe,accepted_action_type,final_decision_status,executable_flag,not_applied_flag,safety_valid,fallback_used,noop_selected,unresolved_fallback_flag,rejection_reason,conflict_id,conflict_type,final_candidate_rank,predicted_reward,true_reward,safety_enforced_regret,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action
131,30,overload,13,LB/MLB,3,1,5,1,5,1,5,sectors.cio_dB,1,CIO_bias,15150,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,50,duplicate_application_target_parameter,0,-0.127397193269275,-0.1275,0,0,0,-3,0,0,
138,30,overload,13,LB/MLB,3,10,5,10,5,10,5,sectors.cio_dB,10,CIO_bias,15249,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,51,duplicate_application_target_parameter,0,-0.127502452622416,-0.1275,0,0,0,-3,0,0,
151,31,normal,14,LB/MLB,3,15,13,15,13,15,13,sectors.cio_dB,15,CIO_bias,15689,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,53,duplicate_application_target_parameter,0,0.0436663887688768,0.0496621311874375,0,0,0,6,0,0,
156,32,overload,14,LB/MLB,3,6,20,6,20,6,20,sectors.cio_dB,6,CIO_bias,15771,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,58,duplicate_application_target_parameter,0,0.00894794709211256,-0.00280860473118,0.00140430236558996,0,0,6,0,0,
157,32,overload,14,LB/MLB,3,7,8,7,8,7,8,sectors.cio_dB,7,CIO_bias,15774,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,56,duplicate_application_target_parameter,0,-0.127438475679877,-0.1275,0,0,0,-3,0,0,
159,32,overload,14,LB/MLB,3,10,8,10,8,10,8,sectors.cio_dB,10,CIO_bias,15800,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,55,duplicate_application_target_parameter,0,-0.127442730760949,-0.1275,0,0,0,-3,0,0,
167,32,overload,14,LB/MLB,3,18,3,18,3,18,3,sectors.cio_dB,18,CIO_bias,15908,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,54,duplicate_application_target_parameter,0,-0.126302112454734,-0.1275,0,0,0,-3,0,0,
168,32,overload,14,LB/MLB,3,19,20,19,20,19,20,sectors.cio_dB,19,CIO_bias,15926,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,61,duplicate_application_target_parameter,0,0.0684186691254845,0.0710095313072528,0,0,0,3,0,0,
169,32,overload,14,LB/MLB,3,21,20,21,20,21,20,sectors.cio_dB,21,CIO_bias,15939,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,62,duplicate_application_target_parameter,0,0.245722063518058,0.242606461354412,0,0,0,3,0,0,
170,33,overload,15,LB/MLB,3,1,9,1,9,1,9,sectors.cio_dB,1,CIO_bias,16233,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,64,duplicate_application_target_parameter,0,-0.133745196008989,-0.1338,0,0,0,-3,0,0,
