final_decision_id,coordinator_group_id,selected_action_id_safe,scenario_name,realization_id,module_name,decision_source_sector_id,decision_target_sector_id,source_sector_id,target_sector_id,coordinator_affected_sector_id,application_affected_sector_id,application_state_variable,action_type,implementability_status,exclusion_reason
385,56,21569,low_load_energy_saving_candidate,18,ES,21,21,21,21,21,21,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
390,57,21602,low_load,19,ES,6,6,6,6,6,6,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
391,57,21605,low_load,19,ES,7,7,7,7,7,7,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
392,57,21608,low_load,19,ES,8,8,8,8,8,8,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
397,57,21622,low_load,19,ES,15,15,15,15,15,15,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
402,57,21637,low_load,19,ES,20,20,20,20,20,20,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
404,58,21643,low_load_energy_saving_candidate,19,ES,1,1,1,1,1,1,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
408,58,21655,low_load_energy_saving_candidate,19,ES,5,5,5,5,5,5,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
412,58,21667,low_load_energy_saving_candidate,19,ES,9,9,9,9,9,9,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
416,58,21679,low_load_energy_saving_candidate,19,ES,13,13,13,13,13,13,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
421,58,21694,low_load_energy_saving_candidate,19,ES,19,19,19,19,19,19,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
423,58,21700,low_load_energy_saving_candidate,19,ES,21,21,21,21,21,21,sectors.is_sleeping,sleep,partially_implementable,module ES not eligible (only COC/OH and LB/MLB)
428,38,22149,handover_stress,1,HO/MRO,2,12,2,12,2,12,sectors.hom_offset_dB|sectors.ttt_offset_ms|sectors.cio_dB,handover_parameter_adjustment,partially_implementable,module HO/MRO not eligible (only COC/OH and LB/MLB)
429,38,22386,handover_stress,1,HO/MRO,3,20,3,20,3,20,sectors.hom_offset_dB|sectors.ttt_offset_ms|sectors.cio_dB,handover_parameter_adjustment,partially_implementable,module HO/MRO not eligible (only COC/OH and LB/MLB)
430,38,22505,handover_stress,1,HO/MRO,4,5,4,5,4,5,sectors.hom_offset_dB|sectors.ttt_offset_ms|sectors.cio_dB,handover_parameter_adjustment,partially_implementable,module HO/MRO not eligible (only COC/OH and LB/MLB)
431,38,22683,handover_stress,1,HO/MRO,5,1,5,1,5,1,sectors.hom_offset_dB|sectors.ttt_offset_ms|sectors.cio_dB,handover_parameter_adjustment,partially_implementable,module HO/MRO not eligible (only COC/OH and LB/MLB)
432,38,22861,handover_stress,1,HO/MRO,6,19,6,19,6,19,sectors.hom_offset_dB|sectors.ttt_offset_ms|sectors.cio_dB,handover_parameter_adjustment,partially_implementable,module HO/MRO not eligible (only COC/OH and LB/MLB)
433,38,23039,handover_stress,1,HO/MRO,8,10,8,10,8,10,sectors.hom_offset_dB|sectors.ttt_offset_ms|sectors.cio_dB,handover_parameter_adjustment,partially_implementable,module HO/MRO not eligible (only COC/OH and LB/MLB)
436,38,23573,handover_stress,1,HO/MRO,12,2,12,2,12,2,sectors.hom_offset_dB|sectors.ttt_offset_ms|sectors.cio_dB,handover_parameter_adjustment,partially_implementable,module HO/MRO not eligible (only COC/OH and LB/MLB)
438,38,23929,handover_stress,1,HO/MRO,15,17,15,17,15,17,sectors.hom_offset_dB|sectors.ttt_offset_ms|sectors.cio_dB,handover_parameter_adjustment,partially_implementable,module HO/MRO not eligible (only COC/OH and LB/MLB)
440,38,24285,handover_stress,1,HO/MRO,17,15,17,15,17,15,sectors.hom_offset_dB|sectors.ttt_offset_ms|sectors.cio_dB,handover_parameter_adjustment,partially_implementable,module HO/MRO not eligible (only COC/OH and LB/MLB)
441,38,24522,handover_stress,1,HO/MRO,18,3,18,3,18,3,sectors.hom_offset_dB|sectors.ttt_offset_ms|sectors.cio_dB,handover_parameter_adjustment,partially_implementable,module HO/MRO not eligible (only COC/OH and LB/MLB)
442,38,24641,handover_stress,1,HO/MRO,19,6,19,6,19,6,sectors.hom_offset_dB|sectors.ttt_offset_ms|sectors.cio_dB,handover_parameter_adjustment,partially_implementable,module HO/MRO not eligible (only COC/OH and LB/MLB)
445,60,26955,outage_sector,1,HO/MRO,2,12,2,12,2,12,sectors.hom_offset_dB|sectors.ttt_offset_ms|sectors.cio_dB,handover_parameter_adjustment,partially_implementable,module HO/MRO not eligible (only COC/OH and LB/MLB)
