coordinator_group_id,scenario_name,realization_id,module_name,accepted_action_id,accepted_action_type,decision_source_sector_id,decision_target_sector_id,source_sector_id,target_sector_id,coordinator_affected_sector_id,application_affected_sector_id,application_state_variable,affected_parameter,accepted_flag,rejected_flag,rejection_reason,module_priority,final_candidate_rank,not_applied_flag,rejection_type
18,mixed_conflict,2,LB/MLB,9547,cio_bias_to_neighbor,13,2,13,2,13,2,sectors.cio_dB,CIO_bias,0,1,Both actions write the same simulator state variable on the same application sector.,3,0,1,duplicate_application_target_parameter
18,mixed_conflict,2,LB/MLB,9568,cio_bias_to_neighbor,15,14,15,14,15,14,sectors.cio_dB,CIO_bias,1,0,,3,9,1,
18,mixed_conflict,2,LB/MLB,9582,cio_bias_to_neighbor,16,18,16,18,16,18,sectors.cio_dB,CIO_bias,1,0,,3,10,1,
18,mixed_conflict,2,LB/MLB,9584,no_op,17,0,17,0,0,0,none,none,1,0,,3,11,1,
18,mixed_conflict,2,LB/MLB,9597,no_op,19,0,19,0,0,0,none,none,1,0,,3,12,1,
18,mixed_conflict,2,LB/MLB,9610,no_op,20,0,20,0,0,0,none,none,1,0,,3,13,1,
18,mixed_conflict,2,LB/MLB,9625,cio_bias_to_neighbor,21,19,21,19,21,19,sectors.cio_dB,CIO_bias,0,1,Both actions write the same simulator state variable on the same application sector.,3,0,1,duplicate_application_target_parameter
1,outage_sector,2,LB/MLB,9649,no_op,17,0,17,0,0,0,none,none,1,0,,3,2,1,
1,outage_sector,2,LB/MLB,9662,no_op,20,0,20,0,0,0,none,none,1,0,,3,3,1,
2,degraded_sector,3,LB/MLB,9913,cio_bias_to_neighbor,1,5,1,5,1,5,sectors.cio_dB,CIO_bias,1,0,,3,2,1,
19,mixed_conflict,3,LB/MLB,9961,no_op,4,0,4,0,0,0,none,none,1,0,,3,1,1,
19,mixed_conflict,3,LB/MLB,9976,cio_bias_to_neighbor,5,1,5,1,5,1,sectors.cio_dB,CIO_bias,0,1,Both actions write the same simulator state variable on the same application sector.,3,0,1,duplicate_application_target_parameter
19,mixed_conflict,3,LB/MLB,9987,no_op,6,0,6,0,0,0,none,none,1,0,,3,2,1,
19,mixed_conflict,3,LB/MLB,10000,no_op,7,0,7,0,0,0,none,none,1,0,,3,3,1,
19,mixed_conflict,3,LB/MLB,10013,no_op,8,0,8,0,0,0,none,none,1,0,,3,4,1,
19,mixed_conflict,3,LB/MLB,10028,cio_bias_to_neighbor,9,1,9,1,9,1,sectors.cio_dB,CIO_bias,1,0,,3,5,1,
19,mixed_conflict,3,LB/MLB,10045,cio_bias_to_neighbor,10,11,10,11,10,11,sectors.cio_dB,CIO_bias,1,0,,3,6,1,
19,mixed_conflict,3,LB/MLB,10052,no_op,11,0,11,0,0,0,none,none,1,0,,3,7,1,
19,mixed_conflict,3,LB/MLB,10068,cio_bias_to_neighbor,12,2,12,2,12,2,sectors.cio_dB,CIO_bias,1,0,,3,8,1,
19,mixed_conflict,3,LB/MLB,10089,cio_bias_to_neighbor,13,15,13,15,13,15,sectors.cio_dB,CIO_bias,1,0,,3,9,1,
19,mixed_conflict,3,LB/MLB,10102,cio_bias_to_neighbor,14,2,14,2,14,2,sectors.cio_dB,CIO_bias,0,1,Both actions write the same simulator state variable on the same application sector.,3,0,1,duplicate_application_target_parameter
19,mixed_conflict,3,LB/MLB,10111,cio_bias_to_neighbor,16,3,16,3,16,3,sectors.cio_dB,CIO_bias,1,0,,3,10,1,
