final_decision_id,coordinator_group_id,scenario_name,realization_id,module_name,module_priority,decision_source_sector_id,decision_target_sector_id,source_sector_id,target_sector_id,coordinator_affected_sector_id,application_affected_sector_id,application_state_variable,affected_sector_id,affected_parameter,selected_action_id_safe,accepted_action_type,final_decision_status,executable_flag,not_applied_flag,safety_valid,fallback_used,noop_selected,unresolved_fallback_flag,rejection_reason,conflict_id,conflict_type,final_candidate_rank,predicted_reward,true_reward,safety_enforced_regret,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action
144,30,overload,13,LB/MLB,3,16,0,16,0,0,0,none,0,none,15317,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.224317853608169,0,0,0,0,0,0,0,
145,30,overload,13,LB/MLB,3,17,0,17,0,0,0,none,0,none,15330,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.180788501901154,0,0,0,0,0,0,0,
146,30,overload,13,LB/MLB,3,18,0,18,0,0,0,none,0,none,15343,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0803489391230753,0,0,0,0,0,0,0,
147,30,overload,13,LB/MLB,3,19,0,19,0,0,0,none,0,none,15356,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0904546496727535,0,0,0,0,0,0,0,
148,30,overload,13,LB/MLB,3,20,0,20,0,0,0,none,0,none,15369,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0859162746939418,0,0,0,0,0,0,0,
149,30,overload,13,LB/MLB,3,21,0,21,0,0,0,none,0,none,15382,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.270430104922069,0,0,0,0,0,0,0,
153,32,overload,14,LB/MLB,3,2,0,2,0,0,0,none,0,none,15720,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.219795570796799,0,0,0,0,0,0,0,
154,32,overload,14,LB/MLB,3,4,0,4,0,0,0,none,0,none,15733,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.269889610708054,0,0,0,0,0,0,0,
155,32,overload,14,LB/MLB,3,5,0,5,0,0,0,none,0,none,15746,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0841204775495443,0,0,0,0,0,0,0,
158,32,overload,14,LB/MLB,3,9,0,9,0,0,0,none,0,none,15785,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.220681868959383,0,0,0,0,0,0,0,
161,32,overload,14,LB/MLB,3,12,0,12,0,0,0,none,0,none,15824,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.222683450249062,0,0,0,0,0,0,0,
162,32,overload,14,LB/MLB,3,13,0,13,0,0,0,none,0,none,15837,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0880912015311865,0,0,0,0,0,0,0,
166,32,overload,14,LB/MLB,3,17,0,17,0,0,0,none,0,none,15889,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0873212889385434,0,0,0,0,0,0,0,
172,33,overload,15,LB/MLB,3,3,0,3,0,0,0,none,0,none,16253,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0834206652032866,0,0,0,0,0,0,0,
180,33,overload,15,LB/MLB,3,16,0,16,0,0,0,none,0,none,16357,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0857965360910072,0,0,0,0,0,0,0,
181,33,overload,15,LB/MLB,3,17,0,17,0,0,0,none,0,none,16370,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.292970313980047,0,0,0,0,0,0,0,
182,33,overload,15,LB/MLB,3,18,0,18,0,0,0,none,0,none,16383,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.229101102751919,0,0,0,0,0,0,0,
183,33,overload,15,LB/MLB,3,20,0,20,0,0,0,none,0,none,16396,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0822029151332155,0,0,0,0,0,0,0,
199,36,mixed_conflict,19,LB/MLB,3,15,0,15,0,0,0,none,0,none,17917,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0870848506031614,0,0,0,0,0,0,0,
465,62,overload,2,HO/MRO,4,5,0,5,0,0,0,none,0,none,32283,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,8.32929035236621e-05,0,0,0,0,0,0,0,
481,67,overload,8,HO/MRO,4,16,0,16,0,0,0,none,0,none,61119,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,8.32929035236621e-05,0,0,0,0,0,0,0,
508,10,mixed_conflict,17,HO/MRO,4,1,0,1,0,0,0,none,0,none,107933,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.000117459659326373,0,0,0,0,0,0,0,
