split,scenario_name,metric_name,metric_value,module_name,model_name
test,degraded_sector,MAE,0.0076831800146877,COC/OH,Random_Forest
test,degraded_sector,RMSE,0.0111149809827358,COC/OH,Random_Forest
test,degraded_sector,R2,0.593572237336704,COC/OH,Random_Forest
test,degraded_sector,mean_error,0.000433812771899528,COC/OH,Random_Forest
test,degraded_sector,median_absolute_error,0.00511761174272479,COC/OH,Random_Forest
test,degraded_sector,pearson_r,0.847252330762383,COC/OH,Random_Forest
test,degraded_sector,spearman_rho,0.7507365605884,COC/OH,Random_Forest
test,degraded_sector,within_0p01,0.736619718309859,COC/OH,Random_Forest
test,degraded_sector,within_0p05,0.994366197183099,COC/OH,Random_Forest
test,degraded_sector,within_0p10,1,COC/OH,Random_Forest
test,mixed_conflict,MAE,0.0114344928809646,COC/OH,Random_Forest
test,mixed_conflict,RMSE,0.0152485167263248,COC/OH,Random_Forest
test,mixed_conflict,R2,0.720478326489842,COC/OH,Random_Forest
test,mixed_conflict,mean_error,0.00381284101811802,COC/OH,Random_Forest
test,mixed_conflict,median_absolute_error,0.00853467878709359,COC/OH,Random_Forest
test,mixed_conflict,pearson_r,0.933792486467686,COC/OH,Random_Forest
test,mixed_conflict,spearman_rho,0.943340224517877,COC/OH,Random_Forest
test,mixed_conflict,within_0p01,0.549295774647887,COC/OH,Random_Forest
test,mixed_conflict,within_0p05,0.992957746478873,COC/OH,Random_Forest
test,mixed_conflict,within_0p10,1,COC/OH,Random_Forest
test,outage_sector,MAE,0.0133492534915124,COC/OH,Random_Forest
test,outage_sector,RMSE,0.0160935652015522,COC/OH,Random_Forest
test,outage_sector,R2,0.852935529275183,COC/OH,Random_Forest
test,outage_sector,mean_error,0.00121818129127775,COC/OH,Random_Forest
test,outage_sector,median_absolute_error,0.011411317280591,COC/OH,Random_Forest
test,outage_sector,pearson_r,0.96909405187106,COC/OH,Random_Forest
test,outage_sector,spearman_rho,0.965051489171587,COC/OH,Random_Forest
test,outage_sector,within_0p01,0.456338028169014,COC/OH,Random_Forest
test,outage_sector,within_0p05,1,COC/OH,Random_Forest
test,outage_sector,within_0p10,1,COC/OH,Random_Forest
test,ALL,top1_oracle_match,0.866666666666667,COC/OH,Random_Forest
test,ALL,top2_oracle_match,0.866666666666667,COC/OH,Random_Forest
test,ALL,mean_oracle_regret,0.00137999999999999,COC/OH,Random_Forest
test,ALL,median_oracle_regret,0,COC/OH,Random_Forest
test,ALL,max_oracle_regret,0.0167499999999998,COC/OH,Random_Forest
test,ALL,regret_le_0p01,0.933333333333333,COC/OH,Random_Forest
test,ALL,regret_le_0p05,1,COC/OH,Random_Forest
test_safe,ALL,MAE,0.00913006084750065,COC/OH,Random_Forest
test_safe,ALL,RMSE,0.0118107850982102,COC/OH,Random_Forest
test_safe,ALL,R2,0.949637542063126,COC/OH,Random_Forest
test_safe,ALL,mean_error,-0.00155597220165805,COC/OH,Random_Forest
test_safe,ALL,median_absolute_error,0.00718627474173784,COC/OH,Random_Forest
test_safe,ALL,pearson_r,0.975785914799649,COC/OH,Random_Forest
test_safe,ALL,spearman_rho,0.934905034055278,COC/OH,Random_Forest
test_safe,ALL,within_0p01,0.648228713486638,COC/OH,Random_Forest
test_safe,ALL,within_0p05,1,COC/OH,Random_Forest
test_safe,ALL,within_0p10,1,COC/OH,Random_Forest
test_unsafe,ALL,MAE,0.0160484641674824,COC/OH,Random_Forest
test_unsafe,ALL,RMSE,0.0201837898738424,COC/OH,Random_Forest
test_unsafe,ALL,R2,0.713760182798461,COC/OH,Random_Forest
test_unsafe,ALL,mean_error,0.0122525761615882,COC/OH,Random_Forest
test_unsafe,ALL,median_absolute_error,0.0137189241478601,COC/OH,Random_Forest
test_unsafe,ALL,pearson_r,0.905173587918749,COC/OH,Random_Forest
test_unsafe,ALL,spearman_rho,0.915439553159836,COC/OH,Random_Forest
test_unsafe,ALL,within_0p01,0.37236084452975,COC/OH,Random_Forest
test_unsafe,ALL,within_0p05,0.982725527831094,COC/OH,Random_Forest
test_unsafe,ALL,within_0p10,1,COC/OH,Random_Forest
train,ALL,MAE,0.000263202964140249,COC/OH,LSBoost
train,ALL,RMSE,0.000437355881251713,COC/OH,LSBoost
train,ALL,R2,0.999939120962256,COC/OH,LSBoost
train,ALL,mean_error,-7.30871031145016e-07,COC/OH,LSBoost
train,ALL,median_absolute_error,0.000146851551320232,COC/OH,LSBoost
train,ALL,pearson_r,0.999969723735728,COC/OH,LSBoost
train,ALL,spearman_rho,0.999760287587418,COC/OH,LSBoost
train,ALL,within_0p01,1,COC/OH,LSBoost
train,ALL,within_0p05,1,COC/OH,LSBoost
train,ALL,within_0p10,1,COC/OH,LSBoost
train,degraded_sector,MAE,0.000316000543008561,COC/OH,LSBoost
train,degraded_sector,RMSE,0.000456387418694656,COC/OH,LSBoost
train,degraded_sector,R2,0.998942702062039,COC/OH,LSBoost
train,degraded_sector,mean_error,2.43176066816162e-06,COC/OH,LSBoost
train,degraded_sector,median_absolute_error,0.000214653583499124,COC/OH,LSBoost
train,degraded_sector,pearson_r,0.999478567557597,COC/OH,LSBoost
train,degraded_sector,spearman_rho,0.998721149494216,COC/OH,LSBoost
train,degraded_sector,within_0p01,1,COC/OH,LSBoost
train,degraded_sector,within_0p05,1,COC/OH,LSBoost
train,degraded_sector,within_0p10,1,COC/OH,LSBoost
train,mixed_conflict,MAE,0.000415522144919976,COC/OH,LSBoost
train,mixed_conflict,RMSE,0.000737520010997702,COC/OH,LSBoost
train,mixed_conflict,R2,0.998237556137676,COC/OH,LSBoost
train,mixed_conflict,mean_error,-1.15804671408734e-05,COC/OH,LSBoost
train,mixed_conflict,median_absolute_error,0.000191525096559822,COC/OH,LSBoost
train,mixed_conflict,pearson_r,0.999139046880407,COC/OH,LSBoost
train,mixed_conflict,spearman_rho,0.997888715914793,COC/OH,LSBoost
train,mixed_conflict,within_0p01,1,COC/OH,LSBoost
train,mixed_conflict,within_0p05,1,COC/OH,LSBoost
train,mixed_conflict,within_0p10,1,COC/OH,LSBoost
train,outage_sector,MAE,0.000185094588189539,COC/OH,LSBoost
train,outage_sector,RMSE,0.000344969551376262,COC/OH,LSBoost
train,outage_sector,R2,0.999932063465966,COC/OH,LSBoost
train,outage_sector,mean_error,-2.30996650554988e-06,COC/OH,LSBoost
train,outage_sector,median_absolute_error,0.000113136919888228,COC/OH,LSBoost
train,outage_sector,pearson_r,0.999967234810898,COC/OH,LSBoost
train,outage_sector,spearman_rho,0.999944279045112,COC/OH,LSBoost
