oracle_group_id,scenario_name,realization_id,source_sector_id,module_name,selected_action_id,selected_action_type,target_sector_id,reward,safety_valid,oracle_selection_reason,is_noop,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action,pre_source_load_ratio,post_source_load_ratio,pre_source_RSRP_dBm,post_source_RSRP_dBm,pre_source_SINR_dB,post_source_SINR_dB,pre_source_qos_satisfaction_ratio,post_source_qos_satisfaction_ratio,pre_source_attach_rate,post_source_attach_rate,pre_source_handover_risk_score,post_source_handover_risk_score
292,overload,6,17,LB/MLB,11914,cio_bias_to_neighbor,15,0.229827741393224,1,safe_best_reward,0,0,0,3,0,0,,1.2552708062537,1.02763540312685,-89.7638708269356,-89.7638708269356,6.7371048385746,6.70295952810557,0,0.0796723910943975,1,1,0.285714285714286,0.285714285714286
293,overload,6,19,LB/MLB,11926,cio_bias_to_neighbor,6,-0.1275,1,safe_best_reward,0,0,0,-3,0,0,,1.44237904248163,1.45737904248163,-89.1904962164695,-89.1904962164695,8.89871160479094,8.89871160479094,0,0,1,1,0.24,0.24
294,overload,6,20,LB/MLB,11947,cio_bias_to_neighbor,21,-0.1275,1,safe_best_reward,0,0,0,-3,0,0,,2.23528395955567,2.25028395955567,-88.7699825339569,-88.7699825339569,5.11573468057956,5.11573468057956,0,0,1,1,0.409090909090909,0.409090909090909
295,handover_stress,7,3,LB/MLB,11950,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.885309143731689,0.885309143731689,-89.4437292551622,-89.4437292551622,5.68495018491195,5.68495018491195,1,1,0.961538461538462,0.961538461538462,0.4,0.4
296,handover_stress,7,5,LB/MLB,11966,cio_bias_to_neighbor,1,0.101560813644434,1,safe_best_reward,0,0,0,3,0,0,,1.18895596679073,0.994477983395365,-90.6055429462074,-90.6055429462074,4.16648461975889,4.13731292224959,1,1,1,1,0.571428571428571,0.571428571428571
297,mixed_conflict,7,1,LB/MLB,11976,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,0.929755028722153,0.929755028722153,-85.8848165951698,-85.8848165951698,7.20533299569573,7.20533299569573,1,1,0.923076923076923,0.923076923076923,0.125,0.125
298,mixed_conflict,7,2,LB/MLB,11989,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.803715402817955,0.803715402817955,-85.9148327765752,-85.9148327765752,8.03817917585711,8.03817917585711,1,1,0.952380952380952,0.952380952380952,0.25,0.25
299,mixed_conflict,7,3,LB/MLB,12012,cio_bias_to_neighbor,2,-0.1338,1,safe_best_reward,0,0,0,-3,0,0,,1.19910566410628,1.21410566410628,-85.6801224236143,-85.6801224236143,6.83384535908786,6.83384535908786,1,0.9985,0.96,0.96,0.333333333333333,0.333333333333333
300,mixed_conflict,7,5,LB/MLB,12025,cio_bias_to_neighbor,4,-0.1275,1,safe_best_reward,0,0,0,-3,0,0,,1.55890150374572,1.57390150374572,-85.0893141734466,-85.0893141734466,8.1063421160988,8.1063421160988,0,0,0.909090909090909,0.909090909090909,0.25,0.25
301,mixed_conflict,7,6,LB/MLB,12028,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,1.46423148743818,1.46423148743818,-86.2523397781467,-86.2523397781467,8.44207047534639,8.44207047534639,0,0,0.96551724137931,0.96551724137931,0.142857142857143,0.142857142857143
302,mixed_conflict,7,7,LB/MLB,12041,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,1.11469042816466,1.11469042816466,-96.2006378697531,-96.2006378697531,5.63174098787525,5.63174098787525,1,1,0.875,0.875,0.214285714285714,0.214285714285714
303,mixed_conflict,7,8,LB/MLB,12054,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,0.943639192894268,0.943639192894268,-86.1602853876504,-86.1602853876504,10.7941322313038,10.7941322313038,1,1,0.958333333333333,0.958333333333333,0.0869565217391304,0.0869565217391304
304,mixed_conflict,7,9,LB/MLB,12067,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,1.63579619794386,1.63579619794386,-87.4221161582379,-87.4221161582379,8.81513652932651,8.81513652932651,0,0,0.958333333333333,0.958333333333333,0.130434782608696,0.130434782608696
305,mixed_conflict,7,10,LB/MLB,12087,cio_bias_to_neighbor,11,0.101136203173212,1,safe_best_reward,0,0,0,3,0,0,,1.18809381354967,0.994046906774835,-90.2776375302644,-90.2776375302644,7.64897169812338,7.61986466210715,1,1,1,1,0.0909090909090909,0.0909090909090909
306,mixed_conflict,7,12,LB/MLB,12095,cio_bias_to_neighbor,2,-0.1338,1,safe_best_reward,0,0,0,-3,0,0,,1.10087103920125,1.11587103920125,-88.5249439515733,-88.5249439515733,6.89923678790274,6.89923678790274,1,0.9985,0.952380952380952,0.952380952380952,0.25,0.25
307,mixed_conflict,7,13,LB/MLB,12108,cio_bias_to_neighbor,2,-0.1275,1,safe_best_reward,0,0,0,-3,0,0,,1.27430916191643,1.28930916191643,-86.6092355328178,-86.6092355328178,5.87927935107418,5.87927935107418,0,0,0.956521739130435,0.956521739130435,0.227272727272727,0.227272727272727
308,mixed_conflict,7,14,LB/MLB,12129,cio_bias_to_neighbor,2,-0.1275,1,safe_best_reward,0,0,0,-3,0,0,,1.26596775158074,1.28096775158074,-88.0897351852912,-88.0897351852912,13.3179271710099,13.3179271710099,0,0,0.96969696969697,0.96969696969697,0.0625,0.0625
309,mixed_conflict,7,15,LB/MLB,12132,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,1.66045088008925,1.66045088008925,-88.9560190059755,-88.9560190059755,9.07462400961102,9.07462400961102,0,0,1,1,0.192307692307692,0.192307692307692
310,mixed_conflict,7,16,LB/MLB,12145,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,1.5794886910795,1.5794886910795,-89.2072850302488,-89.2072850302488,3.94812447355735,3.94812447355735,0,0,1,1,0.5,0.5
311,mixed_conflict,7,17,LB/MLB,12158,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,2.2607591514346,2.2607591514346,-86.1088274257757,-86.1088274257757,8.01403073562578,8.01403073562578,0,0,0.941176470588235,0.941176470588235,0.1875,0.1875
