num_sites,num_sectors,num_ues,attached_ues,unattached_ues,attach_rate,active_ues,active_attached_ues,active_attach_rate,coverage_ratio,sinr_threshold_ratio,total_offered_traffic_Mbps,total_served_traffic_Mbps,total_unserved_traffic_Mbps,mean_ue_throughput_Mbps,median_ue_throughput_Mbps,qos_satisfied_ues,qos_satisfaction_ratio,overloaded_sector_count,mean_sector_load,max_sector_load,jain_fairness_index,scenario_name,realization_id,phase_tag
7,21,500,491,9,0.982,150,149,0.993333333333333,0.982,0.986,1095.65886370444,779.594778326702,316.06408537774,1.5591895566534,0,62,0.413333333333333,15,1.24459962746284,2.21426330310245,0.246586571641475,mixed_conflict,16,pre
7,21,500,491,9,0.982,150,150,1,0.982,0.986,1095.65886370444,787.390082310894,308.268781393548,1.57478016462179,0,58,0.386666666666667,16,1.25521090348689,2.21298597090039,0.247872747843732,mixed_conflict,16,post
7,21,500,485,15,0.97,150,143,0.953333333333333,0.97,0.982,1132.93082026927,804.078683784481,328.852136484785,1.60815736756896,0,59,0.393333333333333,15,1.1931901701496,2.20162221504326,0.241799456490014,mixed_conflict,17,pre
7,21,500,485,15,0.97,150,143,0.953333333333333,0.97,0.982,1132.93082026927,812.39279899865,320.538021270616,1.6247855979973,0,60,0.4,16,1.1978466916344,2.19698405426499,0.242849533919719,mixed_conflict,17,post
7,21,500,487,13,0.974,150,142,0.946666666666667,0.974,0.98,1082.61880136353,729.820320722096,352.798480641437,1.45964064144419,0,59,0.393333333333333,14,1.27850187050975,2.60416614751938,0.232219840579351,mixed_conflict,18,pre
7,21,500,488,12,0.976,150,142,0.946666666666667,0.976,0.98,1082.61880136353,732.6850973596,349.933704003933,1.4653701947192,0,60,0.4,14,1.28169451560973,2.60995451698589,0.233205255018374,mixed_conflict,18,post
7,21,500,479,21,0.958,75,73,0.973333333333333,0.958,0.978,357.165385846841,347.638575305078,9.52681054176318,0.695277150610155,0,73,0.973333333333333,1,0.393795099186558,0.928796358853313,0.125183724047057,outage_sector,18,pre
7,21,500,475,25,0.95,75,73,0.973333333333333,0.95,0.964,357.165385846841,347.638575305078,9.52681054176318,0.695277150610155,0,73,0.973333333333333,1,0.397352211623631,0.928913533486779,0.125183724047057,outage_sector,18,post
7,21,500,485,15,0.97,150,143,0.953333333333333,0.97,0.976,1124.81182444109,759.785259836507,365.026564604583,1.51957051967301,0,68,0.453333333333333,13,1.25043717430527,3.30120430263184,0.238708250552317,mixed_conflict,1,pre
7,21,500,481,19,0.962,150,142,0.946666666666667,0.962,0.966,1124.81182444109,768.106700745717,356.705123695373,1.53621340149143,0,69,0.46,14,1.23171274433354,3.30120430263184,0.238541418733716,mixed_conflict,1,post
7,21,500,487,13,0.974,150,146,0.973333333333333,0.974,0.982,1137.29175190563,793.54622421941,343.74552768622,1.58709244843882,0,52,0.346666666666667,17,1.25567136463091,2.465772854792,0.249320604414232,overload,1,pre
7,21,500,482,18,0.964,150,144,0.96,0.964,0.97,1137.29175190563,784.22726321051,353.06448869512,1.56845452642102,0,50,0.333333333333333,16,1.22319458849971,2.38465348872188,0.246275920072171,overload,1,post
7,21,500,492,8,0.984,150,147,0.98,0.984,0.99,1108.80379677464,803.916679406105,304.887117368536,1.60783335881221,0,49,0.326666666666667,18,1.28239274389068,2.21829937723422,0.251349396437337,mixed_conflict,2,pre
7,21,500,486,14,0.972,150,144,0.96,0.972,0.976,1108.80379677464,797.35681493995,311.446981834691,1.5947136298799,0,47,0.313333333333333,17,1.25114546230004,2.21829937723422,0.246756658249449,mixed_conflict,2,post
7,21,500,488,12,0.976,75,75,1,0.976,0.978,336.294688002945,333.251276843591,3.04341115935332,0.666502553687183,0,75,1,1,0.379172430971411,1.10037126055819,0.130047101206258,degraded_sector,3,pre
7,21,500,473,27,0.946,75,71,0.946666666666667,0.946,0.948,336.294688002945,312.910473657786,23.3842143451586,0.625820947315572,0,71,0.946666666666667,0,0.340153490459581,0.742274024386448,0.122875728615665,degraded_sector,3,post
7,21,500,482,18,0.964,150,145,0.966666666666667,0.964,0.974,1104.41087584598,783.435521739152,320.975354106824,1.5668710434783,0,55,0.366666666666667,15,1.21597362278,2.84592344940663,0.244285149287231,mixed_conflict,3,pre
